USGS_Station_Number,Field_Name,project,discrete,estimated,frozen,storm,unique_storm_number,n_sub_flow_events,storm_start,storm_end,runoff_volume,peak_discharge,estimated_flow_fraction,suspended_sediment_load_pounds,chloride_load_pounds,nitrate_plus_nitrite_load_pounds,ammonia_plus_ammonium_load_pounds,total_Kjeldahl_nitrogen_unfiltered_load_pounds,orthophosphate_load_pounds,total_phosphorus_unfiltered_load_pounds,total_nitrogen_load_pounds,organic_nitrogen_load_pounds,dissolved_organic_carbon_load_pounds,total_organic_carbon_load_pounds,total_Kjeldahl_nitrogen_filtered_load_pounds,total_phosphorus_filtered_load_pounds,total_dissolved_solids_load_pounds,total_solids_load_pounds,total_suspended_solids_load_pounds,total_volatile_suspended_solids_load_pounds,suspended_sediment_conc_mgL,chloride_conc_mgL,nitrate_plus_nitrite_conc_mgL,ammonia_plus_ammonium_conc_mgL,total_Kjeldahl_nitrogen_unfiltered_conc_mgL,orthophosphate_conc_mgL,total_phosphorus_unfiltered_conc_mgL,total_nitrogen_conc_mgL,organic_nitrogen_conc_mgL,dissolved_organic_carbon_conc_mgL,total_organic_carbon_conc_mgL,total_Kjeldahl_nitrogen_filtered_conc_mgL,total_phosphorus_filtered_conc_mgL,total_dissolved_solids_conc_mgL,total_solids_conc_mgL,total_suspended_solids_conc_mgL,total_volatile_suspended_solids_conc_mgL,remark_suspended_sediment,remark_chloride,remark_nitrate_plus_nitrite,remark_ammonia_plus_ammonium,remark_total_Kjeldahl_nitrogen_unfiltered,remark_orthophosphate,remark_total_phosphorus_unfiltered,remark_total_nitrogen,remark_organic_nitrogen,remark_dissolved_organic_carbon,remark_total_organic_carbon,remark_total_Kjeldahl_nitrogen_filtered,remark_total_phosphorus_filtered,remark_total_dissolved_solids,remark_total_solids,remark_total_suspended_solids,remark_total_volatile_suspended_solids,suspended_sediment_yield_pounds_per_acre,chloride_yield_pounds_per_acre,nitrate_plus_nitrite_yield_pounds_per_acre,ammonia_plus_ammonium_yield_pounds_per_acre,total_Kjeldahl_nitrogen_unfiltered_yield_pounds_per_acre,orthophosphate_yield_pounds_per_acre,total_phosphorus_unfiltered_yield_pounds_per_acre,total_nitrogen_yield_pounds_per_acre,organic_nitrogen_yield_pounds_per_acre,dissolved_organic_carbon_yield_pounds_per_acre,total_organic_carbon_yield_pounds_per_acre,total_Kjeldahl_nitrogen_filtered_yield_pounds_per_acre,total_phosphorus_filtered_yield_pounds_per_acre,total_dissolved_solids_yield_pounds_per_acre,total_solids_yield_pounds_per_acre,total_suspended_solids_yield_pounds_per_acre,total_volatile_suspended_solids_yield_pounds_per_acre,rain,duration,Ievent,I5,I10,I15,I30,I60,energy_m1,erosivity_m1,energy_m2,erosivity_m2,ARFdays1,ARFdays2,ARFdays7,ARFdays14,remark_rain
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2016-16,1,6/13/2016 15:20,6/13/2016 15:50,21.2,0.02521,1,0.677,0.0103,0.00396,0.000489,0.00694,0.00148,0.00391,0.0109,0.00645,NA,NA,NA,NA,0.238,NA,NA,NA,512,7.8,3,0.37,5.25,1.12,2.96,8.25,4.88,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0657,0.001,0.000385,0.0000475,0.000674,0.000144,0.00038,0.00106,0.000626,NA,NA,NA,NA,0.0231,NA,NA,NA,0.63,0.5833,1.08,1.92,1.74,1.52,1.2,0.63,636,7.632,592,7.104,0,0.29,1.51,3.87,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,0,0,1,2016-17,1,6/15/2016 2:15,6/15/2016 10:15,12480,3.162,0,2070,2.96,0.39,0.156,11.1,0.826,4.42,11.5,11,NA,NA,NA,NA,132,NA,NA,NA,2650,3.8,0.5,0.2,14.3,1.06,5.68,14.8,14.1,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,0.287,0.0378,0.0151,1.08,0.0802,0.43,1.12,1.07,NA,NA,NA,NA,12.9,NA,NA,NA,1.58,6.417,0.2462,4.08,3.96,3.32,2.06,1.21,1458,30.03,1453,29.93,0.02,0.67,2.18,3.34,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,0,0,1,2016-18,1,6/30/2016 20:15,6/30/2016 22:00,6788,7.915,0,952,1.27,0.763,0.161,4.92,0.246,1.38,5.68,4.75,NA,NA,NA,NA,33.1,NA,NA,NA,2250,3,1.8,0.38,11.6,0.58,3.26,13.4,11.2,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.4,0.123,0.0741,0.0156,0.477,0.0239,0.134,0.551,0.462,NA,NA,NA,NA,3.21,NA,NA,NA,1.35,1.25,1.08,7.08,6.06,4.56,2.54,1.34,1400,35.56,1370,34.79,0,0,0.62,0.67,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2016-19,1,8/4/2016 20:55,8/4/2016 22:30,147.2,0.11,1,39.1,0.171,0.0202,0.00597,0.198,0.0289,0.122,0.218,0.192,NA,NA,NA,NA,2.19,NA,NA,NA,4250,18.6,2.2,0.65,21.5,3.14,13.3,23.7,20.8,NA,NA,NA,NA,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,0.0166,0.00196,0.00058,0.0192,0.0028,0.0119,0.0211,0.0186,NA,NA,NA,NA,0.212,NA,NA,NA,1.18,1.333,0.885,2.64,2.52,2.4,1.84,1.17,1200,22.09,1144,21.05,0,0,0,1.68,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2016-20,1,8/17/2016 4:00,8/17/2016 4:30,46.5,0.05414,1,12.3,0.054,0.00638,0.00189,0.0624,0.00911,0.0386,0.0688,0.0605,NA,NA,NA,NA,0.691,NA,NA,NA,4250,18.6,2.2,0.65,21.5,3.14,13.3,23.7,20.8,NA,NA,NA,NA,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.00524,0.00062,0.000183,0.00606,0.000885,0.00375,0.00668,0.00587,NA,NA,NA,NA,0.0671,NA,NA,NA,0.82,1.833,0.4473,1.92,1.56,1.16,0.98,0.49,804.1,7.88,755.1,7.4,0,0,0.58,2.02,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,0,0,1,2016-21,1,8/19/2016 10:00,8/19/2016 11:15,258.6,0.162,0,68.7,0.3,0.0355,0.0105,0.347,0.0507,0.215,0.383,0.337,NA,NA,NA,NA,3.84,NA,NA,NA,4250,18.6,2.2,0.65,21.5,3.14,13.3,23.7,20.8,NA,NA,NA,NA,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,0.0292,0.00345,0.00102,0.0337,0.00492,0.0208,0.0371,0.0327,NA,NA,NA,NA,0.373,NA,NA,NA,0.74,3.583,0.2065,2.4,1.56,1.28,0.92,0.65,617.7,5.683,613.7,5.646,0.14,0.15,1.23,1.73,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2016-22,1,8/20/2016 14:10,8/20/2016 15:15,32.2,0.01958,1,8.56,0.0374,0.00443,0.00131,0.0433,0.00632,0.0268,0.0477,0.0419,NA,NA,NA,NA,0.479,NA,NA,NA,4250,18.6,2.2,0.65,21.5,3.14,13.3,23.7,20.8,NA,NA,NA,NA,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831,0.00363,0.00043,0.000127,0.0042,0.000613,0.0026,0.00463,0.00407,NA,NA,NA,NA,0.0465,NA,NA,NA,0.21,0.4167,0.504,0.6,0.54,0.52,0.42,0.21,164,0.689,167.3,0.7028,0.27,1.16,2.16,2.74,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2016-23,1,8/24/2016 5:10,8/24/2016 11:15,946.6,0.71,1,251,1.1,0.13,0.0384,1.27,0.186,0.786,1.4,1.23,NA,NA,NA,NA,14.1,NA,NA,NA,4250,18.6,2.2,0.65,21.5,3.14,13.3,23.7,20.8,NA,NA,NA,NA,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4,0.107,0.0126,0.00373,0.123,0.018,0.0763,0.136,0.12,NA,NA,NA,NA,1.37,NA,NA,NA,1.76,6.667,0.264,2.64,2.58,1.88,1.14,0.73,1332,15.19,1404,16.01,0,0,1.89,2.96,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2016-24,1,9/7/2016 8:30,9/7/2016 21:30,19560,4.284,1,684,9.52,1.83,0.562,6.9,3.36,5.41,8.73,6.34,NA,NA,NA,NA,230,NA,NA,NA,560,7.8,1.5,0.46,5.65,2.75,4.43,7.15,5.19,NA,NA,NA,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.4,0.925,0.178,0.0545,0.67,0.326,0.525,0.848,0.615,NA,NA,NA,NA,22.3,NA,NA,NA,2.76,16.08,0.1716,3.36,2.4,1.96,1.5,0.8,2276,34.14,2284,34.25,0.08,0.21,0.21,2.19,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2016-25,2,9/9/2016 14:10,9/10/2016 21:00,19810,1.905,0.169,693,9.65,1.86,0.569,6.99,3.4,5.48,8.84,6.42,NA,NA,NA,NA,233,NA,NA,NA,560,7.8,1.5,0.46,5.65,2.75,4.43,7.15,5.19,NA,NA,NA,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.2,0.937,0.18,0.0552,0.678,0.33,0.532,0.859,0.623,NA,NA,NA,NA,22.6,NA,NA,NA,1.87,22.08,0.08468,1.08,0.9,0.88,0.76,0.63,1293,9.829,1357,10.31,0,0.34,3.06,3.28,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2016-26,1,9/16/2016 5:40,9/16/2016 21:30,1315,0.1119,1,46,0.64,0.123,0.0378,0.464,0.226,0.364,0.587,0.426,NA,NA,NA,NA,15.4,NA,NA,NA,560,7.8,1.5,0.46,5.65,2.75,4.43,7.15,5.19,NA,NA,NA,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46,0.0621,0.012,0.00367,0.045,0.0219,0.0353,0.057,0.0414,NA,NA,NA,NA,1.5,NA,NA,NA,1.04,12.5,0.0832,1.32,0.9,0.68,0.48,0.41,699.7,3.359,741.2,3.558,0,0,2.29,5.35,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,0,0,1,2016-27,2,9/21/2016 10:55,9/23/2016 0:45,108500,12.95,0,12600,15.6,3.75,0.618,64.7,10.5,32.2,68.5,64.1,NA,NA,NA,NA,556,NA,NA,NA,1860,2.3,0.55,0.091,9.55,1.56,4.76,10.1,9.46,NA,NA,NA,NA,82.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220,1.51,0.364,0.06,6.28,1.02,3.13,6.65,6.22,NA,NA,NA,NA,54,NA,NA,NA,4.99,29.75,0.1677,2.04,2.04,1.92,1.58,1.12,3787,59.83,3889,61.44,0.01,0.18,1.22,5.52,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,0,0,1,2017-1,1,10/26/2016 7:05,10/26/2016 20:30,1392,0.1255,0,119,2.42,0.547,0.11,0.806,0.309,0.441,1.35,0.696,NA,NA,NA,NA,26.2,NA,NA,NA,1360,27.8,6.3,1.27,9.28,3.56,5.08,15.6,8.01,NA,NA,NA,NA,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,0.235,0.0532,0.0107,0.0783,0.03,0.0429,0.131,0.0676,NA,NA,NA,NA,2.55,NA,NA,NA,2.06,15.83,0.1301,0.6,0.6,0.56,0.52,0.45,1387,7.21,1488,7.737,0.05,0.05,0.05,0.16,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,1,1,2017-2,1,1/10/2017 14:00,1/10/2017 16:15,49.4,0.00986,1,0.0216,0.0349,0.00123,0.00512,0.0147,0.00193,0.00241,0.0159,0.00957,NA,NA,NA,NA,0.383,NA,NA,NA,7,11.3,0.4,1.66,4.76,0.625,0.78,5.16,3.1,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0021,0.00339,0.00012,0.000497,0.00143,0.000187,0.000234,0.00155,0.000929,NA,NA,NA,NA,0.0371,NA,NA,NA,0.03,1.167,0.02571,0.24,0.12,0.08,0.04,0.02,11.53,0.004614,12.74,0.005097,0,0,0,0.05,frozen
USGS-434209090491101,JF1,DiscoveryFarms,0,0,1,1,2017-3,3,1/17/2017 18:00,1/26/2017 3:45,49840,0.2725,0,16.9,17.7,0.869,4.23,10.6,2.26,2.55,11.5,6.41,NA,NA,NA,NA,266,NA,NA,NA,5.4,5.7,0.28,1.36,3.42,0.726,0.82,3.7,2.06,NA,NA,NA,NA,85.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,1.72,0.0844,0.411,1.03,0.219,0.248,1.12,0.622,NA,NA,NA,NA,25.9,NA,NA,NA,0.47,141.3,0.003325,0.24,0.12,0.12,0.1,0.08,173,0.173,164.2,0.1642,0.19,0.19,0.28,0.48,runoff_index frozen
USGS-434209090491101,JF1,DiscoveryFarms,0,0,1,1,2017-4,4,2/17/2017 20:45,2/22/2017 1:45,19060,0.5074,0,37.4,8.36,1.26,1.04,3.26,1.21,1.45,4.53,2.23,NA,NA,NA,NA,141,NA,NA,NA,31.4,7,1.06,0.872,2.74,1.02,1.22,3.8,1.87,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63,0.811,0.123,0.101,0.317,0.117,0.14,0.44,0.216,NA,NA,NA,NA,13.7,NA,NA,NA,0.73,8.917,0.08187,0.24,0.24,0.24,0.22,0.18,388.3,0.8542,461.4,1.015,0,0,0,0.01,frozen
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2017-5,1,2/28/2017 11:15,3/1/2017 18:15,1744,0.05154,1,5.66,1.03,0.131,0.0414,0.224,0.0672,0.093,0.355,0.183,NA,NA,NA,NA,15.7,NA,NA,NA,52,9.5,1.2,0.38,2.06,0.617,0.854,3.26,1.68,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.1,0.0127,0.00402,0.0218,0.00652,0.00903,0.0345,0.0178,NA,NA,NA,NA,1.52,NA,NA,NA,0.07,19.92,0.003515,0.12,0.12,0.08,0.06,0.05,27.25,0.01635,24.67,0.0148,0.1,0.1,0.13,0.86,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,0,0,1,2017-6,1,3/7/2017 2:45,3/7/2017 16:45,7690,1.258,0,1170,2.98,0.144,0.374,9.02,0.499,3.54,9.17,8.65,NA,NA,NA,NA,98.9,NA,NA,NA,2430,6.2,0.3,0.78,18.8,1.04,7.37,19.1,18,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,0.289,0.014,0.0364,0.876,0.0485,0.343,0.89,0.84,NA,NA,NA,NA,9.6,NA,NA,NA,0.65,4.667,0.1393,2.64,1.86,1.44,0.92,0.6,569.1,5.236,565.4,5.202,0.03,0.03,0.2,0.25,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,0,0,1,2017-7,1,4/4/2017 8:00,4/5/2017 3:30,4039,0.2143,0,26.2,1.46,0.0756,0.0378,0.59,0.142,0.25,0.666,0.552,NA,NA,NA,NA,37.8,NA,NA,NA,104,5.8,0.3,0.15,2.34,0.565,0.99,2.64,2.19,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,0.142,0.00734,0.00367,0.0573,0.0138,0.0242,0.0646,0.0536,NA,NA,NA,NA,3.67,NA,NA,NA,0.69,12.25,0.05633,0.24,0.18,0.16,0.14,0.11,289.7,0.4056,360.6,0.5048,0.63,0.64,0.77,1.49,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,0,0,1,2017-8,1,4/20/2017 4:15,4/20/2017 17:30,4521,0.3314,0,653,3.39,0.226,0.356,6.43,0.522,2.53,6.66,6.08,NA,NA,NA,NA,142,NA,NA,NA,2320,12,0.8,1.26,22.8,1.85,8.96,23.6,21.5,NA,NA,NA,NA,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.4,0.329,0.0219,0.0345,0.625,0.0507,0.246,0.647,0.59,NA,NA,NA,NA,13.8,NA,NA,NA,1.09,8.167,0.1335,1.68,1.56,1.32,0.86,0.6,824.5,7.09,844.3,7.261,0.01,0.01,1.33,1.5,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2017-9,1,5/1/2017 4:15,5/1/2017 6:00,88.7,0.03612,1,5.44,0.0288,0.00332,0.00299,0.0614,0.00559,0.0242,0.0648,0.0584,NA,NA,NA,NA,1.46,NA,NA,NA,983,5.2,0.6,0.54,11.1,1.01,4.38,11.7,10.6,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528,0.00279,0.000322,0.00029,0.00596,0.000543,0.00235,0.00629,0.00567,NA,NA,NA,NA,0.142,NA,NA,NA,0.49,2.333,0.21,1.08,0.66,0.52,0.32,0.29,373.8,1.196,379.6,1.215,0.01,0.01,0.68,1.78,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,0,0,1,2017-10,1,5/1/2017 12:35,5/2/2017 9:00,3640,0.3184,0,223,1.18,0.136,0.123,2.52,0.23,0.995,2.66,2.4,NA,NA,NA,NA,60,NA,NA,NA,983,5.2,0.6,0.54,11.1,1.01,4.38,11.7,10.6,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,0.115,0.0132,0.0119,0.245,0.0223,0.0966,0.258,0.233,NA,NA,NA,NA,5.82,NA,NA,NA,0.71,13.92,0.05102,0.36,0.3,0.32,0.3,0.26,372.8,1.118,429.4,1.288,0.5,0.5,1.17,2.27,NA
USGS-434209090491101,JF1,DiscoveryFarms,1,0,0,1,2017-11,2,5/16/2017 5:25,5/16/2017 13:00,24320,4.205,0,17000,13.8,2.18,2.81,74.9,2.83,28.9,77.1,72.1,NA,NA,NA,NA,369,NA,NA,NA,11200,9.1,1.43,1.85,49.3,1.87,19,50.8,47.5,NA,NA,NA,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1650,1.34,0.211,0.273,7.27,0.275,2.81,7.48,7,NA,NA,NA,NA,35.8,NA,NA,NA,2.83,5.417,0.5225,3.84,3.54,2.84,2.7,1.97,2825,76.29,2715,73.3,0.05,0.05,0.35,0.67,NA
USGS-434209090491101,JF1,DiscoveryFarms,1,0,0,1,2017-12,2,5/17/2017 22:35,5/18/2017 6:00,6779,1.854,0,3200,4.32,0.438,0.456,18,0.601,6.93,18.5,17.6,NA,NA,NA,NA,137,NA,NA,NA,7570,10.2,1.04,1.08,42.6,1.42,16.4,43.6,41.5,NA,NA,NA,NA,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,0.42,0.0426,0.0442,1.75,0.0584,0.672,1.79,1.71,NA,NA,NA,NA,13.3,NA,NA,NA,0.74,3.583,0.2065,3.36,3.12,2.28,1.22,0.61,714.2,8.714,707.5,8.632,0.09,2.94,2.99,3.59,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,0,0,1,2017-13,1,5/20/2017 16:55,5/21/2017 19:45,1928,0.1285,0,56.2,1.79,0.205,0.0999,0.711,0.0902,0.292,0.916,0.611,NA,NA,NA,NA,34.4,NA,NA,NA,467,14.9,1.7,0.83,5.91,0.75,2.43,7.61,5.08,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46,0.174,0.0199,0.0097,0.069,0.00876,0.0284,0.0889,0.0593,NA,NA,NA,NA,3.34,NA,NA,NA,0.67,21.75,0.0308,0.36,0.24,0.2,0.18,0.17,331.5,0.5967,391,0.7039,0.03,0.03,3.82,4.43,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2017-14,1,5/23/2017 4:55,5/24/2017 2:30,1315,0.169,1,38.3,1.22,0.14,0.0681,0.485,0.0616,0.199,0.625,0.417,NA,NA,NA,NA,23.5,NA,NA,NA,467,14.9,1.7,0.83,5.91,0.75,2.43,7.61,5.08,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72,0.119,0.0135,0.00661,0.0471,0.00598,0.0194,0.0606,0.0405,NA,NA,NA,NA,2.28,NA,NA,NA,0.65,22.17,0.02932,0.48,0.48,0.44,0.42,0.35,405.8,1.704,437.3,1.836,0,0.08,4.44,5.1,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2017-15,1,6/12/2017 22:10,6/12/2017 22:45,71.9,0.08781,1,2.1,0.0669,0.00763,0.00372,0.0265,0.00337,0.0109,0.0341,0.0228,NA,NA,NA,NA,1.28,NA,NA,NA,467,14.9,1.7,0.83,5.91,0.75,2.43,7.61,5.08,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.203,0.00649,0.000741,0.000362,0.00257,0.000327,0.00106,0.00331,0.00221,NA,NA,NA,NA,0.125,NA,NA,NA,1.02,2.083,0.4896,2.16,1.62,1.36,1.28,0.75,977.3,12.51,921.3,11.79,0.04,0.04,0.06,0.11,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,0,0,1,2017-16,1,6/17/2017 0:30,6/17/2017 2:30,485.4,0.8721,0,712,1.37,0.0939,0.0412,2.43,0.105,1.17,2.52,2.39,NA,NA,NA,NA,26.7,NA,NA,NA,23500,45.1,3.1,1.36,80.1,3.46,38.7,83.2,78.7,NA,NA,NA,NA,880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.1,0.133,0.00912,0.004,0.236,0.0102,0.114,0.245,0.232,NA,NA,NA,NA,2.59,NA,NA,NA,1.03,1.667,0.618,5.88,4.38,3.2,1.76,1,1015,17.86,1007,17.72,0,0,1.56,1.58,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2017-17,1,6/22/2017 8:30,6/22/2017 10:15,210.1,0.28,1,6.13,0.195,0.0223,0.0109,0.0775,0.00984,0.0319,0.0998,0.0666,NA,NA,NA,NA,3.75,NA,NA,NA,467,14.9,1.7,0.83,5.91,0.75,2.43,7.61,5.08,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595,0.019,0.00216,0.00106,0.00753,0.000955,0.00309,0.00969,0.00647,NA,NA,NA,NA,0.364,NA,NA,NA,0.66,1.833,0.36,2.52,1.56,1.24,0.76,0.65,638.1,4.85,620.1,4.713,0,0.32,1.53,3.11,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2017-18,1,6/23/2017 4:35,6/23/2017 11:00,366.5,0.2992,1,10.7,0.341,0.0389,0.019,0.135,0.0172,0.0556,0.174,0.116,NA,NA,NA,NA,6.54,NA,NA,NA,467,14.9,1.7,0.83,5.91,0.75,2.43,7.61,5.08,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,0.0331,0.00378,0.00184,0.0131,0.00167,0.0054,0.0169,0.0113,NA,NA,NA,NA,0.635,NA,NA,NA,0.73,17.67,0.04132,1.92,1.5,1.16,0.62,0.32,503,3.119,503,3.118,0.66,0.66,2.19,3.75,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,1,0,1,2017-19,1,7/10/2017 6:10,7/10/2017 7:30,89.7,0.1017,1,2.62,0.0834,0.00952,0.00465,0.0331,0.0042,0.0136,0.0426,0.0285,NA,NA,NA,NA,1.6,NA,NA,NA,467,14.9,1.7,0.83,5.91,0.75,2.43,7.61,5.08,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254,0.0081,0.000924,0.000451,0.00321,0.000408,0.00132,0.00414,0.00276,NA,NA,NA,NA,0.156,NA,NA,NA,0.71,2.333,0.3043,1.92,1.56,1.28,0.94,0.65,625.6,5.88,607.1,5.706,0,0,0.39,1.63,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,0,0,1,2017-20,1,7/12/2017 7:15,7/12/2017 17:00,18170,7.871,0,10500,5.9,0.681,0.34,37.5,2.29,15.5,38.2,37.2,NA,NA,NA,NA,268,NA,NA,NA,9220,5.2,0.6,0.3,33.1,2.02,13.7,33.7,32.8,NA,NA,NA,NA,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,0.573,0.0661,0.033,3.65,0.222,1.51,3.71,3.61,NA,NA,NA,NA,26,NA,NA,NA,1.93,6.333,0.3047,2.52,2.22,1.92,1.12,0.74,1683,18.85,1638,18.35,0,0.69,1.1,2.34,NA
USGS-434209090491101,JF1,DiscoveryFarms,0,0,0,1,2017-21,3,7/20/2017 5:05,7/20/2017 17:30,85520,27.35,0,20900,21,4.91,1.95,75.9,8.89,38.4,80.8,74,NA,NA,NA,NA,890,NA,NA,NA,3910,3.9,0.92,0.365,14.2,1.66,7.19,15.1,13.8,NA,NA,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2030,2.04,0.476,0.189,7.37,0.863,3.73,7.85,7.18,NA,NA,NA,NA,86.4,NA,NA,NA,3.47,6.333,0.5479,5.28,3.96,3.48,2.38,1.43,3549,84.47,3420,81.39,0.47,0.47,0.68,3.36,NA
