SiteID,FieldID,Percentage_of_basin,Water_Year,total_passes,fall_passes_OctDec,spring_passes_JanMay,summer_passes_JunSept
R2,A,78,2005,0,0,0,0
R2,C,22,2005,0,0,0,0
R2,A,78,2006,0,0,0,0
R2,C,22,2006,0,0,0,0
R2,A,78,2007,0,0,0,0
R2,C,22,2007,0,0,0,0
R2,A,78,2008,0,0,0,0
R2,C,22,2008,0,0,0,0
R2,A,78,2009,0,0,0,0
R2,C,22,2009,0,0,0,0
R2,A,78,2010,0,0,0,0
R2,C,22,2010,0,0,0,0
R3,B,78,2004,0,0,0,0
R3,C,22,2004,0,0,0,0
R3,C,22,2005,0,0,0,0
R3,B,78,2005,0,0,0,0
R3,B,78,2006,0,0,0,0
R3,C,22,2006,0,0,0,0
R3,B,78,2007,0,0,0,0
R3,C,22,2007,0,0,0,0
R3,C,22,2008,0,0,0,0
R3,B,78,2008,0,0,0,0
R3,B,78,2009,0,0,0,0
R3,C,22,2009,0,0,0,0
R3,C,22,2010,0,0,0,0
R3,B,78,2010,2,0,0,2
RE1,RE1,100,2016,2,1,1,0
RE1,RE1,100,2017,0,0,0,0
RE1,RE1,100,2018,1,0,1,0
RE1,RE1,100,2019,1,0,1,0
RE1,RE1,100,2020,0,0,0,0
RE1,RE1,100,2021,1,0,1,0
RE5,RE5,100,2016,1,0,1,0
RE5,RE5,100,2017,0,0,0,0
RE5,RE5,100,2018,1,0,1,0
RE5,RE5,100,2019,1,0,1,0
RE5,RE5,100,2020,0,0,0,0
RE5,RE5,100,2021,1,0,1,0
RS1,RS1,100,2019,1,0,1,0
RS1,RS1,100,2020,0,0,0,0
RS1,RS1,100,2021,0,0,0,0
RS1,RS1,100,2022,0,0,0,0
RS1,RS1,100,2023,0,0,0,0
RS2,RS2,100,2019,1,0,1,0
RS2,RS2,100,2020,1,0,1,0
RS2,RS2,100,2021,0,0,0,0
RS2,RS2,100,2022,0,0,0,0
RS2,RS2,100,2023,0,0,0,0
WF1,WF1,70,2011,2,1,1,0
WF1,WF1,70,2012,2,1,1,0
WF1,WF1,70,2013,2,1,1,0
WF1,WF1,70,2014,1,0,1,0
WF1,WF1,70,2015,1,0,1,0
WF1,WF1,70,2016,2,1,1,0
WF1,WF1,70,2017,0,0,0,0
WF2,WF2,100,2011,2,1,1,0
WF2,WF2,100,2012,2,0,2,0
WF2,WF2,100,2013,0,0,0,0
WF2,WF2,100,2014,0,0,0,0
WF2,WF2,100,2015,2,0,2,0
WF2,WF2,100,2016,2,0,2,0
WF2,WF2,100,2017,1,0,1,0
