"Site ID","Field ID","Percentage of basin","Field year","Previous Water Year Crop","Residue left in fall from previous crop?","Residue left in spring from previous crop?","Crop grown this water year","Notes"
"JF4","35","10","2015","Corn","No","No","Corn",
"JF4","38","20","2015","Corn","No","No","Corn",
"JF4","36","20","2016","Alfalfa","Yes","Yes","Alfalfa",
"JF4","37","25","2016","Alfalfa","Yes","Yes","Alfalfa",
"JF4","39","20","2016","Alfalfa","Yes","Yes","Alfalfa",
"JF4","35","10","2016","Corn","No","No","Corn",
"JF4","38","20","2016","Corn","No","No","Corn",
"JF4","36","20","2017","Alfalfa","Yes","Yes","Corn","spring termination"
"JF4","37","25","2017","Alfalfa","Yes","Yes","Corn","spring termination"
"JF4","39","20","2017","Alfalfa","Yes","Yes","Corn","spring termination"
"JF4","35","10","2017","Corn","No","No","Alfalfa - new seeding",
"JF4","38","20","2017","Corn","No","No","Alfalfa - new seeding",
"JF5","K12","25","2011","Alfalfa","Yes","Yes","Alfalfa",
"JF5","K8","25","2011","Alfalfa","Yes","Yes","Alfalfa",
"JF5","K9","25","2011","Corn Silage","No","No","Corn Silage",
"JF5","K12","25","2012","Alfalfa","Yes","Yes","Alfalfa",
"JF5","K8","25","2012","Alfalfa","Yes","Yes","Alfalfa",
"JF5","K9","25","2012","Corn Silage","No","No","Alfalfa - new seeding",
"JF5","K12","25","2013","Alfalfa","Yes","Yes","Corn Silage","spring termination"
"JF5","K8","25","2013","Alfalfa","Yes","Yes","Corn Silage","spring termination"
"JF5","K9","25","2013","Alfalfa - new seeding","Yes","Yes","Alfalfa",
"JF5","K9","25","2014","Alfalfa","Yes","Yes","Alfalfa",
"JF5","K12","25","2014","Corn Silage","No","No","Corn Silage",
"JF5","K8","25","2014","Corn Silage","No","No","Corn Silage",
"JF5","K9","25","2015","Alfalfa","Yes","Yes","Alfalfa - new seeding",
"JF5","K12","25","2015","Corn Silage","No","No","Alfalfa - new seeding",
"JF5","K8","25","2015","Corn Silage","No","No","Corn Silage",
"JF5","K12","25","2016","Alfalfa - new seeding","Yes","Yes","Alfalfa",
"JF5","K9","25","2016","Alfalfa - new seeding","Yes","Yes","Alfalfa",
"JF5","K8","25","2016","Corn Silage","No","No","Corn Silage",
"JF5","K12","25","2017","Alfalfa","Yes","Yes","Alfalfa",
"JF5","K9","25","2017","Alfalfa","Yes","Yes","Alfalfa",
"JF5","K8","25","2017","Corn Silage","No","No","Corn Silage",
"K5","K5","100","2007","Pasture","Yes","Yes","pasture",
"K5","K5","100","2008","Pasture","Yes","Yes","pasture",
"K5r1","K5a","38","2009","Pasture","Yes","Yes","pasture - new seeding",
"K5r1","K5b","62","2009","Pasture","Yes","Yes","pasture",
"K5r2","K5c","55","2010","Pasture","Yes","Yes","pasture - new seeding",
"K5r2","K5d","45","2010","Pasture - new seeding","Yes","Yes","pasture",
"K5","K5","100","2011","Pasture - new seeding","Yes","Yes","pasture",
"K7","K7","100","2007","Pasture","Yes","Yes","pasture",
"K7r","K7a","80","2008","Pasture","Yes","No","pasture - new seeding","Late fall subsoiling, replanted in spring"
"K7r","K7b","20","2008","Pasture","Yes","Yes","pasture",
"K7","K7","100","2009","Pasture - new seeding","Yes","Yes","pasture",
"K7r","K7b","20","2010","Pasture","Yes","Yes","pasture - new seeding","Spring tillage and planting"
"K7r","K7a","80","2010","Pasture","Yes","Yes","pasture",
"K7","K7","100","2011","Pasture - new seeding","Yes","Yes","pasture",
"K8","K8","100","2008","Pasture","Yes","Yes","pasture",
"K8","K8","100","2009","Pasture","Yes","Yes","pasture",
"K8","K8","100","2010","Pasture","Yes","Yes","pasture",
"K8","K8","100","2011","Pasture","Yes","Yes","pasture",
"KD1","KD1","100","2019","Corn Silage","No","No","Corn Silage",
"KD1","KD1","100","2020","Corn Silage","No","No","Corn Silage",
"KD1","KD1","100","2021","Corn Silage","No","No","Corn Silage",
"KD1","KD1","100","2022","Corn Silage","No","No","Corn Silage",
"KD1","KD1","100","2023","Corn Silage","No","No","Wheat",
"KD2","TA4","90","2019","Corn Silage","No","No","Corn Silage",
"KD2","H4","10","2019","Alfalfa/grass","Yes","Yes","Alfalfa/grass",
"KD2","TA4","90","2020","Corn Silage","No","No","Soybean",
"KD2","H4","10","2020","Alfalfa/grass","Yes","Yes","Alfalfa/grass",
"KD2","H4","10","2021","Alfalfa/grass","Yes","Yes","Alfalfa/grass",
"KD2","TA4","90","2021","Soybean","No","No","Corn Silage",
"KD2","TA4","90","2022","Corn Silage","No","No","Corn Silage",
"KD2","H4","10","2022","Alfalfa/grass","No","No","Corn Silage","Late summer termination"
"KD2","H4","90","2023","Corn Silage","No","No","Corn Silage",
"KD2","TA4","10","2023","Corn Silage","No","No","Corn Silage",
"KP3","KP3","100","2006","Corn Silage","No","No","Corn","Unknown in database, heavy residue in site photos"
"KP3","KP3","100","2007","Corn","Yes","Yes","Soybean",
"KP3","KP3","100","2008","Soybean","No","No","Corn Silage",
"MT1","MT1","100","2022","Corn Silage","No","No","Corn Silage",
"MT1","MT1","100","2023","Corn Silage","No","No","Alfalfa - new seeding",
"MT2","MT2","100","2022","Pasture","Yes","Yes","pasture",
"P1","H11","2","2004","Alfalfa","Yes","Yes","Alfalfa",
"P1","H12","93","2004","Alfalfa","Yes","Yes","Alfalfa",
"P1","H12","95","2005","Alfalfa","No","No","Corn Silage","Fall alfalfa termination"
"P1","H12","95","2006","Corn Silage","No","No","Corn Silage",
"P1","H12","95","2007","Corn Silage","No","No","Corn Silage",
"P1","H12","95","2008","Corn Silage","No","No","Corn Silage",
"P2","LH8","94","2004","Alfalfa","Yes","Yes","Alfalfa",
"P2","LH8","94","2005","Alfalfa","Yes","Yes","Corn Silage","Spring alfalfa termination"
"P2","LH8","94","2006","Corn Silage","No","No","Corn Silage",
"P3","H7","100","2004","Alfalfa","Yes","Yes","Alfalfa",
"P3","H7","100","2005","Alfalfa","Yes","Yes","Corn Silage","Spring alfalfa termination"
"P3","H7","100","2006","Corn Silage","No","No","Corn Silage",
"P3","H7","100","2007","Corn Silage","No","No","Corn Silage",
"P3","H7","100","2008","Corn Silage","No","No","Corn Silage",
"R1","A","66","2004","Corn","No","No","Corn","R1-R3 farm always harvested portion of corn (grain) stalks for animal bedding"
"R1","C","34","2004","Corn","No","No","Corn",
"R1","A","66","2005","Corn","No","No","Soybean",
"R1","C","34","2005","Corn","No","No","Soybean",
"R1","A","66","2006","Soybean","No","No","Corn",
"R1","C","34","2006","Soybean","No","No","Corn",
"R1","A","66","2007","Corn","No","No","Corn Silage",
"R1","C","34","2007","Corn","No","No","Corn Silage",
"R1","A","66","2008","Corn Silage","No","No","Soybean",
"R1","C","34","2008","Corn Silage","No","No","Soybean",
"R1","A","66","2009","Soybean","No","No","Corn",
"R1","C","34","2009","Soybean","No","No","Corn",
"R1","A","66","2010","Corn","No","No","Corn Silage",
"R1","C","34","2010","Corn","No","No","Corn Silage",
"R2","A","78","2004","Corn","No","No","Corn",
"R2","C","22","2004","Corn","No","No","Corn",
"R2","A","78","2005","Corn","No","No","Soybean",
"R2","C","22","2005","Corn","No","No","Soybean",
"R2","A","78","2006","Soybean","No","No","Corn",
"R2","C","22","2006","Soybean","No","No","Corn",
"R2","A","78","2007","Corn","No","No","Corn Silage",
"R2","C","22","2007","Corn","No","No","Corn Silage",
"R2","A","78","2008","Corn Silage","No","No","Soybean",
"R2","C","22","2008","Corn Silage","No","No","Soybean",
"R2","A","78","2009","Soybean","No","No","Corn",
"R2","C","22","2009","Soybean","No","No","Corn",
"R2","A","78","2010","Corn","No","No","Corn Silage",
"R2","C","22","2010","Corn","No","No","Corn Silage",
"R3","B","78","2004","Corn","No","No","Soybean",
"R3","C","22","2004","Corn","No","No","Corn",
"R3","C","22","2005","Corn","No","No","Soybean",
"R3","B","78","2005","Soybean","No","No","Corn Silage",
"R3","B","78","2006","Corn Silage","No","No","Corn",
"R3","C","22","2006","Soybean","No","No","Corn",
"R3","B","78","2007","Corn","No","No","Soybean",
"R3","C","22","2007","Corn","No","No","Corn Silage",
"R3","C","22","2008","Corn Silage","No","No","Soybean",
"R3","B","78","2008","Soybean","No","No","Corn",
"R3","B","78","2009","Corn","No","No","Corn Silage",
"R3","C","22","2009","Soybean","No","No","Corn",
"R3","C","22","2010","Corn","No","No","Corn Silage",
"R3","B","78","2010","Corn Silage","No","No","Soybean",
"RE1","RE1","100","2015","Soybean","No","No","Corn",
"RE1","RE1","100","2016","Corn","Yes","Yes","Corn",
"RE1","RE1","100","2017","Corn","Yes","Yes","Soybean",
"RE1","RE1","100","2018","Soybean","No","No","Corn",
"RE1","RE1","100","2019","Corn","Yes","Yes","Corn",
"RE1","RE1","100","2020","Corn","Yes","Yes","Soybean",
"RE1","RE1","100","2021","Soybean","No","No","Corn",
"RE5","RE5","100","2015","Corn","Yes","Yes","Soybean",
"RE5","RE5","100","2016","Soybean","No","No","Corn",
"RE5","RE5","100","2017","Corn","Yes","Yes","Soybean",
"RE5","RE5","100","2018","Soybean","No","No","Corn",
"RE5","RE5","100","2019","Corn","Yes","Yes","Corn",
"RE5","RE5","100","2020","Corn","Yes","Yes","Soybean",
"RE5","RE5","100","2021","Soybean","No","No","Corn",
"RS1","RS1","100","2019","Corn","Yes","Yes","cover crop mix",
"RS1","RS1","100","2020","cover crop mix","Yes","Yes","Alfalfa - new seeding",
"RS1","RS1","100","2021","Alfalfa - new seeding","Yes","Yes","Alfalfa",
"RS1","RS1","100","2022","Alfalfa","Yes","Yes","Alfalfa",
"RS1","RS1","100","2023","Alfalfa","Yes","Yes","Alfalfa",
"RS2","RS2","100","2019","Corn","Yes","Yes","Corn",
"RS2","RS2","100","2020","Corn","Yes","Yes","Grass - new seeding",
"RS2","RS2","100","2021","Grass - new seeding","Yes","Yes","Grass",
"RS2","RS2","100","2022","Grass","Yes","Yes","Soybean",
"RS2","RS2","100","2023","Soybean","No","No","Corn",
"WF1","WF1","70","2011","Corn","Yes","Yes","Corn",
"WF1","WF1","70","2012","Corn","Yes","Yes","Corn",
"WF1","WF1","70","2013","Corn","Yes","Yes","Corn",
"WF1","WF1","70","2014","Corn","Yes","Yes","Soybean",
"WF1","WF1","70","2015","Soybean","No","No","Corn",
"WF1","WF1","70","2016","Corn","Yes","Yes","Corn",
"WF1","WF1","70","2017","Corn","Yes","Yes","Soybean",
"WF2","WF2","100","2011","Soybean","No","No","Corn",
"WF2","WF2","100","2012","Corn","Yes","Yes","Alfalfa - new seeding",
"WF2","WF2","100","2013","Alfalfa - new seeding","Yes","Yes","Alfalfa",
"WF2","WF2","100","2014","Alfalfa","Yes","Yes","Alfalfa",
"WF2","WF2","100","2015","Alfalfa","Yes","Yes","Corn","Assuming spring termination based on tillage data"
"WF2","WF2","100","2016","Corn","Yes","Yes","Corn",
"WF2","WF2","100","2017","Corn","Yes","Yes","Soybean",
