"","USGS_Station_Number","Field_Name","P_start","P_end","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","Associated_Q","Q_total_volume","Date","Tmp","P_frozen","dup_Q","BasinArea_ac","area_ft2","Q_total_in","Monitoring","FarmEnterprise","CropRotation","Tillage","Tile","SoilType","HydrologicGroup","DrainageClass","MeanSlope_per","Clay_Fraction","Field_Year","PerennialFrac","Start_Date_wt","DSP","Crop","PreviousCrop","Annual_Tillage"
"16","USGS-442954087355700","P1","2004-04-14 05:59:00","2004-04-14 06:00:00",0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.15,0.33,FALSE,0,"2004-04-14",4.09000015258789,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-18,"Alfalfa","Alfalfa","No-Till"
"17","USGS-442954087355700","P1","2004-04-15 23:19:00","2004-04-16 00:20:00",0.045,1.017,0.04426,0.108,0.108,0.108,0.054,0.036,22.27,0.01203,25.17,0.01359,0,0.076,0.096,0.406,FALSE,0,"2004-04-15",7.95000028610229,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-17,"Alfalfa","Alfalfa","No-Till"
"18","USGS-442954087355700","P1","2004-04-16 03:40:00","2004-04-16 04:32:00",0.027,0.8667,0.03115,0.108,0.054,0.072,0.036,0.027,13.88,0.004995,14.25,0.005132,0.045,0.121,0.131,0.451,FALSE,0,"2004-04-16",10.0700006484985,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-16,"Alfalfa","Alfalfa","No-Till"
"19","USGS-442954087355700","P1","2004-04-17 06:04:00","2004-04-17 07:33:00",0.072,1.483,0.04854,0.324,0.27,0.216,0.126,0.063,42.21,0.05318,45.68,0.05756,0.009,0.081,0.157,0.487,FALSE,0,"2004-04-17",14.0700006484985,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-15,"Alfalfa","Alfalfa","No-Till"
"20","USGS-442954087355700","P1","2004-04-18 06:23:00","2004-04-18 07:24:00",0.072,1.017,0.07082,0.324,0.216,0.18,0.108,0.063,39.02,0.04214,43.73,0.04723,0.072,0.09,0.238,0.568,FALSE,0,"2004-04-18",11.5700006484985,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-14,"Alfalfa","Alfalfa","No-Till"
"21","USGS-442954087355700","P1","2004-04-21 00:07:00","2004-04-21 04:23:00",0.279,4.267,0.06539,0.324,0.324,0.252,0.198,0.153,140.6,0.2784,166.2,0.329,0,0.009,0.319,0.469,FALSE,0,"2004-04-21",5.75000047683716,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-11,"Alfalfa","Alfalfa","No-Till"
"22","USGS-442954087355700","P1","2004-04-21 12:25:00","2004-04-21 12:52:00",0.127,0.45,0.2822,0.768,0.6,0.472,0.254,0.127,104.4,0.2651,102.7,0.261,0.288,0.288,0.531,0.757,FALSE,0,"2004-04-21",5.75000047683716,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-11,"Alfalfa","Alfalfa","No-Till"
"23","USGS-442954087355700","P1","2004-04-21 16:06:00","2004-04-21 16:23:00",0.027,0.2833,0.09529,0.108,0.108,0.072,0.054,0.027,15.09,0.008147,17.04,0.009203,0.415,0.415,0.658,0.884,FALSE,0,"2004-04-21",5.75000047683716,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-11,"Alfalfa","Alfalfa","No-Till"
"24","USGS-442954087355700","P1","2004-04-25 04:04:00","2004-04-25 10:37:00",0.27,6.55,0.04122,0.216,0.162,0.108,0.09,0.09,109.5,0.09856,131.5,0.1184,0,0,0.523,0.761,FALSE,0,"2004-04-25",4.47000026702881,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-7,"Alfalfa","Alfalfa","No-Till"
"25","USGS-442954087355700","P1","2004-04-25 14:23:00","2004-04-25 16:18:00",0.018,1.917,0.009391,0.108,0.054,0.036,0.018,0.009,10.41,0.001875,8.766,0.001578,0.27,0.27,0.721,1.031,FALSE,0,"2004-04-25",4.47000026702881,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-7,"Alfalfa","Alfalfa","No-Till"
"26","USGS-442954087355700","P1","2004-04-26 16:57:00","2004-04-26 17:36:00",0.099,0.65,0.1523,0.54,0.378,0.252,0.126,0.099,69.82,0.08797,72.4,0.09122,0,0.288,0.73,1.049,FALSE,0,"2004-04-26",5.25000047683716,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-6,"Alfalfa","Alfalfa","No-Till"
"27","USGS-442954087355700","P1","2004-04-27 01:01:00","2004-04-27 01:42:00",0.018,0.6833,0.02634,0.108,0.054,0.036,0.018,0.018,10.54,0.001897,10.12,0.001822,0.099,0.387,0.829,1.148,FALSE,0,"2004-04-27",5.54000043869019,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-5,"Alfalfa","Alfalfa","No-Till"
"28","USGS-442954087355700","P1","2004-04-28 08:43:00","2004-04-28 11:20:00",0.126,2.617,0.04815,0.324,0.216,0.144,0.108,0.063,61.45,0.06636,69.64,0.07521,0.009,0.126,0.568,1.099,FALSE,0,"2004-04-28",4.88000011444092,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-4,"Alfalfa","Alfalfa","No-Till"
"29","USGS-442954087355700","P1","2004-04-30 22:15:00","2004-05-01 00:58:00",0.081,2.717,0.02982,0.108,0.108,0.108,0.054,0.036,34.87,0.01883,38.98,0.02105,0,0,0.54,1.144,FALSE,0,"2004-04-30",13.7400007247925,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-2,"Alfalfa","Alfalfa","No-Till"
"30","USGS-442954087355700","P1","2004-05-06 13:35:00","2004-05-06 14:30:00",0.09,0.9167,0.09818,0.54,0.324,0.216,0.108,0.09,60.87,0.06574,63.25,0.06831,0,0.009,0.099,0.639,FALSE,0,"2004-05-06",8.69000053405762,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",4,"Alfalfa","Alfalfa","No-Till"
"31","USGS-442954087355700","P1","2004-05-08 05:26:00","2004-05-08 12:46:00",0.983,7.333,0.134,0.888,0.66,0.512,0.328,0.29,614.1,2.014,684.1,2.244,0,0.099,0.117,0.738,FALSE,0,"2004-05-08",7.65000057220459,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",6,"Alfalfa","Alfalfa","No-Till"
"32","USGS-442954087355700","P1","2004-05-08 22:30:00","2004-05-09 00:21:00",1.392,1.85,0.7524,4.452,3.732,3.452,2.114,1.202,1396,29.52,1364,28.84,0.992,0.992,1.1,1.73,TRUE,12600,"2004-05-08",7.65000057220459,FALSE,FALSE,20.5,892980,0.169320701471478,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",6,"Alfalfa","Alfalfa","No-Till"
"33","USGS-442954087355700","P1","2004-05-10 04:56:00","2004-05-10 04:59:00",0.018,0.05,0.36,0.216,0.108,0.072,0.036,0.018,13.4,0.004826,14,0.005039,0.018,2.402,2.51,2.852,FALSE,0,"2004-05-10",12.0600004196167,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",8,"Alfalfa","Alfalfa","No-Till"
"34","USGS-442954087355700","P1","2004-05-10 07:20:00","2004-05-10 07:27:00",0.018,0.1167,0.1543,0.108,0.108,0.072,0.036,0.018,11.56,0.004162,12.58,0.004527,0.036,2.393,2.528,2.87,FALSE,0,"2004-05-10",12.0600004196167,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",8,"Alfalfa","Alfalfa","No-Till"
"35","USGS-442954087355700","P1","2004-05-13 00:34:00","2004-05-13 01:41:00",0.514,1.117,0.4603,3.288,2.208,1.584,0.938,0.496,505.1,4.738,494.9,4.642,0,0,2.537,2.636,TRUE,59.2,"2004-05-13",18.2600002288818,FALSE,FALSE,20.5,892980,0.000795538533897736,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",11,"Alfalfa","Alfalfa","No-Till"
"36","USGS-442954087355700","P1","2004-05-13 05:06:00","2004-05-13 07:55:00",0.054,2.817,0.01917,0.108,0.054,0.072,0.054,0.027,23.24,0.01255,23.4,0.01263,0.514,0.514,3.051,3.15,FALSE,0,"2004-05-13",18.2600002288818,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",11,"Alfalfa","Alfalfa","No-Till"
"37","USGS-442954087355700","P1","2004-05-13 21:25:00","2004-05-13 22:41:00",0.29,1.267,0.2289,1.092,0.762,0.58,0.436,0.272,233.4,1.018,232.2,1.013,0.568,0.568,3.006,3.204,TRUE,88.3,"2004-05-13",18.2600002288818,FALSE,FALSE,20.5,892980,0.00118658872539139,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",11,"Alfalfa","Alfalfa","No-Till"
"38","USGS-442954087355700","P1","2004-05-14 11:51:00","2004-05-14 18:33:00",0.288,6.7,0.04299,0.108,0.108,0.108,0.072,0.072,115.4,0.08308,140.1,0.1008,0.299,0.867,3.305,3.503,TRUE,41.8,"2004-05-14",13.8100004196167,FALSE,FALSE,20.5,892980,0.000561714708056171,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",12,"Alfalfa","Alfalfa","No-Till"
"39","USGS-442954087355700","P1","2004-05-18 03:19:00","2004-05-18 04:19:00",0.063,1,0.063,0.108,0.108,0.072,0.072,0.063,29.22,0.02104,34.79,0.02505,0,0,1.155,3.701,FALSE,0,"2004-05-18",15.0600004196167,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",16,"Alfalfa","Alfalfa","No-Till"
"40","USGS-442954087355700","P1","2004-05-20 05:23:00","2004-05-20 09:35:00",0.881,4.2,0.2098,2.52,1.938,1.4,0.826,0.503,721.7,5.961,734.7,6.069,0,0.009,0.704,3.764,TRUE,48.6,"2004-05-20",13.9800004959106,FALSE,FALSE,20.5,892980,0.000653094134247128,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",18,"Alfalfa","Alfalfa","No-Till"
"41","USGS-442954087355700","P1","2004-05-21 14:15:00","2004-05-21 16:15:00",0.189,2,0.0945,0.216,0.216,0.216,0.162,0.144,95.55,0.1548,115.3,0.1867,0,0.881,1.151,4.546,FALSE,0,"2004-05-21",17.730001449585,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",19,"Alfalfa","Alfalfa","No-Till"
"42","USGS-442954087355700","P1","2004-05-21 20:45:00","2004-05-21 23:10:00",0.252,2.417,0.1043,0.324,0.216,0.216,0.18,0.144,127.1,0.2288,155.2,0.2794,0.189,1.07,1.142,4.735,TRUE,28.9,"2004-05-21",17.730001449585,FALSE,FALSE,20.5,892980,0.000388362561311563,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",19,"Alfalfa","Alfalfa","No-Till"
"43","USGS-442954087355700","P1","2004-05-22 04:42:00","2004-05-22 06:54:00",0.117,2.2,0.05318,0.216,0.216,0.18,0.144,0.099,58.37,0.08405,68.54,0.09869,0.441,1.322,1.394,4.987,TRUE,10.7,"2004-05-22",9.5600004196167,FALSE,FALSE,20.5,892980,0.000143788214741652,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",20,"Alfalfa","Alfalfa","No-Till"
"44","USGS-442954087355700","P1","2004-05-22 10:16:00","2004-05-22 15:45:00",0.099,5.483,0.01805,0.216,0.162,0.144,0.108,0.054,44.19,0.04773,45.81,0.04947,0.558,0.558,1.511,4.418,FALSE,0,"2004-05-22",9.5600004196167,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",20,"Alfalfa","Alfalfa","No-Till"
"45","USGS-442954087355700","P1","2004-05-23 07:13:00","2004-05-23 14:21:00",1.074,7.133,0.1506,1.8,1.26,0.96,0.62,0.55,792.9,4.916,817.6,5.069,0.099,0.657,1.61,2.819,TRUE,33790,"2004-05-23",11.4200000762939,FALSE,FALSE,20.5,892980,0.454075119263589,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",21,"Alfalfa","Alfalfa","No-Till"
"46","USGS-442954087355700","P1","2004-05-23 22:02:00","2004-05-24 04:29:00",1.45,6.45,0.2248,3.72,3.42,3,1.9,1.04,1410,26.79,1376,26.14,1.074,1.443,2.684,3.884,TRUE,81640,"2004-05-23",11.4200000762939,FALSE,FALSE,20.5,892980,1.09709064032789,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",21,"Alfalfa","Alfalfa","No-Till"
"47","USGS-442954087355700","P1","2004-05-27 22:11:00","2004-05-27 23:38:00",0.14,1.45,0.09655,0.24,0.18,0.2,0.16,0.11,73.72,0.118,87.42,0.1399,0,0,3.191,4.668,FALSE,0,"2004-05-27",12.3700008392334,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",25,"Alfalfa","Alfalfa","No-Till"
"48","USGS-442954087355700","P1","2004-05-29 22:28:00","2004-05-30 00:28:00",0.04,2,0.02,0.12,0.06,0.04,0.04,0.02,18.76,0.007505,18.05,0.007219,0,0.11,2.674,4.284,FALSE,0,"2004-05-29",9.46000003814697,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",27,"Alfalfa","Alfalfa","No-Till"
"49","USGS-442954087355700","P1","2004-05-30 18:21:00","2004-05-30 19:21:00",0.18,1,0.18,0.6,0.36,0.28,0.22,0.18,118.2,0.26,128.9,0.2836,0.04,0.04,1.64,4.324,FALSE,0,"2004-05-30",10.4200000762939,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",28,"Alfalfa","Alfalfa","No-Till"
"50","USGS-442954087355700","P1","2004-05-31 01:45:00","2004-05-31 03:45:00",0.23,2,0.115,0.36,0.3,0.28,0.26,0.2,134,0.3483,152.8,0.3974,0.18,0.22,1.45,4.504,FALSE,0,"2004-05-31",13.0900001525879,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",29,"Alfalfa","Alfalfa","No-Till"
"51","USGS-442954087355700","P1","2004-05-31 12:55:00","2004-05-31 14:21:00",0.45,1.433,0.314,1.68,0.96,0.68,0.44,0.36,359,1.579,365.9,1.61,0.42,0.46,0.6,4.744,TRUE,33140,"2004-05-31",13.0900001525879,FALSE,FALSE,20.5,892980,0.445340321171807,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",29,"Alfalfa","Alfalfa","No-Till"
"52","USGS-442954087355700","P1","2004-05-31 18:33:00","2004-05-31 20:36:00",0.66,2.05,0.322,0.72,0.66,0.6,0.5,0.41,503.8,2.519,517.5,2.587,0.83,0.91,1.05,5.194,TRUE,0,"2004-05-31",13.0900001525879,FALSE,TRUE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",29,"Alfalfa","Alfalfa","No-Till"
"53","USGS-442954087355700","P1","2004-06-01 22:11:00","2004-06-01 23:14:00",0.03,1.05,0.02857,0.12,0.06,0.04,0.04,0.02,15.68,0.006271,15.79,0.006315,0,1.35,1.71,5.782,FALSE,0,"2004-06-01",13.4300003051758,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",30,"Alfalfa","Alfalfa","No-Till"
"54","USGS-442954087355700","P1","2004-06-09 06:57:00","2004-06-09 09:10:00",2.24,2.217,1.011,6.96,6.24,5.96,4.28,2.16,2412,103.2,2353,100.7,0,0,0.01,1.75,TRUE,43030,"2004-06-09",23.0900001525879,FALSE,FALSE,20.5,892980,0.578243633676006,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",38,"Alfalfa","Alfalfa","No-Till"
"55","USGS-442954087355700","P1","2004-06-09 12:16:00","2004-06-09 13:52:00",0.05,1.6,0.03125,0.36,0.18,0.16,0.08,0.04,36.45,0.02916,34.21,0.02737,2.24,2.24,2.25,3.99,FALSE,0,"2004-06-09",23.0900001525879,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",38,"Alfalfa","Alfalfa","No-Till"
"56","USGS-442954087355700","P1","2004-06-10 03:09:00","2004-06-10 08:28:00",0.26,5.317,0.0489,0.24,0.18,0.16,0.12,0.09,112.2,0.1346,135.9,0.163,2.3,2.3,2.31,4.05,FALSE,0,"2004-06-10",14.3100004196167,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",39,"Alfalfa","Alfalfa","No-Till"
