"","ProjectName","Field_Name","StudyPeriod","UseableYears","Ongoing","Monitoring","State","County","LAT_approx","LONG_approx","FarmEnterprise","CropRotation","LandCover","Tillage","Manure","Tile","BasinArea_ac","SoilType","HydrologicGroup","DrainageClass","MeanSlope_per","IncludeAverages","Notes","event_n","MajorWatershed_HUC8","Watershed_HUC10","Watershed_HUC12","HUC12","Approximate_Start_Date"
"11","Marathon 1","MT1","WY2022-WY2023",2,"Yes","Surface","WI","Marathon",45.0324444,-90.102,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","No",7.7,"Loyal silt loam","C/D","Moderately well drained",4.1,"Yes","",31,"Lake Dubay","Black Creek","Beaver Creek-Black Creek",70700020701,"10/10/2021"
"12","Jersey Valley","JF4","WY2011-WY2017",7,"No","Surface","WI","Vernon",43.719583,-90.770306,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","No",14,"NewGlarus silt loam","C","Well drained",5.2,"Yes","",131,"Kickapoo River","West Fork Kickapoo River","Knapp Creek-West Fork Kickapoo River",70700060205,"10/1/2010"
"13","Jersey Valley","JF5","WY2011-WY2017",7,"No","Surface","WI","Vernon",43.714056,-90.770222,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","No",33.4,"Brinkman silt loam","B","Moderately well drained",6.3,"Yes","",163,"Kickapoo River","West Fork Kickapoo River","Knapp Creek-West Fork Kickapoo River",70700060205,"10/1/2010"
"14","Dry Run","WF1","WY2011-WY2017",7,"No","Surface","WI","St. Croix",45.082833,-92.382833,"Dairy and Grain","Corn-Soybean","Cultivated Crops","Yes","Yes","No",42.1,"Santiago silt loam","B","Well drained",4.4,"Yes","",167,"Lower St. Croix River","Willow River","Dry Run",70300051004,"11/12/2011"
"15","Dry Run","WF2","WY2011-WY2017",7,"No","Surface","WI","St. Croix",45.020833,-92.300306,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","No",6.7,"Freeon silt loam, heavy substratum","B/D","Moderately well drained",5.3,"No","???",178,"Lower St. Croix River","Willow River","Dry Run",70300051004,"11/18/2011"
"16","Rebout","RE1","WY2015-WY2021",7,"No","Surface","WI","Rock",42.664917,-89.120611,"Grain","Corn-Soybean","Cultivated Crops","Yes","No","No",9.4,"Winnebago silt loam","B","Well drained",3,"Yes","",64,"Lower Rock River","Marsh Creek-Rock River","City of Janesville-Rock River",70900021502,"10/1/2014"
"17","Rebout","RE5","WY2015-WY2021",7,"No","Surface","WI","Rock",42.669,-89.083722,"Grain","Corn-Soybean","Cultivated Crops","Yes","No","No",9.7,"Kidder silt loam","B","Well drained",3,"Yes","",92,"Lower Rock River","Marsh Creek-Rock River","City of Janesville-Rock River",70900021503,"10/1/2014"
"18","Arndt","AR1","WY2017-WY2021",5,"No","Surface","WI","Rock",42.627694,-88.990944,"Beef and cash crop (grain and specialty)","Corn-Alfalfa","Cultivated Crops","Yes","Yes","No",18.5,"Warsaw silt loam","B","Well drained",1.9,"Yes","",99,"Lower Rock River","City of Beloit-Lower Rock River","La Prairie Township",70900021501,"10/1/2016"
"19","Arndt","AR2","WY2017-WY2021",5,"No","Surface","WI","Rock",42.612806,-88.9985,"Beef and cash crop (grain and specialty)","Corn-Seed Corn-Vegetables-Mint","Cultivated Crops","Yes","Yes","No",5.8,"Oshtemo sandy loam","A","Well drained",2.9,"Yes","",96,"Lower Rock River","City of Beloit-Lower Rock River","La Prairie Township",70900021501,"10/1/2016"
"20","Tile Monitoring","DK1A","WY2018-WY2020",3,"No","Tile","WI","Door",44.677111,-87.398972,"Dairy and Canning Crops","Corn-Alfalfa-Green Beans-Wheat","Cultivated Crops","Yes","Yes","Yes",19.4,"Onaway-Ossineke fine sandy loam","C","Well drained",2.77,"Yes","",169,NA,NA,NA,NA,"10/1/2017"
"21","Tile Monitoring","MA1A","WY2018-WY2020",3,"No","Tile","WI","Manitowoc",43.997167,-87.957528,"Dairy and Grain","Corn-Soybean","Cultivated Crops","Yes","Yes","Yes",7.1,"Hochheim loam","D","Well drained",5.88,"Yes","",128,NA,NA,NA,NA,"10/1/2017"
"22","Tile Monitoring","SH1A","WY2018-WY2020",3,"No","Tile","WI","Shawno",44.837139,-88.310111,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",37.3,"Onaway-Ossineke fine sandy loam","C","Well drained",2.52,"Yes","",72,NA,NA,NA,NA,"10/1/2017"
"23","Lake Redstone","RS1","WY2019-WY2023",4,"No","Surface","WI","Juneau",43.660861,-90.084639,"Beef","Corn-Alfalfa","Cultivated Crops","Yes","Yes","No",2.13,"Norden silt loam","C","Well Drained",11,"Yes","",41,"Baraboo River","Little Baraboo River-Baraboo River","Lake Redstone",70700040205,"11/15/2018"
"24","Lake Redstone","RS2","WY2019-WY2023",4,"No","Surface","WI","Sauk",43.639167,-90.110694,"Beef","Corn-Alfalfa","Cultivated Crops","Yes","Yes","No",1.9,"La Farge silt loam","C","Well Drained",7,"Yes","",43,"Baraboo River","Little Baraboo River-Baraboo River","Lake Redstone",70700040205,"10/22/2018"
"25","Kewaunee","KD1","WY2019-WY2023",5,"Yes","Surface","WI","Kewaunee",44.40127778,-87.6955556,"Dairy","Corn","Cultivated Crops","No","Yes","No",2.63,"Waymor silt loam","C","Well drained",3.92,"Yes","Grassed waterway added Aug 2020",164,"Manitowoc-Sheboygan Rivers","West Twin River","Black Creek",40301010201,"10/24/2018"
"26","Kewaunee","KD2","WY2019-WY2023",5,"Yes","Surface","WI","Kewaunee",44.36527778,-87.54988889,"Dairy","Corn","Cultivated Crops","No","Yes","No",19.8,"Hortonville silt loam","C","Well Drained",3.96,"Yes","Waterway renovation Aug 2020",104,"Manitowoc-Sheboygan Rivers","East Twin River-Frontal Lake Michigan","Molash Creek-Frontal Lake Michigan",40301010101,"10/24/2018"
"27","Antigo 1","AO1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,"10/1/2018"
"28","Antigo 3","AO3","WY2021-WY2023",3,"Yes","Surface","WI","Langlade",45.227,-89.065,"Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Yes","No","No",22.4,"Antigo silt loam","B","Well drained",2.5,"Yes","",76,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,"10/6/2020"
"29","Saxon","K5","WY2007-WY2011",5,"No","Surface","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",96,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,"10/1/2006"
"30","Saxon","K6","WY2007-WY2011",5,"No","Tile","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions",168,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,"10/1/2006"
"31","Saxon","K7","WY2007-WY2011",5,"No","Surface","WI","Manitowoc",43.912306,-87.773556,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes","Yes",12,"Kewaunee loam","D","Well drained",3,"Yes","",62,"Manitowoc-Sheboygan","Sevenmile and Silver Creeks","Centerville Creek",40301010704,"10/1/2006"
"32","Saxon","K8","WY2008-WY2011",4,"No","Surface","WI","Manitowoc",43.903361,-87.787611,"Dairy","Grass Pasture","Pasture/Hay","No","Yes","No",5,"Kewaunee loam","D","Well drained",6,"Yes","No tile in basin but in surrounding area in waterways",79,"Manitowoc-Sheboygan Rivers","Sevenmile and Silver Creeks","Centerville Creek",40301010704,"10/2/2007"
"33","Jersey Valley","JF2","WY2011-WY2017",7,"No","Surface","WI","Vernon",43.71225,-90.785444,"Beef","Grass Pasture","Pasture/Hay","No","Yes","No",16,"Pepin silt loam","B","Well drained",8.6,"Yes","",95,"Kickapoo River","West Fork Kickapoo River","Knapp Creek-West Fork Kickapoo River",70700060205,"10/1/2010"
"34","Marathon 2","MT2","WY2022-WY2023",1,"No","Surface","WI","Marathon",44.92705556,-90.0401389,"Dairy","Grass Pasture","Pasture/Hay","No","Yes","No",5.6,"Loyal silt loam","C/D","Moderately well drained",2.4,"Yes","Site abandoned May 2023",44,"Lake Dubay","Lake Dubay-Big Eau Pleine River","Fenwood Creek",70700021602,"10/6/2021"
