"","USGS_Station_Number","Field_Name","estimated","frozen","storm","unique_storm_number","storm_start","storm_end","runoff_volume","peak_discharge","nitrate_plus_nitrite_load_pounds","ammonia_plus_ammonium_load_pounds","total_Kjeldahl_nitrogen_unfiltered_load_pounds","total_nitrogen_load_pounds","organic_nitrogen_load_pounds","total_Kjeldahl_nitrogen_filtered_load_pounds","nitrate_plus_nitrite_conc_mgL","ammonia_plus_ammonium_conc_mgL","total_Kjeldahl_nitrogen_unfiltered_conc_mgL","total_nitrogen_conc_mgL","organic_nitrogen_conc_mgL","total_Kjeldahl_nitrogen_filtered_conc_mgL","nitrate_plus_nitrite_yield_pounds_per_acre","ammonia_plus_ammonium_yield_pounds_per_acre","total_Kjeldahl_nitrogen_unfiltered_yield_pounds_per_acre","total_nitrogen_yield_pounds_per_acre","organic_nitrogen_yield_pounds_per_acre","total_Kjeldahl_nitrogen_filtered_yield_pounds_per_acre","ProjectName","StudyPeriod","UseableYears","Ongoing","Monitoring","State","County","LAT_approx","LONG_approx","FarmEnterprise","CropRotation","LandCover","Tillage","Manure","Tile","BasinArea_ac","SoilType","HydrologicGroup","DrainageClass","MeanSlope_per","IncludeAverages","Notes","event_n","MajorWatershed_HUC8","Watershed_HUC10","Watershed_HUC12","HUC12","area_ft2","runoff_in","water_year","month"
"11","USGS-451021089064901","AO1","Estimated","Non-Frozen","Storm","2019-7",2019-07-20 01:34:00,2019-07-20 02:30:00,149.4,0.0938,0.0103,0.0238,0.147,0.158,0.124,NA,1.1,2.55,15.8,16.9,13.2,NA,0.000462,0.00107,0.00664,0.0071,0.00557,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.00185392003573822,"2019",7
"12","USGS-451021089064901","AO1","Estimated","Non-Frozen","Storm","2019-8",2019-08-05 22:50:00,2019-08-05 23:07:00,15.1,0.0303,0.00104,0.0024,0.0149,0.0159,0.0125,NA,1.1,2.55,15.8,16.9,13.2,NA,4.66e-05,0.000108,0.00067,0.000717,0.000562,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.000187377460104733,"2019",8
"13","USGS-451021089064901","AO1","Measured","Non-Frozen","Storm","2019-9",2019-09-03 11:16:00,2019-09-03 11:53:00,121.1,0.1119,0.00831,0.0193,0.119,0.128,0.1,NA,1.1,2.55,15.8,16.9,13.2,NA,0.000375,0.000868,0.00538,0.00575,0.00451,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.00150274241183332,"2019",9
"14","USGS-451021089064901","AO1","Estimated","Non-Frozen","Storm","2019-10",2019-09-13 02:56:00,2019-09-13 03:37:00,37.5,0.0267,0.00257,0.00596,0.0369,0.0395,0.031,NA,1.1,2.55,15.8,16.9,13.2,NA,0.000116,0.000269,0.00166,0.00178,0.0014,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.000465341374432283,"2019",9
"15","USGS-451021089064901","AO1","Estimated","Non-Frozen","Storm","2019-11",2019-09-15 04:25:00,2019-09-15 05:00:00,112.8,0.111,0.00774,0.018,0.111,0.119,0.0933,NA,1.1,2.55,15.8,16.9,13.2,NA,0.000349,0.000809,0.00501,0.00536,0.0042,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.00139974685429231,"2019",9
"16","USGS-451021089064901","AO1","Measured","Frozen","Storm","2020-1",2020-03-26 19:15:00,2020-03-28 08:43:00,86230,2.065,1.08,1.24,3.01,4.09,1.78,NA,0.2,0.23,0.56,0.76,0.33,NA,0.0485,0.0558,0.136,0.184,0.08,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,1.07003697912789,"2020",3
"17","USGS-451021089064901","AO1","Measured","Frozen","Storm","2020-1",2020-03-28 08:43:00,2020-03-29 07:15:00,164800,3.709,1.03,1.44,3.81,4.84,2.37,NA,0.1,0.14,0.37,0.47,0.23,NA,0.0464,0.0649,0.172,0.218,0.107,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,2.04502022683841,"2020",3
"18","USGS-451021089064901","AO1","Measured","Frozen","Storm","2020-1",2020-03-29 07:15:00,2020-03-30 04:30:00,57820,2.44,0.722,0.433,1.41,2.13,0.975,NA,0.2,0.12,0.39,0.59,0.27,NA,0.0325,0.0195,0.0634,0.0959,0.0439,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.71749435385799,"2020",3
"19","USGS-451021089064901","AO1","Measured","Frozen","Storm","2020-2",2020-03-30 16:15:00,2020-03-31 23:00:00,108800,6.622,1.36,1.49,7.33,8.69,5.84,NA,0.2,0.22,1.08,1.28,0.86,NA,0.0612,0.0673,0.33,0.391,0.263,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,1.35011044101953,"2020",3
"20","USGS-451021089064901","AO1","Measured","Non-Frozen","Storm","2020-3",2020-05-26 20:30:00,2020-05-26 21:45:00,3021,1.685,0.207,0.145,3.77,3.98,3.63,NA,1.1,0.77,20,21.1,19.2,NA,0.00934,0.00654,0.17,0.179,0.163,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.0374879011242648,"2020",5
"21","USGS-451021089064901","AO1","Estimated","Non-Frozen","Storm","2020-4",2020-06-10 05:30:00,2020-06-10 08:15:00,3715,0.679,0.151,0.103,2.44,2.59,2.34,NA,0.65,0.445,10.5,11.2,10.1,NA,0.00679,0.00465,0.11,0.117,0.105,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.0460998188270916,"2020",6
"22","USGS-451021089064901","AO1","Measured","Non-Frozen","Storm","2020-5",2020-06-20 10:51:00,2020-06-20 22:00:00,20930,2.662,0.261,0.157,1.36,1.62,1.2,NA,0.2,0.12,1.04,1.24,0.92,NA,0.0118,0.00706,0.0612,0.073,0.0542,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.259722532449805,"2020",6
"23","USGS-451021089064901","AO1","Estimated","Non-Frozen","Storm","2020-6",2020-07-14 17:30:00,2020-07-14 18:15:00,327.4,0.3399,0.00204,0.00164,0.0151,0.0172,0.0135,NA,0.1,0.08,0.74,0.84,0.66,NA,9.21e-05,7.37e-05,0.000681,0.000773,0.000608,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.00406274042637679,"2020",7
"24","USGS-451021089064901","AO1","Estimated","Non-Frozen","Storm","2020-7",2020-07-18 10:49:00,2020-07-18 11:45:00,741.3,0.5574,0.00463,0.0037,0.0342,0.0389,0.0305,NA,0.1,0.08,0.74,0.84,0.66,NA,0.000208,0.000167,0.00154,0.00175,0.00138,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.00919886828977738,"2020",7
"25","USGS-451021089064901","AO1","Estimated","Non-Frozen","Storm","2020-8",2020-07-26 11:28:00,2020-07-26 22:45:00,135700,9.82,0.847,0.678,6.27,7.12,5.59,NA,0.1,0.08,0.74,0.84,0.66,NA,0.0382,0.0305,0.282,0.321,0.252,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,1.68391532027896,"2020",7
"26","USGS-451021089064901","AO1","Measured","Frozen","Storm","2021-1",2021-03-09,2021-03-10 18:09:00,103700,4.384,7.12,18.7,37.6,44.7,18.9,NA,1.1,2.89,5.81,6.91,2.92,NA,0.321,0.842,1.69,2.01,0.851,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,1.28682401409674,"2021",3
"27","USGS-451021089064901","AO1","Measured","Frozen","Storm","2021-1",2021-03-10 18:09:00,2021-03-11 11:00:00,157800,4.504,7.88,22.9,44.2,52.1,21.3,NA,0.8,2.33,4.49,5.29,2.16,NA,0.355,1.03,1.99,2.35,0.958,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,1.95815650361105,"2021",3
"28","USGS-451021089064901","AO1","Measured","Frozen","Storm","2022-1",2021-12-16 04:30:00,2021-12-16 08:15:00,5300,0.91,0.0165,0.0232,0.519,0.536,0.496,NA,0.1,0.07,1.57,1.62,1.5,NA,0.000745,0.00104,0.0234,0.0241,0.0224,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.0657682475864294,"2022",12
"29","USGS-451021089064901","AO1","Estimated","Frozen","Storm","2022-2",2022-03-06 05:01:00,2022-03-06 21:44:00,1524,0.0453,0.00951,0.0342,0.225,0.235,0.191,NA,0.1,0.36,2.37,2.47,2.01,NA,0.000428,0.00154,0.0102,0.0106,0.00861,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.018911473456928,"2022",3
"30","USGS-451021089064901","AO1","Measured","Frozen","Storm","2022-3",2022-03-16 20:45:00,2022-03-20 21:15:00,272700,1.995,1.7,6.13,40.3,42,34.2,NA,0.1,0.36,2.37,2.47,2.01,NA,0.0767,0.276,1.82,1.89,1.54,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,3.38396247487157,"2022",3
"31","USGS-451021089064901","AO1","Estimated","Frozen","Storm","2022-4",2022-03-23 06:45:00,2022-03-23 13:30:00,6481,0.6326,0.0405,0.146,0.959,0.999,0.813,NA,0.1,0.36,2.37,2.47,2.01,NA,0.00182,0.00656,0.0432,0.045,0.0366,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.0804233986052168,"2022",3
"32","USGS-451021089064901","AO1","Estimated","Frozen","Storm","2022-5",2022-04-01 19:15:00,2022-04-02 07:15:00,5562,0.531,0.0347,0.125,0.823,0.858,0.698,NA,0.1,0.36,2.37,2.47,2.01,NA,0.00156,0.00563,0.0371,0.0386,0.0314,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.0690194326557963,"2022",4
"33","USGS-451021089064901","AO1","Estimated","Frozen","Storm","2022-6",2022-04-02 17:15:00,2022-04-03 03:30:00,1204,0.0741,0.00752,0.0271,0.178,0.186,0.151,NA,0.1,0.36,2.37,2.47,2.01,NA,0.000339,0.00122,0.00803,0.00836,0.00681,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.0149405603951058,"2022",4
"34","USGS-451021089064901","AO1","Estimated","Frozen","Storm","2022-7",2022-04-03 16:45:00,2022-04-03 19:45:00,177.8,0.0262,0.00111,0.004,0.0263,0.0274,0.0223,NA,0.1,0.36,2.37,2.47,2.01,NA,5e-05,0.00018,0.00118,0.00123,0.001,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.00220633856997493,"2022",4
"35","USGS-451021089064901","AO1","Estimated","Frozen","Storm","2022-8",2022-04-04 22:00:00,2022-04-05,216.9,0.0582,0.00135,0.00487,0.0321,0.0334,0.0272,NA,0.1,0.36,2.37,2.47,2.01,NA,6.1e-05,0.00022,0.00145,0.00151,0.00123,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.00269153450971633,"2022",4
"36","USGS-451021089064901","AO1","Estimated","Frozen","Storm","2022-9",2022-04-06 08:45:00,2022-04-06 12:00:00,133.1,0.0228,0.000831,0.00299,0.0197,0.0205,0.0167,NA,0.1,0.36,2.37,2.47,2.01,NA,3.74e-05,0.000135,0.000887,0.000924,0.000752,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.00165165165165165,"2022",4
"37","USGS-451021089064901","AO1","Measured","Frozen","Storm","2023-1",2023-02-15 06:45:00,2023-02-17 00:36:00,26930,1.024,0.841,1.65,2.56,3.4,0.908,NA,0.5,0.98,1.52,2.02,0.54,NA,0.0379,0.0742,0.115,0.153,0.0409,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.334177152358971,"2023",2
"38","USGS-451021089064901","AO1","Estimated","Frozen","Storm","2023-2",2023-03-27 18:45:00,2023-03-28 00:56:00,280.5,0.0228,0.00876,0.0172,0.0266,0.0354,0.00946,NA,0.5,0.98,1.52,2.02,0.54,NA,0.000394,0.000773,0.0012,0.00159,0.000426,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.00348075348075348,"2023",3
"39","USGS-451021089064901","AO1","Estimated","Frozen","Storm","2023-3",2023-03-31 11:22:00,2023-04-01 08:59:00,3083,0.0773,0.0962,0.189,0.293,0.389,0.104,NA,0.5,0.98,1.52,2.02,0.54,NA,0.00433,0.0085,0.0132,0.0175,0.00468,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.0382572655299928,"2023",3
"40","USGS-451021089064901","AO1","Estimated","Frozen","Storm","2023-4",2023-04-03 15:56:00,2023-04-04 13:45:00,20410,1.182,0.127,1.4,1.91,2.04,0.51,NA,0.1,1.1,1.5,1.6,0.4,NA,0.00574,0.0631,0.0861,0.0918,0.023,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.253269798724344,"2023",4
