Site ID,Field ID,Percentage of basin,Field year,Previous Crop,Date of termination (if previous crop was alfalfa),Planting date (this year's crop),Crop grown this year
JF2,North Hay,25,2013,Pasture,,,Pasture
JF2,Pasture,40,2013,Pasture,,,Pasture
JF2,South Hay,35,2013,Pasture,,,Pasture
JF2,North Hay,25,2014,Pasture,,,Pasture
JF2,Pasture,40,2014,Pasture,,,Pasture
JF2,South Hay,35,2014,Pasture,,,Pasture
JF2,North Hay,25,2015,Pasture,,,Pasture
JF2,Pasture,40,2015,Pasture,,,Pasture
JF2,South Hay,35,2015,Pasture,,,Pasture
JF2,North Hay,25,2016,Pasture,,,Pasture
JF2,Pasture,40,2016,Pasture,,,Pasture
JF2,South Hay,35,2016,Pasture,,,Pasture
JF2,North Hay,25,2017,Pasture,,,Pasture
JF2,Pasture,40,2017,Pasture,,,Pasture
JF2,South Hay,35,2017,Pasture,,,Pasture
JF3,1,100,2011,Wooded Ravine,,,Wooded Ravine
JF3,1,100,2012,Wooded Ravine,,,Wooded Ravine
JF3,1,100,2013,Wooded Ravine,,,Wooded Ravine
JF3,1,100,2014,Wooded Ravine,,,Wooded Ravine
JF3,1,100,2015,Wooded Ravine,,,Wooded Ravine
JF3,1,100,2016,Wooded Ravine,,,Wooded Ravine
JF3,1,100,2017,Wooded Ravine,,,Wooded Ravine
JF4,35,10,2011,Alfalfa,,,Alfalfa
JF4,37,25,2011,Alfalfa,,,Alfalfa
JF4,38,20,2011,Alfalfa,,,Alfalfa
JF4,39,20,2011,Alfalfa,,,Alfalfa
JF4,36,20,2011,Corn,,5/8/2011,Corn
JF4,35,10,2012,Alfalfa,,5/11/2012,Corn
JF4,37,25,2012,Alfalfa,,,Alfalfa
JF4,38,20,2012,Alfalfa,,5/11/2012,Corn
JF4,39,20,2012,Alfalfa,,5/11/2012,Corn
JF4,36,20,2012,Corn,,3/30/2012,Alfalfa - new seeding
JF4,37,25,2013,Alfalfa,,5/4/2013,Corn
JF4,36,20,2013,Alfalfa - new seeding,,,Alfalfa
JF4,35,10,2013,Corn,,4/10/2013,Alfalfa - new seeding
JF4,38,20,2013,Corn,,4/10/2013,Alfalfa - new seeding
JF4,39,20,2013,Corn,,5/4/2013,Corn
JF4,38,20,2014,Alfalfa - new seeding,,5/5/2014,Corn
JF4,36,20,2014,Alfalfa,,,Alfalfa
JF4,35,10,2014,Alfalfa - new seeding,,5/5/2014,Corn
JF4,37,25,2014,Corn,,,Alfalfa - new seeding
JF4,39,20,2014,Corn,,4/20/2014,Alfalfa - new seeding
JF4,36,20,2015,Alfalfa,,,Alfalfa
JF4,37,25,2015,Alfalfa - new seeding,,,Alfalfa
JF4,39,20,2015,Alfalfa - new seeding,,,Alfalfa
JF4,35,10,2015,Corn,,5/17/2015,Corn
JF4,38,20,2015,Corn,,5/17/2015,Corn
JF4,36,20,2016,Alfalfa,,,Alfalfa
JF4,37,25,2016,Alfalfa,,,Alfalfa
JF4,39,20,2016,Alfalfa,,,Alfalfa
JF4,35,10,2016,Corn,,5/17/2016,Corn
JF4,38,20,2016,Corn,,5/17/2016,Corn
JF4,36,20,2017,Alfalfa,,5/10/2017,Corn
JF4,37,25,2017,Alfalfa,,5/10/2017,Corn
JF4,39,20,2017,Alfalfa,,5/10/2017,Corn
JF4,35,10,2017,Corn,,4/26/2017,Alfalfa - new seeding
JF4,38,20,2017,Corn,,4/26/2017,Alfalfa - new seeding
JF5,K12,25,2011,Alfalfa,,,Alfalfa
JF5,K8,25,2011,Alfalfa,,,Alfalfa
JF5,K9,25,2011,Corn Silage,,4/28/2011,Corn Silage
JF5,K12,25,2012,Alfalfa,,,Alfalfa
JF5,K8,25,2012,Alfalfa,,,Alfalfa
JF5,K9,25,2012,Corn Silage,,4/15/2012,Alfalfa - new seeding
JF5,K12,25,2013,Alfalfa,,6/1/2013,Corn Silage
JF5,K8,25,2013,Alfalfa,,6/1/2013,Corn Silage
JF5,K9,25,2013,Alfalfa - new seeding,,,Alfalfa
JF5,K9,25,2014,Alfalfa,,,Alfalfa
JF5,K12,25,2014,Corn Silage,,5/28/2014,Corn Silage
JF5,K8,25,2014,Corn Silage,,5/28/2014,Corn Silage
JF5,K9,25,2015,Alfalfa,,4/28/2015,Alfalfa - new seeding
JF5,K12,25,2015,Corn Silage,,4/28/2015,Alfalfa - new seeding
JF5,K8,25,2015,Corn Silage,,5/7/2015,Corn Silage
JF5,K12,25,2016,Alfalfa - new seeding,,,Alfalfa
JF5,K9,25,2016,Alfalfa - new seeding,,,Alfalfa
JF5,K8,25,2016,Corn Silage,,5/8/2016,Corn Silage
JF5,K12,25,2017,Alfalfa,,,Alfalfa
JF5,K9,25,2017,Alfalfa,,,Alfalfa
JF5,K8,25,2017,Corn Silage,,,Corn Silage
JF6,1,100,2011,rural village,,,rural village
JF6,1,100,2012,rural village,,,rural village
JF6,1,100,2013,rural village,,,rural village
JF6,1,100,2013,rural village,,,rural village
JF6,1,100,2014,rural village,,,rural village
JF6,1,100,2015,rural village,,,rural village
JF6,1,100,2016,rural village,,,rural village
JF6,1,100,2017,rural village,,,rural village
K5,K5,100,2007,Pasture,,,pasture
K5,K5,100,2008,Pasture,,,pasture
K5r1,K5a,38,2009,Pasture,,4/17/2009,pasture - new seeding
K5r1,K5b,62,2009,Pasture,,,pasture
K5r2,K5c,55,2010,Pasture,,4/19/2010,pasture - new seeding
K5r2,K5d,45,2010,Pasture - new seeding,,,pasture
K5,K5,100,2011,Pasture - new seeding,,,pasture
K7,K7,100,2007,Pasture,,,pasture
K7r,K7a,80,2008,Pasture,,5/11/2008,pasture - new seeding
K7r,K7b,20,2008,Pasture,,,pasture
K7,K7,100,2009,Pasture - new seeding,,,pasture
K7r,K7b,20,2010,Pasture,,4/19/2010,pasture - new seeding
K7r,K7a,80,2010,Pasture,,,pasture
K7,K7,100,2011,Pasture - new seeding,,,pasture
K8,K8,100,2008,Pasture,,,pasture
K8,K8,100,2009,Pasture,,,pasture
K8,K8,100,2010,Pasture,,,pasture
K8,K8,100,2011,Pasture,,,pasture
KD1,KD1,100,2019,Corn Silage,,6/8/2019,Corn Silage
KD1,KD1,100,2020,Corn Silage,,5/7/2020,Corn Silage
KD1,KD1,100,2021,Corn Silage,,5/6/2021,Corn Silage
KD1,KD1,100,2022,Corn Silage,,5/16/2022,Corn Silage
KD1,KD1,100,2023,Corn Silage,,9/23/2022,Wheat
KD1,KD1,100,2024,Wheat,,5/12/2024,Alfalfa/mix - new seeding
KD2,TA4,90,2019,Corn Silage,,6/8/2019,Corn Silage
KD2,H4,10,2019,Alfalfa/grass,,,Alfalfa/grass
KD2,TA4,90,2020,Corn Silage,,5/12/2020,Soybean
KD2,H4,10,2020,Alfalfa/grass,,,Alfalfa/grass
KD2,H4,10,2021,Alfalfa/grass,,,Alfalfa/grass
KD2,TA4,90,2021,Soybean,,5/13/2021,Corn Silage
KD2,TA4,90,2022,Corn Silage,,5/15/2022,Corn Silage
KD2,H4,10,2022,Ryegrass forage,,5/18/2022,Corn Silage
KD2,H4,90,2023,Corn Silage,,5/14/2023,Corn Silage
KD2,TA4,10,2023,Corn Silage,,5/14/2023,Corn Silage
KD2,TA4,90,2024,Corn Silage,,4/24/2024,Italian ryegrass
KD2,H4,10,2024,Corn Silage,,4/24/2024,Italian ryegrass
KP3,KP3,100,2006,Corn Silage,,,Corn
KP3,KP3,100,2007,Corn,,5/4/2007,Soybean
KP3,KP3,100,2008,Soybean,,5/6/2008,Corn Silage
MA1A,MA1A,100,2018,Soybean,,,Corn
MA1A,MA1A,100,2019,Corn,,6/3/2019,Soybean
MA1A,MA1A,100,2020,Soybean,,4/26/2020,Corn Silage
MT1,MT1,100,2022,Corn Silage,,5/24/2022,Corn Silage
MT1,MT1,100,2023,Corn Silage,,5/21/2023,Alfalfa - new seeding
MT1,MT1,100,2024,Alfalfa - new seeding,,5/16/2023,Alfalfa
MT2,MT2,100,2022,Pasture,,,pasture
MT3,MT3,100,2024,Pasture,,4/15/2024,pasture
P1,H11,2,2004,Alfalfa,,,Alfalfa
P1,H12,93,2004,Alfalfa,,,Alfalfa
P1,H12,95,2005,Alfalfa,,4/25/2005,Corn Silage
P1,H12,95,2006,Corn Silage,,6/9/2006,Corn Silage
P1,H12,95,2007,Corn Silage,,5/8/2007,Corn Silage
P1,H12,95,2008,Corn Silage,,5/10/2008,Corn Silage
P2,LH8,94,2004,Alfalfa,,,Alfalfa
P2,LH8,94,2005,Alfalfa,,5/7/2005,Corn Silage
P2,LH8,94,2006,Corn Silage,,6/8/2006,Corn Silage
P3,H7,100,2004,Alfalfa,,,Alfalfa
P3,H7,100,2005,Alfalfa,,5/11/2005,Corn Silage
P3,H7,100,2006,Corn Silage,,6/5/2006,Corn Silage
P3,H7,100,2007,Corn Silage,,5/12/2007,Corn Silage
P3,H7,100,2008,Corn Silage,,5/10/2008,Corn Silage
R1,A,66,2004,Corn,,4/26/2004,Corn
R1,C,34,2004,Corn,,4/26/2004,Corn
R1,A,66,2005,Corn,,5/6/2005,Soybean
R1,C,34,2005,Corn,,5/5/2005,Soybean
R1,A,66,2006,Soybean,,4/24/2006,Corn
R1,C,34,2006,Soybean,,4/25/2006,Corn
R1,A,66,2007,Corn,,5/1/2007,Corn Silage
R1,C,34,2007,Corn,,5/1/2007,Corn Silage
R1,A,66,2008,Corn Silage,,5/6/2008,Soybean
R1,C,34,2008,Corn Silage,,5/6/2008,Soybean
R1,A,66,2009,Soybean,,5/3/2009,Corn
R1,C,34,2009,Soybean,,5/3/2009,Corn
R1,A,66,2010,Corn,,4/28/2010,Corn Silage
R1,C,34,2010,Corn,,4/29/2010,Corn Silage
R2,A,78,2004,Corn,,4/26/2004,Corn
R2,C,22,2004,Corn,,4/26/2004,Corn
R2,A,78,2005,Corn,,5/6/2005,Soybean
R2,C,22,2005,Corn,,5/5/2005,Soybean
R2,A,78,2006,Soybean,,4/24/2006,Corn
R2,C,22,2006,Soybean,,4/25/2006,Corn
R2,A,78,2007,Corn,,5/1/2007,Corn Silage
R2,C,22,2007,Corn,,5/1/2007,Corn Silage
R2,A,78,2008,Corn Silage,,5/6/2008,Soybean
R2,C,22,2008,Corn Silage,,5/6/2008,Soybean
R2,A,78,2009,Soybean,,5/3/2009,Corn
R2,C,22,2009,Soybean,,5/3/2009,Corn
R2,A,78,2010,Corn,,4/28/2010,Corn Silage
R2,C,22,2010,Corn,,4/29/2010,Corn Silage
R3,B,78,2004,Corn,,5/8/2004,Soybean
R3,C,22,2004,Corn,,4/26/2004,Corn
R3,C,22,2005,Corn,,5/5/2005,Soybean
R3,B,78,2005,Soybean,,4/28/2005,Corn Silage
R3,B,78,2006,Corn Silage,,4/26/2006,Corn
R3,C,22,2006,Soybean,,4/25/2006,Corn
R3,B,78,2007,Corn,,5/5/2007,Soybean
R3,C,22,2007,Corn,,5/1/2007,Corn Silage
R3,C,22,2008,Corn Silage,,5/6/2008,Soybean
R3,B,78,2008,Soybean,,5/2/2008,Corn
R3,B,78,2009,Corn,,5/3/2009,Corn Silage
R3,C,22,2009,Soybean,,5/3/2009,Corn
R3,C,22,2010,Corn,,4/29/2010,Corn Silage
R3,B,78,2010,Corn Silage,,5/5/2010,Soybean
RE1,RE1,100,2016,Corn,,4/28/2016,Corn
RE1,RE1,100,2017,Corn,,5/31/2017,Soybean
RE1,RE1,100,2018,Soybean,,4/28/2018,Corn
RE1,RE1,100,2019,Corn,,4/24/2019,Corn
RE1,RE1,100,2020,Corn,,4/25/2020,Soybean
RE1,RE1,100,2021,Soybean,,4/21/2021,Corn
RE5,RE5,100,2016,Soybean,,4/23/2016,Corn
RE5,RE5,100,2017,Corn,,6/1/2017,Soybean
RE5,RE5,100,2018,Soybean,,4/28/2018,Corn
RE5,RE5,100,2019,Corn,,5/13/2019,Corn
RE5,RE5,100,2020,Corn,,4/25/2020,Soybean
RE5,RE5,100,2021,Soybean,,4/25/2021,Corn
RS1,RS1,100,2019,Corn,,5/3/2019,cover crop mix
RS1,RS1,100,2020,cover crop mix,,4/29/2020,Alfalfa - new seeding
RS1,RS1,100,2021,Alfalfa - new seeding,,,Alfalfa
RS1,RS1,100,2022,Alfalfa,,,Alfalfa
RS1,RS1,100,2023,Alfalfa,,,Alfalfa
RS2,RS2,100,2019,Corn,,5/10/2019,Corn
RS2,RS2,100,2020,Corn,,5/13/2020,Grass - new seeding
RS2,RS2,100,2021,Grass - new seeding,,,Grass
RS2,RS2,100,2022,Grass,5/15/2022,5/25/2022,Soybean
RS2,RS2,100,2023,Soybean,,5/23/2023,Corn
SH1A,SH1A,100,2018,Corn Silage,,5/13/2018,Alfalfa - new seeding
SH1A,SH1A,100,2019,Alfalfa - new seeding,,,Alfalfa
SH1A,SH1A,100,2020,Alfalfa,,,Alfalfa
WF1,WF1,70,2011,Corn,,5/18/2011,Corn
WF1,WF1,70,2012,Corn,,5/3/2012,Corn
WF1,WF1,70,2013,Corn,,5/27/2013,Corn
WF1,WF1,70,2014,Corn,,5/30/2014,Soybean
WF1,WF1,70,2015,Soybean,,5/2/2015,Corn
WF1,WF1,70,2016,Corn,,5/4/2016,Corn
WF1,WF1,70,2017,Corn,,5/13/2017,Soybean
WF2,Aug-49,100,2011,Soybean,,5/21/2011,Corn
WF2,Aug-49,100,2012,Corn,,4/18/2012,Alfalfa - new seeding
WF2,Aug-49,100,2013,Alfalfa - new seeding,,,Alfalfa
WF2,Aug-49,100,2014,Alfalfa,,,Alfalfa
WF2,Aug-49,100,2015,Alfalfa,,5/4/2015,Corn
WF2,Aug-49,100,2016,Corn,,5/4/2016,Corn
WF2,Aug-49,100,2017,Corn,,5/11/2017,Soybean
K6,K6,100,2007,Pasture,,,pasture
K6,K6,100,2008,Pasture,,,pasture
K6r1,K6a,38,2009,Pasture,,4/17/2009,pasture - new seeding
K6r1,K6b,62,2009,Pasture,,,pasture
K6r2,K6c,55,2010,Pasture,,4/19/2010,pasture - new seeding
K6r2,K6d,45,2010,Pasture - new seeding,,,pasture
K6,K6,100,2011,Pasture - new seeding,,,pasture
