"WQ_event_id","Field_Name","Event_Date","Calendar_Year","Month_Number","Month","Season","frozen","Ratio","P_Load_lb","Sediment_Load_lb","P_per_Sediment_lb_per_ton"
31,"AO3",2022-08-13,2022,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.01,818,4.91442542787286
32,"AO3",2022-11-10,2022,11,"Nov","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.339,110,6.16363636363636
33,"AO3",2023-04-03,2023,4,"Apr","Pre-growing season","Frozen","Total phosphorus / suspended sediment",10.7,508,42.1259842519685
34,"AO3",2023-07-05,2023,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.48,791,6.27054361567636
35,"AO3",2023-07-24,2023,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",8.56,2750,6.22545454545455
36,"AO3",2023-07-28,2023,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",6.87,2280,6.02631578947368
37,"AO3",2023-07-29,2023,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.93,539,7.16141001855288
38,"AO3",2023-08-17,2023,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.77,458,7.7292576419214
39,"AR1",2017-01-16,2017,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.599,41.4,28.9371980676329
40,"AR1",2017-01-19,2017,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.52,49.5,61.4141414141414
41,"AR1",2017-05-01,2017,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.112,48.7,4.59958932238193
42,"AR1",2017-05-17,2017,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.401,299,2.68227424749164
43,"AR1",2017-05-21,2017,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.13,79.9,3.2540675844806
44,"AR1",2017-05-23,2017,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0992,55.1,3.60072595281307
45,"AR1",2017-05-23,2017,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",1.25,634,3.94321766561514
46,"AR1",2017-05-28,2017,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.161,103,3.12621359223301
47,"AR1",2017-06-29,2017,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.196,60.6,6.46864686468647
48,"AR1",2017-07-12,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.17,20.4,16.6666666666667
49,"AR1",2017-07-16,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.167,21.4,15.607476635514
50,"AR1",2017-07-21,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.283,19.1,29.6335078534031
51,"AR1",2017-07-27,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.154,7.81,39.4366197183099
52,"AR1",2017-08-10,2017,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0973,17.2,11.3139534883721
53,"AR1",2018-01-21,2018,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",10.6,188,112.765957446809
54,"AR1",2018-02-15,2018,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.672,16.1,83.4782608695652
55,"AR1",2018-02-19,2018,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.67,123,27.1544715447154
56,"AR1",2018-02-22,2018,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.735,39.4,37.3096446700508
57,"AR1",2018-06-16,2018,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00782,0.374,41.8181818181818
58,"AR1",2018-06-19,2018,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.00346,0.139,49.7841726618705
59,"AR1",2018-07-01,2018,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.167,16.1,20.7453416149068
60,"AR1",2018-08-09,2018,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.305,39.2,15.5612244897959
61,"AR1",2018-08-17,2018,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.5,245,12.2448979591837
62,"AR1",2018-09-02,2018,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.275,63.1,8.71632329635499
63,"AR1",2018-09-02,2018,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",3.69,1380,5.34782608695652
64,"AR1",2018-09-03,2018,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",4.7,1830,5.13661202185792
65,"AR1",2018-09-20,2018,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.87,251,22.8685258964143
66,"AR1",2018-10-01,2018,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.147,11.4,25.7894736842105
67,"AR1",2018-10-02,2018,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",3.82,998,7.65531062124249
68,"AR1",2018-10-06,2018,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",4.48,881,10.1702610669694
69,"AR1",2018-12-27,2018,12,"Dec","Post-growing season","Frozen","Total phosphorus / suspended sediment",0.751,61.2,24.5424836601307
70,"AR1",2019-01-07,2019,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.465,50.5,18.4158415841584
71,"AR1",2019-02-03,2019,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.67,71.9,46.4534075104311
72,"AR1",2019-02-23,2019,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.32,62.2,42.443729903537
73,"AR1",2019-06-28,2019,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.389,4.02,193.532338308458
74,"AR1",2019-09-10,2019,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.312,23.7,26.3291139240506
75,"AR1",2019-09-12,2019,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.264,26.2,20.1526717557252
76,"AR1",2019-09-22,2019,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.51,661,7.59455370650529
77,"AR1",2019-10-02,2019,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",8.11,2380,6.81512605042017
78,"AR1",2019-10-03,2019,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.46,106,8.67924528301887
79,"AR1",2019-10-05,2019,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",1.07,236,9.06779661016949
80,"AR1",2020-02-02,2020,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.427,21.1,40.4739336492891
81,"AR1",2020-03-01,2020,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.559,29.7,37.6430976430976
82,"AR1",2020-03-02,2020,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0775,3.37,45.9940652818991
83,"AR1",2020-05-23,2020,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.143,20.4,14.0196078431373
84,"AR1",2020-06-29,2020,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.162,7.67,42.2425032594524
85,"AR1",2020-08-10,2020,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.07,445,9.30337078651685
86,"AR2",2017-01-16,2017,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",3.17,44.2,143.438914027149
87,"AR2",2017-05-17,2017,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",2.31,2360,1.95762711864407
88,"AR2",2017-05-20,2017,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.121,52.4,4.61832061068702
89,"AR2",2017-05-23,2017,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",2.9,5560,1.0431654676259
90,"AR2",2017-05-23,2017,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",10.2,13600,1.5
91,"AR2",2017-05-28,2017,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",1.97,1800,2.18888888888889
92,"AR2",2017-06-23,2017,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.94,1940,3.03092783505155
93,"AR2",2017-07-12,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",3.63,2650,2.73962264150943
94,"AR2",2017-07-16,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.06,1580,2.60759493670886
95,"AR2",2017-07-21,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.66,1220,2.72131147540984
96,"AR2",2017-07-23,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.737,581,2.53700516351119
97,"AR2",2017-07-27,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.96,2480,2.38709677419355
98,"AR2",2017-08-13,2017,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0417,20,4.17
99,"AR2",2018-02-14,2018,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.17,1.15,295.652173913043
100,"AR2",2018-02-19,2018,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",2.44,361,13.5180055401662
101,"AR2",2018-02-23,2018,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.147,4.25,69.1764705882353
102,"AR2",2018-02-24,2018,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.674,68.3,19.7364568081991
103,"AR2",2019-02-03,2019,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.862,18.4,93.695652173913
104,"AR2",2019-03-09,2019,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",5.93,19.2,617.708333333333
105,"AR2",2019-09-13,2019,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0872,26.2,6.65648854961832
106,"AR2",2020-03-01,2020,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.173,1.05,329.52380952381
107,"AR2",2020-05-23,2020,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.379,121,6.26446280991736
108,"AR2",2021-03-07,2021,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0102,0.0422,483.412322274882
109,"AR2",2021-03-08,2021,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.13,0.992,262.096774193548
110,"H3",2004-07-16,2004,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.227,429,1.05827505827506
111,"H3",2004-07-16,2004,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.567,1100,1.03090909090909
112,"H3",2005-01-02,2005,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.04,6.06,343.234323432343
113,"H3",2005-01-12,2005,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.174,1.03,337.864077669903
114,"H3",2005-02-06,2005,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",4.38,15.6,561.538461538462
115,"H3",2005-02-13,2005,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",11.9,138,172.463768115942
116,"H3",2005-02-25,2005,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",2.84,7.9,718.987341772152
117,"H3",2005-03-04,2005,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",3.82,11.4,670.175438596491
118,"H3",2005-03-05,2005,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",9.36,324,57.7777777777778
119,"H3",2005-03-18,2005,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.611,27.6,44.2753623188406
120,"H3",2005-03-20,2005,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.659,21.8,60.4587155963303
121,"H3",2005-04-20,2005,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.417,271,3.07749077490775
122,"H3",2005-05-09,2005,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0954,92.2,2.06941431670282
123,"H3",2005-06-25,2005,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.171,128,2.671875
124,"H3",2005-06-26,2005,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.108,83.6,2.58373205741627
125,"H3",2005-07-26,2005,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0208,12.9,3.22480620155039
126,"H3",2006-03-08,2006,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.463,39,23.7435897435897
127,"H3",2006-12-21,2006,12,"Dec","Post-growing season","Frozen","Total phosphorus / suspended sediment",0.014,1.18,23.728813559322
128,"H3",2007-02-22,2007,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.27,9.77,55.2712384851586
129,"H3",2007-03-10,2007,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",6.42,68.7,186.899563318777
130,"H3",2007-03-13,2007,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.239,3.55,134.647887323944
131,"JF2",2010-12-31,2010,12,"Dec","Post-growing season","Frozen","Total phosphorus / suspended sediment",0.0157,0.421,74.58432304038
132,"JF2",2011-03-16,2011,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0104,0.671,30.9985096870343
133,"JF2",2011-03-17,2011,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0492,5.26,18.7072243346008
134,"JF2",2011-03-20,2011,3,"Mar","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.113,20.1,11.2437810945274
135,"JF2",2011-03-22,2011,3,"Mar","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.452,42.4,21.3207547169811
136,"JF2",2012-03-06,2012,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",2.3,141,32.6241134751773
137,"JF2",2013-01-29,2013,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.952,20.2,94.2574257425743
138,"JF2",2013-03-09,2013,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.72,12.7,270.866141732283
139,"JF2",2013-04-10,2013,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",3.5,322,21.7391304347826
140,"JF2",2013-10-05,2013,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0124,1.91,12.9842931937173
141,"JF2",2014-03-27,2014,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",4.93,259,38.0694980694981
142,"JF2",2014-06-18,2014,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.299,82.7,7.23095525997582
143,"JF2",2014-06-19,2014,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",17.5,2300,15.2173913043478
144,"JF2",2015-03-08,2015,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",4.8,123,78.0487804878049
145,"JF2",2015-04-09,2015,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0249,2.25,22.1333333333333
146,"JF2",2015-12-14,2015,12,"Dec","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",2.64,284,18.5915492957746
147,"JF2",2016-05-26,2016,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0269,8.79,6.12059158134243
148,"JF2",2016-06-15,2016,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",8.21,1550,10.5935483870968
149,"JF2",2016-06-30,2016,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.114,78.8,2.89340101522843
150,"JF2",2016-09-07,2016,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.93,260,22.5384615384615
151,"JF2",2016-09-22,2016,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",11.3,1150,19.6521739130435
152,"JF2",2017-01-20,2017,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.57,488,6.4344262295082
153,"JF2",2017-03-07,2017,3,"Mar","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.743,84.9,17.5029446407538
154,"JF2",2017-05-17,2017,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.362,80.1,9.03870162297129
155,"JF2",2017-07-22,2017,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",5.69,824,13.8106796116505
156,"JF4",2011-02-17,2011,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.28,49.8,51.4056224899598
157,"JF4",2011-03-15,2011,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.00946,0.0907,208.599779492833
158,"JF4",2011-03-16,2011,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.438,3.49,251.002865329513
159,"JF4",2011-03-18,2011,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0135,0.0402,671.641791044776
160,"JF4",2011-03-20,2011,3,"Mar","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.18,5.56,64.7482014388489
161,"JF4",2011-03-22,2011,3,"Mar","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.474,25.9,36.6023166023166
162,"JF4",2012-02-28,2012,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.43,26.9,106.31970260223
163,"JF4",2012-03-06,2012,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.73,34.6,100
164,"JF4",2012-04-20,2012,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.14,1.9,147.368421052632
165,"JF4",2012-05-03,2012,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",2.41,1560,3.08974358974359
166,"JF4",2013-01-29,2013,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.881,11.5,153.217391304348
167,"JF4",2013-03-27,2013,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",6.36,83.9,151.609058402861
168,"JF4",2013-04-10,2013,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.34,17.7,38.4180790960452
169,"JF4",2013-04-15,2013,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.143,2.53,113.04347826087
170,"JF4",2013-05-21,2013,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.61,19.3,63.2124352331606
171,"JF4",2013-05-30,2013,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",2.48,107,46.3551401869159
172,"JF4",2013-06-13,2013,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.322,110,5.85454545454545
173,"JF4",2013-06-23,2013,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",2.64,442,11.9457013574661
174,"JF4",2013-06-25,2013,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.596,48.6,24.5267489711934
175,"JF4",2014-03-27,2014,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",8.57,568,30.1760563380282
176,"JF4",2014-04-13,2014,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",2.14,22.9,186.899563318777
177,"JF4",2014-04-28,2014,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.527,9,117.111111111111
178,"JF4",2014-06-01,2014,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.52,518,5.86872586872587
179,"JF4",2014-06-07,2014,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.24,962,2.57796257796258
180,"JF4",2014-06-17,2014,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.547,255,4.29019607843137
181,"JF4",2014-06-18,2014,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.09,308,7.07792207792208
182,"JF4",2014-06-19,2014,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",4.55,687,13.2459970887918
183,"JF4",2015-04-08,2015,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0379,1.62,46.7901234567901
184,"JF4",2015-06-12,2015,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.132,0.0959,2752.86757038582
185,"JF4",2015-12-13,2015,12,"Dec","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.261,7.58,68.8654353562005
186,"JF4",2015-12-14,2015,12,"Dec","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",3.12,247,25.2631578947368
187,"JF4",2016-02-20,2016,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.234,2,234
188,"JF4",2016-02-21,2016,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0742,0.587,252.810902896082
189,"JF4",2016-03-06,2016,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.197,0.803,490.6600249066
190,"JF4",2016-03-16,2016,3,"Mar","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.208,23.5,17.7021276595745
191,"JF4",2016-03-31,2016,3,"Mar","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",2.51,810,6.19753086419753
192,"JF4",2016-06-01,2016,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0939,10.9,17.2293577981651
193,"JF4",2016-06-15,2016,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.631,151,8.35761589403974
194,"JF4",2016-08-24,2016,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.843,175,9.63428571428571
195,"JF4",2016-09-07,2016,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.608,72.6,16.7493112947658
196,"JF4",2016-09-09,2016,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.434,23,37.7391304347826
197,"JF4",2016-09-10,2016,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.121,6.32,38.2911392405063
198,"JF4",2016-09-21,2016,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",1.5,320,9.375
199,"JF4",2016-09-22,2016,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",3.6,754,9.54907161803714
200,"JF4",2016-10-26,2016,10,"Oct","Post-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.115,3.18,72.3270440251572
201,"JF4",2017-01-18,2017,1,"Jan","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.3,1.99,301.507537688442
202,"JF4",2017-02-18,2017,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0572,0.86,133.023255813953
203,"JF4",2017-02-19,2017,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.0101,0.304,66.4473684210526
204,"JF4",2017-02-20,2017,2,"Feb","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.129,3.73,69.1689008042895
205,"JF4",2017-03-07,2017,3,"Mar","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",0.297,70.7,8.4016973125884
