"Field_Name","Water_Year","Tillage_Basin_Coverage","Tillage_Total","Tillage_Fall","Tillage_Spring","Tillage_Summer","Tillage_Summer_Previous","Crop_Basin_Coverage","Previous_PerennialFrac","Current_PerennialFrac","Residue_Fall_Frac","Residue_Spring_Frac"
"P3",2005,1,1,0,1,0,0,1,1,0,1,1
"P3",2006,1,3,1,2,0,0,1,0,0,0,0
"P3",2007,1,3,1,2,0,0,1,0,0,0,0
"P3",2008,1,3,1,2,0,0,1,0,0,0,0
"R1",2004,1,0,0,0,0,,1,0,0,0,0
"R1",2005,1,0,0,0,0,0,1,0,0,0,0
"R1",2006,1,0,0,0,0,0,1,0,0,0,0
"R1",2007,1,0,0,0,0,0,1,0,0,0,0
"R1",2008,1,0,0,0,0,0,1,0,0,0,0
"R1",2009,1,0,0,0,0,0,1,0,0,0,0
"R1",2010,1,0,0,0,0,0,1,0,0,0,0
"R2",2004,1,0,0,0,0,,1,0,0,0,0
"R2",2005,1,0,0,0,0,0,1,0,0,0,0
"R2",2006,1,0,0,0,0,0,1,0,0,0,0
"R2",2007,1,0,0,0,0,0,1,0,0,0,0
"R2",2008,1,0,0,0,0,0,1,0,0,0,0
"R2",2009,1,0,0,0,0,0,1,0,0,0,0
"R2",2010,1,0,0,0,0,0,1,0,0,0,0
"R3",2004,1,0,0,0,0,,1,0,0,0,0
"R3",2005,1,0,0,0,0,0,1,0,0,0,0
"R3",2006,1,0,0,0,0,0,1,0,0,0,0
"R3",2007,1,0,0,0,0,0,1,0,0,0,0
"R3",2008,1,0,0,0,0,0,1,0,0,0,0
"R3",2009,1,0,0,0,0,0,1,0,0,0,0
"R3",2010,1,1.56,0,0,1.56,0,1,0,0,0,0
"RE1",2015,,,,,,,1,0,0,0,0
"RE1",2016,1,2,1,1,0,,1,0,0,1,1
"RE1",2017,1,0,0,0,0,0,1,0,0,1,1
"RE1",2018,1,1,0,1,0,0,1,0,0,0,0
"RE1",2019,1,1,0,1,0,0,1,0,0,1,1
"RE1",2020,1,0,0,0,0,0,1,0,0,1,1
"RE1",2021,1,1,0,1,0,0,1,0,0,0,0
"RE5",2015,,,,,,,1,0,0,1,1
"RE5",2016,1,1,0,1,0,,1,0,0,0,0
"RE5",2017,1,0,0,0,0,0,1,0,0,1,1
"RE5",2018,1,1,0,1,0,0,1,0,0,0,0
"RE5",2019,1,1,0,1,0,0,1,0,0,1,1
"RE5",2020,1,0,0,0,0,0,1,0,0,1,1
"RE5",2021,1,1,0,1,0,0,1,0,0,0,0
"RS1",2019,1,1,0,1,0,,1,0,0,1,1
"RS1",2020,1,0,0,0,0,0,1,0,1,1,1
"RS1",2021,1,0,0,0,0,0,1,1,1,1,1
"RS1",2022,1,0,0,0,0,0,1,1,1,1,1
"RS1",2023,1,0,0,0,0,0,1,1,1,1,1
"RS2",2019,1,1,0,1,0,,1,0,0,1,1
"RS2",2020,1,1,0,1,0,0,1,0,1,1,1
"RS2",2021,1,0,0,0,0,0,1,1,1,1,1
"RS2",2022,1,0,0,0,0,0,1,1,0,1,1
"RS2",2023,1,0,0,0,0,0,1,0,0,0,0
"WF1",2011,0.7,1.4,0.7,0.7,0,,0.7,0,0,0.7,0.7
"WF1",2012,0.7,1.4,0.7,0.7,0,0,0.7,0,0,0.7,0.7
"WF1",2013,0.7,1.4,0.7,0.7,0,0,0.7,0,0,0.7,0.7
"WF1",2014,0.7,0.7,0,0.7,0,0,0.7,0,0,0.7,0.7
"WF1",2015,0.7,0.7,0,0.7,0,0,0.7,0,0,0,0
"WF1",2016,0.7,1.4,0.7,0.7,0,0,0.7,0,0,0.7,0.7
"WF1",2017,0.7,0,0,0,0,0,0.7,0,0,0.7,0.7
"WF2",2011,1,2,1,1,0,,1,0,0,0,0
"WF2",2012,1,2,0,2,0,0,1,0,1,1,1
"WF2",2013,1,0,0,0,0,0,1,1,1,1,1
"WF2",2014,1,0,0,0,0,0,1,1,1,1,1
"WF2",2015,1,2,0,2,0,0,1,1,0,1,1
"WF2",2016,1,2,0,2,0,0,1,0,0,1,1
"WF2",2017,1,1,0,1,0,0,1,0,0,1,1
