"ProjectName","Field_Name","StudyPeriod","UseableYears","Ongoing","State","County","LAT_approx","LONG_approx","FarmEnterprise","CropRotation","LandCover","Tillage","Manure","BasinArea_ac","SoilType","HydrologicGroup","DrainageClass","MeanSlope_per","IncludeAverages","Notes","Site_Type","LandCover_Updated","Tile","Tile_Notes","Approximate_Start_Date","Approximate_End_Date","Clay_Fraction","Monitoring"
"Saxon","K8","WY2008-WY2011",4,"No","WI","Manitowoc",43.903361,-87.787611,"Dairy","Grass Pasture","Pasture/Hay","No","Yes",5,"Kewaunee loam","C","Well drained",6,"Yes","No tile in basin but in surrounding area in waterways","Surface","Pasture/Hay","No","No tile in basin but in surrounding area in waterways",2007-10-02,2011-10-01,47.5,"Surface"
"Kewaunee","KD1","WY2019-WY2023",5,"Yes","WI","Kewaunee",44.40127778,-87.6955556,"Dairy","Corn","Cultivated Crops","No","Yes",2.63,"Waymor silt loam","C","Well drained",3.92,"Yes","Grassed waterway added Aug 2020","Surface","Cultivated Crops","No",,2018-10-24,,22.5,"Surface"
"Kewaunee","KD2","WY2019-WY2023",5,"Yes","WI","Kewaunee",44.36527778,-87.54988889,"Dairy","Corn","Cultivated Crops","No","Yes",19.8,"Hortonville silt loam","C","Well drained",3.96,"Yes","Waterway renovation Aug 2020","Surface","Cultivated Crops","No",,2018-10-24,,31,"Surface"
"Koepke","KP3","WY2006-WY2008",3,"No","WI","Waukesha",43.186417,-88.469833,"Dairy","Corn-Soybean-Alfalfa","Cultivated Crops","No","Yes",6.1,"Brookston silt loam","C/D","Poorly drained",2,"Yes","","Surface","Cultivated Crops","Yes","Random tile in the low area",2005-05-26,2008-10-01,30,"Surface"
"Marathon 1","MT1","WY2022-WY2023",2,"Yes","WI","Marathon",45.0324444,-90.102,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",7.7,"Loyal silt loam","C/D","Moderately well drained",4.1,"Yes","","Surface","Cultivated Crops","No",,2021-10-10,,21.5,"Surface"
"Marathon 2","MT2","WY2022-WY2023",1,"No","WI","Marathon",44.92705556,-90.0401389,"Dairy","Grass Pasture","Pasture/Hay","No","Yes",5.6,"Loyal silt loam","C/D","Moderately well drained",2.4,"Yes","Site abandoned May 2023","Surface","Pasture/Hay","No",,2021-10-06,2023-05-10,21.5,"Surface"
"Pagel","P1","WY2004-WY2008",4,"No","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",20.5,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005","Surface","Cultivated Crops","Yes","Random tile in waterways",2003-11-22,2009-10-18,31,"Surface"
"Pagel","P2","WY2004-WY2006",3,"No","WI","Kewaunee",44.487833,-87.607333,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",22.1,"Hortonville silt loam","C","Well drained",4,"Yes","","Surface","Cultivated Crops","Yes",,2003-11-22,2006-10-04,31,"Surface"
"Pagel","P3","WY2004-WY2008",4,"No","WI","Kewaunee",44.504083,-87.607083,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",13.2,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005","Surface","Cultivated Crops","Yes","Random tile in waterways",2003-11-22,2009-11-30,31,"Surface"
"Riechers","R1","WY2004-WY2010",7,"No","WI","Lafayette",42.65328,-90.28567,"Beef and Grain","Corn-Soybean","Cultivated Crops","No","Yes",16.9,"Tama silt loam","B","Well drained",5,"Yes","","Surface","Cultivated Crops","No",,2003-12-03,2010-10-01,30.5,"Surface"
"Riechers","R2","WY2004-WY2010",7,"No","WI","Lafayette",42.65243,-90.28918,"Beef and Grain","Corn-Soybean","Cultivated Crops","No","Yes",17.2,"Tama silt loam","B","Well drained",5,"Yes","","Surface","Cultivated Crops","No",,2003-12-03,2010-10-01,30.5,"Surface"
"Riechers","R3","WY2004-WY2010",7,"No","WI","Lafayette",42.64615,-90.28792,"Beef and Grain","Corn-Soybean","Cultivated Crops","No","Yes",39.5,"Tama silt loam","B","Well drained",5,"Yes","","Surface","Cultivated Crops","No",,2003-12-03,2010-10-01,30.5,"Surface"
"Rebout","RE1","WY2015-WY2021",7,"No","WI","Rock",42.664917,-89.120611,"Grain","Corn-Soybean","Cultivated Crops","Yes","No",9.4,"Winnebago silt loam","B","Well drained",3,"Yes","","Surface","Cultivated Crops","No",,2014-10-01,2021-10-01,22.5,"Surface"
"Rebout","RE5","WY2015-WY2021",7,"No","WI","Rock",42.669,-89.083722,"Grain","Corn-Soybean","Cultivated Crops","Yes","No",9.7,"Kidder silt loam","B","Well drained",3,"Yes","","Surface","Cultivated Crops","No",,2014-10-01,2021-10-01,25,"Surface"
"Lake Redstone","RS1","WY2019-WY2023",4,"No","WI","Juneau",43.660861,-90.084639,"Beef","Corn-Alfalfa","Cultivated Crops","Yes","Yes",2.1,"Norden silt loam","C","Well drained",11,"Yes","","Surface","Cultivated Crops","No",,2018-11-15,2023-02-28,20.5,"Surface"
"Lake Redstone","RS2","WY2019-WY2023",4,"No","WI","Sauk",43.639167,-90.110694,"Beef","Corn-Alfalfa","Cultivated Crops","Yes","Yes",1.9,"La Farge silt loam","C","Well drained",7,"Yes","","Surface","Cultivated Crops","No",,2018-10-22,2023-03-08,22.5,"Surface"
"Dry Run","WF1","WY2011-WY2017",7,"No","WI","St. Croix",45.082833,-92.382833,"Dairy and Grain","Corn-Soybean","Cultivated Crops","Yes","Yes",42.1,"Santiago silt loam","B","Well drained",4.4,"Yes","","Surface","Cultivated Crops","No",,2011-11-12,2017-10-01,12,"Surface"
"Dry Run","WF2","WY2011-WY2017",7,"No","WI","St. Croix",45.020833,-92.300306,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",6.7,"Freeon silt loam heavy substratum","B/D","Moderately well drained",5.3,"No","???","Surface","Cultivated Crops","No",,2011-11-18,2017-10-01,12,"Surface"
