"Field_Name","Field_ID","Basin_Percentage","Water_Year","Previous_Crop","Residue_Fall","Residue_Spring","Current_Crop","Residue_Notes","Previous_Crop_Type","Current_Crop_Type"
"H3","24A",16,2005,"Corn","Yes","Yes","Corn Silage",,"Annual","Annual"
"H3","21A",16,2006,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"H3","26A",16,2006,"Alfalfa","Yes","Yes","Corn",,"Perennial","Annual"
"H3","22A",16,2006,"Alfalfa - new seeding","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"H3","23A",16,2006,"Corn","Yes","Yes","Alfalfa - new seeding",,"Annual","Perennial"
"H3","24A",16,2006,"Corn Silage","No","No","Alfalfa - new seeding",,"Annual","Perennial"
"H3","25A",16,2006,"Corn","Yes","Yes","Alfalfa - new seeding",,"Annual","Perennial"
"H3","27A",4,2006,"Corn","Yes","Yes","Corn",,"Annual","Annual"
"H3","21A",16,2007,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"H3","22A",16,2007,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"H3","23A",16,2007,"Alfalfa - new seeding","Yes","Yes","Corn",,"Perennial","Annual"
"H3","24A",16,2007,"Alfalfa - new seeding","Yes","Yes","Corn",,"Perennial","Annual"
"H3","25A",16,2007,"Alfalfa - new seeding","Yes","Yes","Corn",,"Perennial","Annual"
"H3","26A",16,2007,"Corn","No","No","Alfalfa - new seeding",,"Annual","Perennial"
"H3","27A",4,2007,"Corn","Yes","Yes","Alfalfa - new seeding",,"Annual","Perennial"
"JF2","North Hay",25,2011,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","Pasture",40,2011,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","South Hay",35,2011,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","North Hay",25,2012,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","Pasture",40,2012,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","South Hay",35,2012,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","North Hay",25,2013,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","Pasture",40,2013,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","South Hay",35,2013,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","North Hay",25,2014,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","Pasture",40,2014,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","South Hay",35,2014,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","North Hay",25,2015,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","Pasture",40,2015,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","South Hay",35,2015,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","North Hay",25,2016,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","Pasture",40,2016,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","South Hay",35,2016,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","North Hay",25,2017,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","Pasture",40,2017,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF2","South Hay",35,2017,"Pasture","Yes","Yes","Pasture",,"Perennial","Perennial"
"JF4","35",10,2011,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF4","37",25,2011,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF4","38",20,2011,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF4","39",20,2011,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF4","36",20,2011,"Corn","No","No","Corn",,"Annual","Annual"
"JF4","35",10,2012,"Alfalfa","Yes","Yes","Corn","spring termination","Perennial","Annual"
"JF4","37",25,2012,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF4","38",20,2012,"Alfalfa","Yes","Yes","Corn","spring termination","Perennial","Annual"
"JF4","39",20,2012,"Alfalfa","Yes","Yes","Corn","spring termination","Perennial","Annual"
"JF4","36",20,2012,"Corn","No","No","Alfalfa - new seeding",,"Annual","Perennial"
"JF4","37",25,2013,"Alfalfa","Yes","Yes","Corn","spring termination","Perennial","Annual"
"JF4","36",20,2013,"Alfalfa - new seeding","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF4","35",10,2013,"Corn","Yes","Yes","Alfalfa - new seeding","fall tillage, terminate alfalfa?","Annual","Perennial"
"JF4","38",20,2013,"Corn","No","No","Alfalfa - new seeding",,"Annual","Perennial"
"JF4","39",20,2013,"Corn","No","No","Corn",,"Annual","Annual"
"JF4","38",20,2014,"Alfalfa - new seeding","Yes","Yes","Corn","spring termination","Perennial","Annual"
"JF4","36",20,2014,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF4","35",10,2014,"Alfalfa - new seeding","No","No","Corn",,"Perennial","Annual"
"JF4","37",25,2014,"Corn","Yes","Yes","Alfalfa - new seeding",,"Annual","Perennial"
"JF4","39",20,2014,"Corn","Yes","Yes","Alfalfa - new seeding",,"Annual","Perennial"
"JF4","36",20,2015,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF4","37",25,2015,"Alfalfa - new seeding","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF4","39",20,2015,"Alfalfa - new seeding","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF4","35",10,2015,"Corn","No","No","Corn",,"Annual","Annual"
"JF4","38",20,2015,"Corn","No","No","Corn",,"Annual","Annual"
"JF4","36",20,2016,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF4","37",25,2016,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF4","39",20,2016,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF4","35",10,2016,"Corn","No","No","Corn",,"Annual","Annual"
"JF4","38",20,2016,"Corn","No","No","Corn",,"Annual","Annual"
"JF4","36",20,2017,"Alfalfa","Yes","Yes","Corn","spring termination","Perennial","Annual"
"JF4","37",25,2017,"Alfalfa","Yes","Yes","Corn","spring termination","Perennial","Annual"
"JF4","39",20,2017,"Alfalfa","Yes","Yes","Corn","spring termination","Perennial","Annual"
"JF4","35",10,2017,"Corn","No","No","Alfalfa - new seeding",,"Annual","Perennial"
"JF4","38",20,2017,"Corn","No","No","Alfalfa - new seeding",,"Annual","Perennial"
"JF5","K12",25,2011,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF5","K8",25,2011,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF5","K9",25,2011,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"JF5","K12",25,2012,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF5","K8",25,2012,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF5","K9",25,2012,"Corn Silage","No","No","Alfalfa - new seeding",,"Annual","Perennial"
"JF5","K12",25,2013,"Alfalfa","Yes","Yes","Corn Silage","spring termination","Perennial","Annual"
"JF5","K8",25,2013,"Alfalfa","Yes","Yes","Corn Silage","spring termination","Perennial","Annual"
"JF5","K9",25,2013,"Alfalfa - new seeding","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF5","K9",25,2014,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF5","K12",25,2014,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"JF5","K8",25,2014,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"JF5","K9",25,2015,"Alfalfa","Yes","Yes","Alfalfa - new seeding",,"Perennial","Perennial"
"JF5","K12",25,2015,"Corn Silage","No","No","Alfalfa - new seeding",,"Annual","Perennial"
"JF5","K8",25,2015,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"JF5","K12",25,2016,"Alfalfa - new seeding","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF5","K9",25,2016,"Alfalfa - new seeding","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF5","K8",25,2016,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"JF5","K12",25,2017,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF5","K9",25,2017,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"JF5","K8",25,2017,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"K5","K5",100,2007,"Pasture","Yes","Yes","pasture",,"Perennial","Perennial"
"K5","K5",100,2008,"Pasture","Yes","Yes","pasture",,"Perennial","Perennial"
"K5","K5a",38,2009,"Pasture","Yes","Yes","pasture - new seeding",,"Perennial","Perennial"
"K5","K5b",62,2009,"Pasture","Yes","Yes","pasture",,"Perennial","Perennial"
"K5","K5c",55,2010,"Pasture","Yes","Yes","pasture - new seeding",,"Perennial","Perennial"
"K5","K5d",45,2010,"Pasture - new seeding","Yes","Yes","pasture",,"Perennial","Perennial"
"K5","K5",100,2011,"Pasture - new seeding","Yes","Yes","pasture",,"Perennial","Perennial"
"K7","K7",100,2007,"Pasture","Yes","Yes","pasture",,"Perennial","Perennial"
"K7","K7a",80,2008,"Pasture","Yes","No","pasture - new seeding","Late fall subsoiling, replanted in spring","Perennial","Perennial"
"K7","K7b",20,2008,"Pasture","Yes","Yes","pasture",,"Perennial","Perennial"
"K7","K7",100,2009,"Pasture - new seeding","Yes","Yes","pasture",,"Perennial","Perennial"
"K7","K7b",20,2010,"Pasture","Yes","Yes","pasture - new seeding","Spring tillage and planting","Perennial","Perennial"
"K7","K7a",80,2010,"Pasture","Yes","Yes","pasture",,"Perennial","Perennial"
"K7","K7",100,2011,"Pasture - new seeding","Yes","Yes","pasture",,"Perennial","Perennial"
"K8","K8",100,2008,"Pasture","Yes","Yes","pasture",,"Perennial","Perennial"
"K8","K8",100,2009,"Pasture","Yes","Yes","pasture",,"Perennial","Perennial"
"K8","K8",100,2010,"Pasture","Yes","Yes","pasture",,"Perennial","Perennial"
"K8","K8",100,2011,"Pasture","Yes","Yes","pasture",,"Perennial","Perennial"
"KD1","KD1",100,2019,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"KD1","KD1",100,2020,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"KD1","KD1",100,2021,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"KD1","KD1",100,2022,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"KD1","KD1",100,2023,"Corn Silage","No","No","Wheat",,"Annual","Annual"
"KD2","TA4",90,2019,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"KD2","H4",10,2019,"Alfalfa/grass","Yes","Yes","Alfalfa/grass",,"Perennial","Perennial"
"KD2","TA4",90,2020,"Corn Silage","No","No","Soybean",,"Annual","Annual"
"KD2","H4",10,2020,"Alfalfa/grass","Yes","Yes","Alfalfa/grass",,"Perennial","Perennial"
"KD2","H4",10,2021,"Alfalfa/grass","Yes","Yes","Alfalfa/grass",,"Perennial","Perennial"
"KD2","TA4",90,2021,"Soybean","No","No","Corn Silage",,"Annual","Annual"
"KD2","TA4",90,2022,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"KD2","H4",10,2022,"Alfalfa/grass","No","No","Corn Silage","Late summer termination","Perennial","Annual"
"KD2","H4",90,2023,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"KD2","TA4",10,2023,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"KP3","KP3",100,2006,"Corn Silage","No","No","Corn","Unknown in database, heavy residue in site photos","Annual","Annual"
"KP3","KP3",100,2007,"Corn","Yes","Yes","Soybean",,"Annual","Annual"
"KP3","KP3",100,2008,"Soybean","No","No","Corn Silage",,"Annual","Annual"
"MT1","MT1",100,2022,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"MT1","MT1",100,2023,"Corn Silage","No","No","Alfalfa - new seeding",,"Annual","Perennial"
"MT2","MT2",100,2022,"Pasture","Yes","Yes","pasture",,"Perennial","Perennial"
"P1","H11",2,2004,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"P1","H12",93,2004,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"P1","H12",95,2005,"Alfalfa","No","No","Corn Silage","Fall alfalfa termination","Perennial","Annual"
"P1","H12",95,2006,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"P1","H12",95,2007,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"P1","H12",95,2008,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"P2","LH8",94,2004,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"P2","LH8",94,2005,"Alfalfa","Yes","Yes","Corn Silage","Spring alfalfa termination","Perennial","Annual"
"P2","LH8",94,2006,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"P3","H7",100,2004,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"P3","H7",100,2005,"Alfalfa","Yes","Yes","Corn Silage","Spring alfalfa termination","Perennial","Annual"
"P3","H7",100,2006,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"P3","H7",100,2007,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"P3","H7",100,2008,"Corn Silage","No","No","Corn Silage",,"Annual","Annual"
"R1","A",66,2004,"Corn","No","No","Corn","R1-R3 farm always harvested portion of corn (grain) stalks for animal bedding","Annual","Annual"
"R1","C",34,2004,"Corn","No","No","Corn",,"Annual","Annual"
"R1","A",66,2005,"Corn","No","No","Soybean",,"Annual","Annual"
"R1","C",34,2005,"Corn","No","No","Soybean",,"Annual","Annual"
"R1","A",66,2006,"Soybean","No","No","Corn",,"Annual","Annual"
"R1","C",34,2006,"Soybean","No","No","Corn",,"Annual","Annual"
"R1","A",66,2007,"Corn","No","No","Corn Silage",,"Annual","Annual"
"R1","C",34,2007,"Corn","No","No","Corn Silage",,"Annual","Annual"
"R1","A",66,2008,"Corn Silage","No","No","Soybean",,"Annual","Annual"
"R1","C",34,2008,"Corn Silage","No","No","Soybean",,"Annual","Annual"
"R1","A",66,2009,"Soybean","No","No","Corn",,"Annual","Annual"
"R1","C",34,2009,"Soybean","No","No","Corn",,"Annual","Annual"
"R1","A",66,2010,"Corn","No","No","Corn Silage",,"Annual","Annual"
"R1","C",34,2010,"Corn","No","No","Corn Silage",,"Annual","Annual"
"R2","A",78,2004,"Corn","No","No","Corn",,"Annual","Annual"
"R2","C",22,2004,"Corn","No","No","Corn",,"Annual","Annual"
"R2","A",78,2005,"Corn","No","No","Soybean",,"Annual","Annual"
"R2","C",22,2005,"Corn","No","No","Soybean",,"Annual","Annual"
"R2","A",78,2006,"Soybean","No","No","Corn",,"Annual","Annual"
"R2","C",22,2006,"Soybean","No","No","Corn",,"Annual","Annual"
"R2","A",78,2007,"Corn","No","No","Corn Silage",,"Annual","Annual"
"R2","C",22,2007,"Corn","No","No","Corn Silage",,"Annual","Annual"
"R2","A",78,2008,"Corn Silage","No","No","Soybean",,"Annual","Annual"
"R2","C",22,2008,"Corn Silage","No","No","Soybean",,"Annual","Annual"
"R2","A",78,2009,"Soybean","No","No","Corn",,"Annual","Annual"
"R2","C",22,2009,"Soybean","No","No","Corn",,"Annual","Annual"
"R2","A",78,2010,"Corn","No","No","Corn Silage",,"Annual","Annual"
"R2","C",22,2010,"Corn","No","No","Corn Silage",,"Annual","Annual"
"R3","B",78,2004,"Corn","No","No","Soybean",,"Annual","Annual"
"R3","C",22,2004,"Corn","No","No","Corn",,"Annual","Annual"
"R3","C",22,2005,"Corn","No","No","Soybean",,"Annual","Annual"
"R3","B",78,2005,"Soybean","No","No","Corn Silage",,"Annual","Annual"
"R3","B",78,2006,"Corn Silage","No","No","Corn",,"Annual","Annual"
"R3","C",22,2006,"Soybean","No","No","Corn",,"Annual","Annual"
"R3","B",78,2007,"Corn","No","No","Soybean",,"Annual","Annual"
"R3","C",22,2007,"Corn","No","No","Corn Silage",,"Annual","Annual"
"R3","C",22,2008,"Corn Silage","No","No","Soybean",,"Annual","Annual"
"R3","B",78,2008,"Soybean","No","No","Corn",,"Annual","Annual"
"R3","B",78,2009,"Corn","No","No","Corn Silage",,"Annual","Annual"
"R3","C",22,2009,"Soybean","No","No","Corn",,"Annual","Annual"
"R3","C",22,2010,"Corn","No","No","Corn Silage",,"Annual","Annual"
"R3","B",78,2010,"Corn Silage","No","No","Soybean",,"Annual","Annual"
"RE1","RE1",100,2015,"Soybean","No","No","Corn",,"Annual","Annual"
"RE1","RE1",100,2016,"Corn","Yes","Yes","Corn",,"Annual","Annual"
"RE1","RE1",100,2017,"Corn","Yes","Yes","Soybean",,"Annual","Annual"
"RE1","RE1",100,2018,"Soybean","No","No","Corn",,"Annual","Annual"
"RE1","RE1",100,2019,"Corn","Yes","Yes","Corn",,"Annual","Annual"
"RE1","RE1",100,2020,"Corn","Yes","Yes","Soybean",,"Annual","Annual"
"RE1","RE1",100,2021,"Soybean","No","No","Corn",,"Annual","Annual"
"RE5","RE5",100,2015,"Corn","Yes","Yes","Soybean",,"Annual","Annual"
"RE5","RE5",100,2016,"Soybean","No","No","Corn",,"Annual","Annual"
"RE5","RE5",100,2017,"Corn","Yes","Yes","Soybean",,"Annual","Annual"
"RE5","RE5",100,2018,"Soybean","No","No","Corn",,"Annual","Annual"
"RE5","RE5",100,2019,"Corn","Yes","Yes","Corn",,"Annual","Annual"
"RE5","RE5",100,2020,"Corn","Yes","Yes","Soybean",,"Annual","Annual"
"RE5","RE5",100,2021,"Soybean","No","No","Corn",,"Annual","Annual"
"RS1","RS1",100,2019,"Corn","Yes","Yes","cover crop mix",,"Annual","Annual"
"RS1","RS1",100,2020,"cover crop mix","Yes","Yes","Alfalfa - new seeding",,"Annual","Perennial"
"RS1","RS1",100,2021,"Alfalfa - new seeding","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"RS1","RS1",100,2022,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"RS1","RS1",100,2023,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"RS2","RS2",100,2019,"Corn","Yes","Yes","Corn",,"Annual","Annual"
"RS2","RS2",100,2020,"Corn","Yes","Yes","Grass - new seeding",,"Annual","Perennial"
"RS2","RS2",100,2021,"Grass - new seeding","Yes","Yes","Grass",,"Perennial","Perennial"
"RS2","RS2",100,2022,"Grass","Yes","Yes","Soybean",,"Perennial","Annual"
"RS2","RS2",100,2023,"Soybean","No","No","Corn",,"Annual","Annual"
"WF1","WF1",70,2011,"Corn","Yes","Yes","Corn",,"Annual","Annual"
"WF1","WF1",70,2012,"Corn","Yes","Yes","Corn",,"Annual","Annual"
"WF1","WF1",70,2013,"Corn","Yes","Yes","Corn",,"Annual","Annual"
"WF1","WF1",70,2014,"Corn","Yes","Yes","Soybean",,"Annual","Annual"
"WF1","WF1",70,2015,"Soybean","No","No","Corn",,"Annual","Annual"
"WF1","WF1",70,2016,"Corn","Yes","Yes","Corn",,"Annual","Annual"
"WF1","WF1",70,2017,"Corn","Yes","Yes","Soybean",,"Annual","Annual"
"WF2","WF2",100,2011,"Soybean","No","No","Corn",,"Annual","Annual"
"WF2","WF2",100,2012,"Corn","Yes","Yes","Alfalfa - new seeding",,"Annual","Perennial"
"WF2","WF2",100,2013,"Alfalfa - new seeding","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"WF2","WF2",100,2014,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"WF2","WF2",100,2015,"Alfalfa","Yes","Yes","Corn","Assuming spring termination based on tillage data","Perennial","Annual"
"WF2","WF2",100,2016,"Corn","Yes","Yes","Corn",,"Annual","Annual"
"WF2","WF2",100,2017,"Corn","Yes","Yes","Soybean",,"Annual","Annual"
