"USGS_Station_Number","Field_Name","discrete","estimated","estimated_flow_fraction","frozen","storm","unique_storm_number","n_sub_flow_events","Q_start","Q_end","runoff_volume","peak_discharge","rain_mm","duration_hr","Ievent_mm_hr","I5_mm_hr","I10_mm_hr","I15_mm_hr","I30_mm_hr","I60_mm_hr","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1_mm","ARFdays2_mm","ARFdays7_mm","ARFdays14_mm","suspended_sediment_conc_mgL","suspended_sediment_load_pounds","suspended_sediment_yield_pounds_per_acre","total_dissolved_solids_conc_mgL","total_dissolved_solids_load_pounds","total_dissolved_solids_yield_pounds_per_acre","orthophosphate_conc_mgL","orthophosphate_load_pounds","orthophosphate_yield_pounds_per_acre","total_phosphorus_unfiltered_conc_mgL","total_phosphorus_unfiltered_load_pounds","total_phosphorus_unfiltered_yield_pounds_per_acre","remark_suspended_sediment","remark_total_dissolved_solids","remark_orthophosphate","remark_total_phosphorus_unfiltered","WQ_event_id","BasinArea_ac","area_ft2","runoff_mm","Monitoring","FarmEnterprise","CropRotation","LandCover","LandCover_Updated","Tile","Tile_Notes","SoilType","Hydrologic_Group","DrainageClass","MeanSlope_per","Clay_Fraction","Water_Year","Season","Tillage_Basin_Coverage","Tillage_Total","Tillage_Fall","Tillage_Spring","Tillage_Summer","Tillage_Summer_Previous","Crop_Basin_Coverage","Previous_PerennialFrac","Current_PerennialFrac","Residue_Fall_Frac","Residue_Spring_Frac","PerennialFrac","Crop_Source","Tillage_Passes","Tillage_Window","Residue_Frac","Residue"
"USGS-451337089035401","AO3",0,0,0,"Frozen","Storm","2021-1",2,2021-03-11 02:15:00,2021-03-12 03:04:00,158800,5.964,4.826,1.933,2.496312,12.192,9.144,8.128,6.096,3.556,102.2,0.2452,116,0.2785,15.748,15.748,15.748,16.256,51.9,515,23,,,,0.084,0.827,0.0369,0.237,2.34,0.105,,,,,11,22.4,975744,49.6054702872885,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2021,"Pre-growing season",1,3,1,2,0,0,1,1,0,0,0,1,"Previous crop",3,"Current post-growing season + pre-growing season",0,"No"
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2021-3",1,2021-05-25 01:24:00,2021-05-26 02:08:00,16760,12.89,28.194,24.23,1.16332,85.344,47.244,32.512,20.828,12.7,1028,8.43,997.9,8.183,0.508,1.016,21.844,25.908,49100,51300,2290,,,,0.08,0.0837,0.00374,75,78.5,3.5,,,,,12,22.4,975744,5.23543880362062,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2021,"Pre-growing season",1,3,1,2,0,0,1,1,0,0,0,1,"Previous crop",3,"Current post-growing season + pre-growing season",0,"No"
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2021-5",1,2021-05-31 21:30:00,2021-06-01 01:37:00,15350,6.924,16.764,2.383,7.03326,42.672,32.004,32.512,19.812,10.414,619.8,4.835,593.7,4.631,0,0.508,41.148,62.992,23500,22500,1000,,,,0.086,0.0824,0.00368,33.8,32.4,1.45,,,,,13,22.4,975744,4.79498720975994,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2021,"Pre-growing season",1,3,1,2,0,0,1,1,0,0,0,1,"Previous crop",3,"Current post-growing season + pre-growing season",0,"No"
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2021-6",1,2021-06-09 01:15:00,2021-06-09 03:18:00,14810,10.71,20.066,2.533,7.91972,36.576,32.004,29.464,23.876,16.002,674.1,6.336,658.6,6.191,0,0,1.016,31.75,25300,23400,1050,,,,0.091,0.0841,0.00376,27.7,25.6,1.14,,,,,14,22.4,975744,4.6263036206218,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2021,"Growing season",1,3,1,2,0,0,1,1,0,0,0,0,"Current crop",2,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2021-7",1,2021-06-10 23:57:00,2021-06-11 20:57:00,24040,14.42,8.382,20.55,0.407924,12.192,7.62,7.112,4.064,2.794,170,0.272,186.5,0.2984,0,20.32,20.32,40.386,68400,103000,4580,,,,0.11,0.165,0.00737,66.1,99.2,4.43,,,,,15,22.4,975744,7.50954348681621,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2021,"Growing season",1,3,1,2,0,0,1,1,0,0,0,0,"Current crop",2,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2021-8",1,2021-06-21 02:11:00,2021-06-21 06:00:00,14640,6.433,25.654,8.317,3.08356,24.384,18.288,19.304,15.748,11.176,698.8,4.333,733.7,4.549,0,0.508,2.54,31.242,8990,8220,367,,,,0.091,0.0832,0.00371,8.78,8.03,0.358,,,,,16,22.4,975744,4.57319952774498,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2021,"Growing season",1,3,1,2,0,0,1,1,0,0,0,0,"Current crop",2,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2021-12",1,2021-07-06 20:50:00,2021-07-07 17:00:00,7483,3.867,39.116,19.33,2.023364,106.68,73.152,50.8,25.4,12.7,1213,12.13,1233,12.33,1.524,10.922,13.97,65.532,10700,4990,223,,,,0.191,0.0892,0.00398,17.9,8.36,0.373,,,,,17,22.4,975744,2.33751721763085,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2021,"Growing season",1,3,1,2,0,0,1,1,0,0,0,0,"Current crop",2,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2021-14",1,2021-07-20 08:15:00,2021-07-24 15:00:00,6758,2.775,26.162,31.62,0.827532,42.672,39.624,34.544,23.876,16.51,832.3,7.823,821.5,7.722,0,0,0,16.764,4980,2100,93.7,,,,0.192,0.081,0.00362,10.2,4.3,0.192,,,,,18,22.4,975744,2.11104388036206,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2021,"Growing season",1,3,1,2,0,0,1,1,0,0,0,0,"Current crop",2,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2021-17",1,2021-08-08 02:06:00,2021-08-09 10:45:00,14440,5.649,66.802,37.42,1.785366,112.776,83.82,61.976,33.02,20.32,2083,27.08,2114,27.48,0,1.016,2.54,33.274,6460,5820,260,,,,0.23,0.207,0.00926,11.7,10.5,0.471,,,,,19,22.4,975744,4.51072412436049,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2021,"Growing season",1,3,1,2,0,0,1,1,0,0,0,0,"Current crop",2,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2021-18",1,2021-08-11 18:20:00,2021-08-11 21:45:00,4327,3.316,16.002,1.6,10.00252,79.248,64.008,54.864,30.988,15.494,641.4,7.825,617.2,7.53,0,0,67.818,77.216,5440,1470,65.6,,,,0.847,0.229,0.0102,12.2,3.3,0.147,,,,,20,22.4,975744,1.35165535222353,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2021,"Growing season",1,3,1,2,0,0,1,1,0,0,0,0,"Current crop",2,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2021-24",1,2021-09-21 01:55:00,2021-09-21 05:15:00,14520,6.473,25.654,3.283,7.81304,76.2,64.008,53.848,40.64,23.368,970.1,15.52,939.8,15.04,0,0,5.588,14.986,5050,4580,204,,,,0.136,0.123,0.0055,10.2,9.25,0.413,,,,,21,22.4,975744,4.53571428571429,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2021,"Growing season",1,3,1,2,0,0,1,1,0,0,0,0,"Current crop",2,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Frozen","Storm","2022-4",1,2021-12-16 04:56:00,2021-12-16 20:52:00,6319,0.3702,12.954,3.15,4.11226,60.96,33.528,24.384,13.716,11.938,482.5,2.605,467.2,2.523,1.27,1.27,1.27,1.27,287,113,5.05,,,,0.152,0.06,0.00268,0.664,0.262,0.0117,,,,,22,22.4,975744,1.9739103699331,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2022,"Post-growing season",1,5,2,0,3,0,1,0,0,0,0,0,"Previous crop",2,"Previous growing season + current post-growing season",0,"No"
"USGS-451337089035401","AO3",0,0,0,"Frozen","Storm","2022-6",1,2022-03-17 08:15:00,2022-03-26 13:08:00,136900,1.354,34.544,106,0.326136,15.24,15.24,14.224,12.192,9.144,678.3,3.256,731.7,3.512,0,0,0,0,51,436,19.5,,,,0.03,0.256,0.0114,0.187,1.6,0.0713,,,,,23,22.4,975744,42.7644136166864,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2022,"Pre-growing season",1,5,2,0,3,0,1,0,0,0,0,0,"Previous crop",2,"Current post-growing season + pre-growing season",0,"No"
"USGS-451337089035401","AO3",0,0,0,"Frozen","Storm","2022-8",1,2022-04-12 15:00:00,2022-04-14 05:41:00,34390,4.719,22.352,29.45,0.758952,45.72,30.48,31.496,17.272,9.906,606.5,4.124,606.1,4.122,0,0,18.288,32.512,7480,16100,717,,,,0.044,0.0945,0.00422,14.8,31.8,1.42,,,,,24,22.4,975744,10.7426456119638,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2022,"Pre-growing season",1,5,2,0,3,0,1,0,0,0,0,0,"Previous crop",2,"Current post-growing season + pre-growing season",0,"No"
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2022-11",1,2022-04-20 23:06:00,2022-04-21 10:30:00,10880,1.602,10.668,5.817,1.834134,12.192,9.144,8.128,6.096,4.572,216,0.5183,255.4,0.613,0,0,8.382,31.75,1000,681,30.4,,,,0.034,0.0231,0.00103,3.44,2.34,0.104,,,,,25,22.4,975744,3.39866194411649,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2022,"Pre-growing season",1,5,2,0,3,0,1,0,0,0,0,0,"Previous crop",2,"Current post-growing season + pre-growing season",0,"No"
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2022-13",1,2022-04-30 19:30:00,2022-05-01 04:05:00,2623,0.6086,26.924,8.317,3.2385,30.48,25.908,24.384,17.272,10.922,784.7,5.336,808,5.494,0.254,0.254,5.08,19.558,5040,825,36.8,,,,0.102,0.0167,0.000746,15.2,2.49,0.111,,,,,26,22.4,975744,0.819364915387643,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2022,"Pre-growing season",1,5,2,0,3,0,1,0,0,0,0,0,"Previous crop",2,"Current post-growing season + pre-growing season",0,"No"
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2022-14",1,2022-05-12 08:08:00,2022-05-13 01:00:00,2924,1.36,28.956,17.6,1.645158,60.96,44.196,32.512,17.78,10.922,1003,7.018,970.8,6.796,0,0.508,0.508,33.02,7350,1340,59.9,,,,0.065,0.0119,0.00053,16.9,3.08,0.138,,,,,27,22.4,975744,0.913390397481307,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2022,"Pre-growing season",1,5,2,0,3,0,1,0,0,0,0,0,"Previous crop",2,"Current post-growing season + pre-growing season",0,"No"
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2022-16",1,2022-05-20 00:15:00,2022-05-20 15:00:00,23600,6.58,37.338,17.9,2.085848,60.96,47.244,36.576,23.368,16.764,1144,10.52,1153,10.61,11.43,11.938,25.654,42.672,10300,15100,675,,,,0.103,0.152,0.00678,20.8,30.7,1.37,,,,,28,22.4,975744,7.37209759937033,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2022,"Pre-growing season",1,5,2,0,3,0,1,0,0,0,0,0,"Previous crop",2,"Current post-growing season + pre-growing season",0,"No"
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2022-17",1,2022-06-15 22:57:00,2022-06-16 01:45:00,5535,2.665,13.462,2.183,6.16458,79.248,50.292,36.576,23.876,13.208,503.9,4.736,490.4,4.61,0.508,4.064,18.288,22.352,18600,6430,287,,,,0.082,0.0283,0.00126,16.6,5.74,0.256,,,,,29,22.4,975744,1.72900678866588,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2022,"Growing season",1,5,2,0,3,0,1,0,0,0,0,0,"Current crop",3,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2022-24",1,2022-08-07 03:22:00,2022-08-08 12:30:00,33800,9.316,38.862,31.75,1.224026,51.816,36.576,32.512,26.416,21.844,1383,14.38,1312,13.64,0,0,16.256,27.686,3880,8180,365,,,,0.132,0.279,0.0124,7.41,15.6,0.698,,,,,30,22.4,975744,10.5583431719795,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2022,"Growing season",1,5,2,0,3,0,1,0,0,0,0,0,"Current crop",3,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2022-25",1,2022-08-13 08:16:00,2022-08-13 16:45:00,5875,2.226,25.146,8.7,2.89052,57.912,38.1,28.448,15.748,9.144,776.7,4.815,781,4.842,0,0,38.862,55.118,2230,818,36.5,,,,0.153,0.0561,0.0025,5.49,2.01,0.0899,,,,,31,22.4,975744,1.83521497441952,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2022,"Growing season",1,5,2,0,3,0,1,0,0,0,0,0,"Current crop",3,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2023-3",1,2022-11-10 22:48:00,2022-11-11 01:30:00,3722,0.9588,19.812,1.65,12.00658,36.576,28.956,25.4,19.812,14.478,724.4,5.65,693,5.405,0,8.89,53.848,53.848,474,110,4.92,,,,0.173,0.0402,0.00179,1.46,0.339,0.0151,,,,,32,22.4,975744,1.16266725698544,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2023,"Post-growing season",1,2,0,1,1,3,1,0,1,0,0,0,"Previous crop",3,"Previous growing season + current post-growing season",0,"No"
"USGS-451337089035401","AO3",0,0,0,"Frozen","Storm","2023-6",3,2023-04-03 19:34:00,2023-04-13 05:15:00,371600,6.117,12.192,19.28,0.632206,21.336,15.24,12.192,9.144,6.858,327.6,1.179,335.9,1.209,0,0,37.592,37.592,22.6,508,22.7,,,,0.258,5.99,0.268,0.46,10.7,0.476,"<",,,,33,22.4,975744,116.07929948839,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2023,"Pre-growing season",1,2,0,1,1,3,1,0,1,0,0,0,"Previous crop",1,"Current post-growing season + pre-growing season",0,"No"
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2023-11",1,2023-07-05 08:56:00,2023-07-05 10:53:00,3369,2.175,18.288,2.017,9.0678,91.44,65.532,46.736,26.416,14.732,627.3,6.524,642.7,6.684,0,0,0,19.05,3760,791,35.3,,,,0.257,0.054,0.00241,11.8,2.48,0.111,,,,,34,22.4,975744,1.05239817001181,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2023,"Growing season",1,2,0,1,1,3,1,0,1,0,0,1,"Current crop",2,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2023-13",1,2023-07-24 19:46:00,2023-07-24 23:15:00,15930,3.916,0.508,2.1,0.2419096,3.048,1.524,1.016,0.508,0.254,11.87,0.002375,9.899,0.00198,0,17.78,31.75,53.34,2770,2750,123,,,,0.29,0.288,0.0129,8.61,8.56,0.382,,,,,35,22.4,975744,4.97616587957497,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2023,"Growing season",1,2,0,1,1,3,1,0,1,0,0,1,"Current crop",2,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2023-14",1,2023-07-28 00:55:00,2023-07-28 05:25:00,23310,8.058,17.78,4.067,4.37134,57.912,41.148,34.544,22.352,12.446,560.6,4.933,567.2,4.992,0,1.524,24.638,35.56,1570,2280,102,,,,0.208,0.303,0.0135,4.72,6.87,0.307,,,,,36,22.4,975744,7.28150826446281,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2023,"Growing season",1,2,0,1,1,3,1,0,1,0,0,1,"Current crop",2,"Current pre-growing season + growing season",,
"USGS-451337089035401","AO3",0,0,0,"Non-Frozen","Storm","2023-15",1,2023-07-29 00:45:00,2023-07-29 05:15:00,16930,4.646,36.068,1.45,24.87422,67.056,62.484,49.784,35.052,34.036,1464,20.21,1374,18.96,17.78,17.78,40.894,53.34,510,539,24.1,,,,0.174,0.184,0.00821,1.83,1.93,0.0863,,,,,37,22.4,975744,5.28854289649744,"Surface","Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",2.5,0.125,2023,"Growing season",1,2,0,1,1,3,1,0,1,0,0,1,"Current crop",2,"Current pre-growing season + growing season",,
