"Field_Name","Calendar_Year","Monitored_Months","P_Event_Number","Precipitation_mm","Q_Event_Number","Runoff_mm","Complete_Monitoring_Year"
"K5",2009,12,98,530.2758,12,75.9892540234885,TRUE
"K5",2010,12,85,621.7666,16,71.9397364796289,TRUE
"K5",2011,10,67,446.786,21,69.3647962882412,FALSE
"K7",2006,3,20,173.1772,1,16.8750229568411,FALSE
"K7",2007,12,91,461.645,2,61.0479903581267,TRUE
"K7",2008,12,92,675.3098,11,148.4473728191,TRUE
"K7",2009,12,98,530.2758,15,91.1743962350781,TRUE
"K7",2010,12,85,621.7666,8,46.9822447199265,TRUE
"K7",2011,10,67,446.786,13,42.828505050505,FALSE
"K8",2007,3,15,67.0306,0,0,FALSE
"K8",2008,12,92,675.3098,21,115.982697520661,TRUE
"K8",2009,12,98,530.2758,12,99.5737377410469,TRUE
"K8",2010,12,85,621.7666,18,79.8755129476584,TRUE
"K8",2011,10,67,446.786,20,66.8624561983471,FALSE
"KD1",2018,3,10,70.358,6,52.4673663702354,FALSE
"KD1",2019,12,120,944.372,58,495.717307188721,TRUE
"KD1",2020,12,98,799.338,37,340.669794383517,TRUE
"KD1",2021,12,107,780.288,19,115.587572929433,TRUE
"KD1",2022,12,106,755.65,19,226.21907425447,TRUE
"KD1",2023,9,82,416.306,13,192.352939697703,FALSE
"KD2",2018,3,11,81.28,3,6.65798480674514,FALSE
"KD2",2019,12,117,1042.416,32,366.082403372568,TRUE
"KD2",2020,12,90,842.01,19,178.975042435373,TRUE
"KD2",2021,12,97,803.656,17,70.725291760581,TRUE
"KD2",2022,12,93,805.688,15,139.177645045496,TRUE
"KD2",2023,9,81,418.338,12,31.1045571416646,FALSE
"KP3",2005,8,58,417.576,0,0,FALSE
"KP3",2006,12,133,962.152,7,70.7710554125457,TRUE
"KP3",2007,12,96,819.658,17,27.6162913787653,TRUE
"KP3",2008,10,72,768.35,14,153.740603350946,FALSE
"MT1",2021,3,13,55.372,2,17.9674716468104,FALSE
"MT1",2022,12,107,772.922,26,259.991186719617,TRUE
"MT1",2023,9,78,482.092,0,0,FALSE
"MT2",2021,3,13,55.372,3,3.23672569854388,FALSE
"MT2",2022,12,109,759.46,21,144.771378394333,TRUE
"MT2",2023,5,25,183.134,14,151.826350846123,FALSE
"P1",2003,2,5,74.5998,1,0.194421017268024,FALSE
"P1",2004,12,121,857.377,25,129.09197151112,TRUE
"P1",2005,12,85,591.5914,13,54.1731841698582,TRUE
"P1",2006,12,108,694.6392,13,46.562877914399,TRUE
"P1",2007,12,82,458.3176,5,52.0921351877982,TRUE
"P1",2008,12,90,558.1396,10,42.594552442384,TRUE
"P1",2009,10,85,423.6974,1,0.0638626620976954,FALSE
"P2",2003,2,5,74.5998,2,0.173094748388866,FALSE
"P2",2004,12,121,857.377,26,124.029210326216,TRUE
"P2",2005,12,85,591.5914,13,66.3177368086459,TRUE
"P2",2006,10,84,582.3712,15,56.3753163057976,FALSE
"P3",2003,2,5,74.5998,1,0.45460889890642,FALSE
"P3",2004,12,121,857.377,28,176.828390099341,TRUE
"P3",2005,12,85,591.5914,14,97.8659625177394,TRUE
"P3",2006,12,108,694.6392,20,113.614375991318,TRUE
"P3",2007,12,82,458.3176,9,60.3508686033892,TRUE
"P3",2008,12,90,558.1396,13,69.4251293931046,TRUE
"P3",2009,11,97,519.049,1,0.772347441355706,FALSE
"R1",2003,1,5,35.7886,0,0,FALSE
"R1",2004,12,124,793.3436,13,54.7536505452589,TRUE
"R1",2005,12,93,532.7396,18,114.529087322933,TRUE
"R1",2006,12,113,743.1786,1,13.7377866888356,TRUE
"R1",2007,12,113,819.785,9,14.6649009731527,TRUE
"R1",2008,12,108,911.6568,29,100.631192071332,TRUE
"R1",2009,12,119,914.3238,18,97.975551208698,TRUE
"R1",2010,10,85,823.4426,14,66.7470943974441,FALSE
"R2",2003,1,5,35.7886,0,0,FALSE
"R2",2004,12,124,793.3436,12,49.1152098148504,TRUE
"R2",2005,12,93,532.7396,19,96.1887292587611,TRUE
"R2",2006,12,113,743.1786,0,0,TRUE
"R2",2007,12,113,819.785,8,15.4048420782882,TRUE
"R2",2008,12,108,911.6568,23,82.8313543468512,TRUE
"R2",2009,12,119,914.3238,10,76.7066493689538,TRUE
"R2",2010,10,85,823.4426,8,30.4734909347171,FALSE
"R3",2003,1,5,35.7886,0,0,FALSE
"R3",2004,12,124,793.3436,15,31.5570088921436,TRUE
"R3",2005,12,93,532.7396,19,69.8492471318478,TRUE
"R3",2006,12,113,743.1786,2,3.67736234613104,TRUE
"R3",2007,12,113,819.785,12,35.0158800432403,TRUE
"R3",2008,12,108,911.6568,22,65.3775823133521,TRUE
"R3",2009,12,119,914.3238,11,91.3759442061582,TRUE
"R3",2010,10,85,823.4426,10,59.8139220978484,FALSE
"RE1",2014,3,15,47.752,0,0,FALSE
"RE1",2015,12,100,864.108,4,9.45521364515562,TRUE
"RE1",2016,12,111,982.472,6,7.34331106031299,TRUE
"RE1",2017,12,133,1173.988,13,25.1123685598734,TRUE
"RE1",2018,12,132,1205.738,19,100.16221499326,TRUE
"RE1",2019,12,135,1106.424,7,116.908185921107,TRUE
"RE1",2020,12,96,919.48,2,0.0410157669538714,TRUE
"RE1",2021,10,53,420.878,0,0,FALSE
"RE5",2014,3,15,51.816,0,0,FALSE
"RE5",2015,12,102,891.032,7,18.8313901905654,TRUE
"RE5",2016,12,114,954.278,11,13.562536707279,TRUE
"RE5",2017,12,127,1136.142,17,110.521704012951,TRUE
"RE5",2018,12,130,1268.984,18,136.593655959785,TRUE
"RE5",2019,12,136,1177.29,14,133.699465507938,TRUE
"RE5",2020,12,99,978.916,4,3.76747550481384,TRUE
"RE5",2021,10,52,407.924,1,0.218213058419244,FALSE
"RS1",2018,2,5,22.606,0,0,FALSE
"RS1",2019,12,115,819.912,12,112.152845336482,TRUE
"RS1",2020,12,84,733.552,9,79.7039538239539,TRUE
"RS1",2021,12,90,588.264,5,29.5776885740521,TRUE
"RS1",2022,12,92,723.9,11,64.2330447330447,TRUE
"RS1",2023,2,9,48.768,1,0.457153351698806,FALSE
"RS2",2018,3,5,22.606,0,0,FALSE
"RS2",2019,12,115,819.912,14,200.699773814702,TRUE
"RS2",2020,12,84,733.552,8,47.793025953313,TRUE
"RS2",2021,12,90,588.264,4,36.4648542844714,TRUE
"RS2",2022,12,92,723.9,11,96.1734522256053,TRUE
"RS2",2023,3,9,48.768,5,8.49760185587936,FALSE
"WF1",2011,2,4,25.654,0,0,FALSE
"WF1",2012,12,98,663.448,13,21.0260569416907,TRUE
"WF1",2013,12,95,540.004,13,124.948726827768,TRUE
"WF1",2014,12,100,1050.036,28,215.221416802444,TRUE
"WF1",2015,12,106,923.29,29,72.2826895166303,TRUE
"WF1",2016,12,107,800.1,8,15.3064655189337,TRUE
"WF1",2017,10,102,759.714,14,77.8775604457445,FALSE
"WF2",2011,2,4,30.734,0,0,FALSE
"WF2",2012,12,94,659.384,22,156.930037416225,TRUE
"WF2",2013,12,90,474.472,9,264.850220796843,TRUE
"WF2",2014,12,110,978.916,23,527.68074421282,TRUE
"WF2",2015,12,104,941.832,17,218.552791414827,TRUE
"WF2",2016,12,109,815.594,11,212.740691583405,TRUE
"WF2",2017,10,107,736.854,18,248.25808149336,FALSE
