"Field_Name","Monitoring_Years","Mean_Annual_P_Events","SD_Annual_P_Events","Mean_Annual_Precipitation_mm","SD_Annual_Precipitation_mm","Mean_Annual_Q_Events","SD_Annual_Q_Events","Mean_Annual_Runoff_mm","SD_Annual_Runoff_mm","Annual_P_Events_Lower","Annual_P_Events_Upper","Annual_Precipitation_Lower","Annual_Precipitation_Upper","Annual_Q_Events_Lower","Annual_Q_Events_Upper","Annual_Runoff_Lower","Annual_Runoff_Upper","ProjectName","StudyPeriod","UseableYears","Ongoing","State","County","LAT_approx","LONG_approx","FarmEnterprise","CropRotation","LandCover","Tillage","Manure","BasinArea_ac","SoilType","DrainageClass","MeanSlope_per","IncludeAverages","Notes","Monitoring","LandCover_Updated","Tile","Tile_Notes","Approximate_Start_Date","Approximate_End_Date","Clay_Fraction","Hydrologic_Group","Mean_Total_Tillage_Passes","Mean_Previous_Perennial_Fraction","Mean_Current_Perennial_Fraction","Mean_Fall_Residue_Fraction","Mean_Spring_Residue_Fraction","Tillage_Years","Crop_Years"
"K8",3,91.6666666666667,6.50640709864771,609.1174,73.3397367358242,17,4.58257569495584,98.4773160697888,18.0785452901534,85.160259568019,98.1730737653144,535.777663264176,682.457136735824,12.4174243050442,21.5825756949558,80.3987707796354,116.555861359942,"Saxon","WY2008-WY2011",4,"No","WI","Manitowoc",43.903361,-87.787611,"Dairy","Grass Pasture","Pasture/Hay","No","Yes",5,"Kewaunee loam","Well drained",6,"Yes","No tile in basin but in surrounding area in waterways","Surface","Pasture/Hay","No","No tile in basin but in surrounding area in waterways",2007-10-02,2011-10-01,0.475,"Moderate-infiltration",0,1,1,1,1,4,4
"KD1",4,107.75,9.10585891976516,819.912,84.8788295081092,33.25,18.5539753152795,294.548437189035,162.57509713155,98.6441410802348,116.855858919765,735.033170491891,904.790829508109,14.6960246847205,51.8039753152795,131.973340057485,457.123534320586,"Kewaunee","WY2019-WY2023",5,"Yes","WI","Kewaunee",44.40127778,-87.6955556,"Dairy","Corn","Cultivated Crops","No","Yes",2.63,"Waymor silt loam","Well drained",3.92,"Yes","Grassed waterway added Aug 2020","Surface","Cultivated Crops","No","",2018-10-24,,0.225,"Moderate-infiltration",0,0,0,0,0,5,5
"KD2",4,99.25,12.1757956618859,873.4425,114.018819515318,20.75,7.67571929311297,188.740095653505,126.39828693411,87.0742043381141,111.425795661886,759.423680484682,987.461319515318,13.074280706887,28.425719293113,62.341808719395,315.138382587614,"Kewaunee","WY2019-WY2023",5,"Yes","WI","Kewaunee",44.36527778,-87.54988889,"Dairy","Corn","Cultivated Crops","No","Yes",19.8,"Hortonville silt loam","Well drained",3.96,"Yes","Waterway renovation Aug 2020","Surface","Cultivated Crops","No","",2018-10-24,,0.31,"Moderate-infiltration",0.36,0.08,0.06,0.06,0.06,5,5
"KP3",2,114.5,26.1629509039023,890.905,100.758473678396,12,7.07106781186548,49.1936733956555,30.5150262887915,88.3370490960977,140.662950903902,790.146526321604,991.663473678396,4.92893218813452,19.0710678118655,18.678647106864,79.708699684447,"Koepke","WY2006-WY2008",3,"No","WI","Waukesha",43.186417,-88.469833,"Dairy","Corn-Soybean-Alfalfa","Cultivated Crops","No","Yes",6.1,"Brookston silt loam","Poorly drained",2,"Yes","","Surface","Cultivated Crops","Yes","Random tile in the low area",2005-05-26,2008-10-01,0.3,"Slow-infiltration",0,0,0,0.333333333333333,0.333333333333333,3,3
"MT1",1,107,0,772.922,0,26,0,259.991186719617,0,107,107,772.922,772.922,26,26,259.991186719617,259.991186719617,"Marathon 1","WY2022-WY2023",2,"Yes","WI","Marathon",45.0324444,-90.102,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",7.7,"Loyal silt loam","Moderately well drained",4.1,"Yes","","Surface","Cultivated Crops","No","",2021-10-10,,0.215,"Slow-infiltration",0.5,0,0.5,0,0,2,2
"MT2",1,109,0,759.46,0,21,0,144.771378394333,0,109,109,759.46,759.46,21,21,144.771378394333,144.771378394333,"Marathon 2","WY2022-WY2023",1,"No","WI","Marathon",44.92705556,-90.0401389,"Dairy","Grass Pasture","Pasture/Hay","No","Yes",5.6,"Loyal silt loam","Moderately well drained",2.4,"Yes","Site abandoned May 2023","Surface","Pasture/Hay","No","",2021-10-06,2023-05-10,0.215,"Slow-infiltration",0,1,1,1,1,1,1
"P1",5,97.2,16.6943104080402,632.01296,151.634635207224,13.2,7.36206492772238,64.9029442451119,36.1714603630085,80.5056895919598,113.89431040804,480.378324792776,783.647595207224,5.83793507227761,20.5620649277224,28.7314838821034,101.07440460812,"Pagel","WY2004-WY2008",4,"No","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",20.5,"Hortonville silt loam","Well drained",4,"Yes","Tile monitoring started WY 2005","Surface","Cultivated Crops","Yes","Random tile in waterways",2003-11-22,2009-10-18,0.31,"Moderate-infiltration",2.09,0.38,0.19,0.19,0.19,5,5
"P2",2,103,25.4558441227157,724.4842,187.938800101735,19.5,9.19238815542512,95.1734735674308,40.8081742765414,77.5441558772843,128.455844122716,536.545399898265,912.423000101735,10.3076118445749,28.6923881554251,54.3652992908894,135.981647843972,"Pagel","WY2004-WY2006",3,"No","WI","Kewaunee",44.487833,-87.607333,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",22.1,"Hortonville silt loam","Well drained",4,"Yes","","Surface","Cultivated Crops","Yes","",2003-11-22,2006-10-04,0.31,"Moderate-infiltration",1.88,0.626666666666667,0.313333333333333,0.626666666666667,0.626666666666667,3,3
"P3",5,97.2,16.6943104080402,632.01296,151.634635207224,16.8,7.39594483484024,103.616945320978,46.1897492435402,80.5056895919598,113.89431040804,480.378324792776,783.647595207224,9.40405516515976,24.1959448348402,57.4271960774382,149.806694564519,"Pagel","WY2004-WY2008",4,"No","WI","Kewaunee",44.504083,-87.607083,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",13.2,"Hortonville silt loam","Well drained",4,"Yes","Tile monitoring started WY 2005","Surface","Cultivated Crops","Yes","Random tile in waterways",2003-11-22,2009-11-30,0.31,"Moderate-infiltration",2,0.4,0.2,0.4,0.4,5,5
"R1",6,111.666666666667,10.6895587685679,785.8379,141.015125831451,14.6666666666667,9.4798030921885,66.0486948017018,44.8774445284314,100.977107898099,122.356225435235,644.822774168549,926.853025831451,5.18686357447817,24.1464697588552,21.1712502732703,110.926139330133,"Riechers","WY2004-WY2010",7,"No","WI","Lafayette",42.65328,-90.28567,"Beef and Grain","Corn-Soybean","Cultivated Crops","No","Yes",16.9,"Tama silt loam","Well drained",5,"Yes","","Surface","Cultivated Crops","No","",2003-12-03,2010-10-01,0.305,"High-infiltration",0,0,0,0,0,7,7
"R2",6,111.666666666667,10.6895587685679,785.8379,141.015125831451,12,8.17312669668102,53.3744641446174,38.8685667732268,100.977107898099,122.356225435235,644.822774168549,926.853025831451,3.82687330331898,20.173126696681,14.5058973713907,92.2430309178442,"Riechers","WY2004-WY2010",7,"No","WI","Lafayette",42.65243,-90.28918,"Beef and Grain","Corn-Soybean","Cultivated Crops","No","Yes",17.2,"Tama silt loam","Well drained",5,"Yes","","Surface","Cultivated Crops","No","",2003-12-03,2010-10-01,0.305,"High-infiltration",0,0,0,0,0,7,7
"R3",6,111.666666666667,10.6895587685679,785.8379,141.015125831451,13.5,7.00713921654194,49.4755041554788,31.7843841035354,100.977107898099,122.356225435235,644.822774168549,926.853025831451,6.49286078345806,20.5071392165419,17.6911200519435,81.2598882590142,"Riechers","WY2004-WY2010",7,"No","WI","Lafayette",42.64615,-90.28792,"Beef and Grain","Corn-Soybean","Cultivated Crops","No","Yes",39.5,"Tama silt loam","Well drained",5,"Yes","","Surface","Cultivated Crops","No","",2003-12-03,2010-10-01,0.305,"High-infiltration",0.222857142857143,0,0,0,0,7,7
"RE1",6,117.833333333333,17.7021655925671,1042.035,140.414889568023,8.5,6.34822809924155,43.1703849911103,51.5593995803287,100.131167740766,135.5354989259,901.620110431977,1182.44988956802,2.15177190075845,14.8482280992416,0,94.729784571439,"Rebout","WY2015-WY2021",7,"No","WI","Rock",42.664917,-89.120611,"Grain","Corn-Soybean","Cultivated Crops","Yes","No",9.4,"Winnebago silt loam","Well drained",3,"Yes","","Surface","Cultivated Crops","No","",2014-10-01,2021-10-01,0.225,"High-infiltration",0.833333333333333,0,0,0.571428571428571,0.571428571428571,6,7
"RE5",6,118,15.3753048750261,1067.77366666667,147.762121345989,11.8333333333333,5.56477013601341,69.4960379805553,63.7541884798967,102.624695124974,133.375304875026,920.011545320678,1215.53578801266,6.26856319731993,17.3981034693467,5.74184950065862,133.250226460452,"Rebout","WY2015-WY2021",7,"No","WI","Rock",42.669,-89.083722,"Grain","Corn-Soybean","Cultivated Crops","Yes","No",9.7,"Kidder silt loam","Well drained",3,"Yes","","Surface","Cultivated Crops","No","",2014-10-01,2021-10-01,0.25,"High-infiltration",0.666666666666667,0,0,0.571428571428571,0.571428571428571,6,7
"RS1",4,95.25,13.5984067694222,716.407,95.7148709240106,9.25,3.09569593683445,71.4168831168831,34.3036436003452,81.6515932305778,108.848406769422,620.692129075989,812.121870924011,6.15430406316555,12.3456959368345,37.1132395165379,105.720526717228,"Lake Redstone","WY2019-WY2023",4,"No","WI","Juneau",43.660861,-90.084639,"Beef","Corn-Alfalfa","Cultivated Crops","Yes","Yes",2.1,"Norden silt loam","Well drained",11,"Yes","","Surface","Cultivated Crops","No","",2018-11-15,2023-02-28,0.205,"Moderate-infiltration",0.2,0.6,0.8,1,1,5,5
"RS2",4,95.25,13.5984067694222,716.407,95.7148709240106,9.25,4.27200187265877,95.2827765695231,74.8962860824547,81.6515932305778,108.848406769422,620.692129075989,812.121870924011,4.97799812734123,13.5220018726588,20.3864904870683,170.179062651978,"Lake Redstone","WY2019-WY2023",4,"No","WI","Sauk",43.639167,-90.110694,"Beef","Corn-Alfalfa","Cultivated Crops","Yes","Yes",1.9,"La Farge silt loam","Well drained",7,"Yes","","Surface","Cultivated Crops","No","",2018-10-22,2023-03-08,0.225,"Moderate-infiltration",0.4,0.4,0.4,0.8,0.8,5,5
"WF1",5,101.2,5.16720427310553,795.3756,202.395577236263,18.2,9.62808392152873,89.7570711214934,82.993905899383,96.0327957268945,106.367204273106,592.980022763737,997.771177236263,8.57191607847127,27.8280839215287,6.76316522211035,172.750977020876,"Dry Run","WY2011-WY2017",7,"No","WI","St. Croix",45.082833,-92.382833,"Dairy and Grain","Corn-Soybean","Cultivated Crops","Yes","Yes",42.1,"Santiago silt loam","Well drained",4.4,"Yes","","Surface","Cultivated Crops","No","",2011-11-12,2017-10-01,0.12,"High-infiltration",1,0,0,0.6,0.6,7,7
"WF2",5,101.4,8.98888202169769,774.0396,209.01079548387,16.4,6.308724118235,276.150897084824,145.728324802887,92.4111179783023,110.388882021698,565.02880451613,983.05039548387,10.091275881765,22.708724118235,130.422572281937,421.879221887711,"Dry Run","WY2011-WY2017",7,"No","WI","St. Croix",45.020833,-92.300306,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",6.7,"Freeon silt loam heavy substratum","Moderately well drained",5.3,"No","???","Surface","Cultivated Crops","No","",2011-11-18,2017-10-01,0.12,"Slow-infiltration",1.28571428571429,0.428571428571429,0.428571428571429,0.857142857142857,0.857142857142857,7,7
