"field_year","Field_Name","estimated","frozen","storm_start","storm_end","month_name","runoff_in","runoff_volume_cubicft","peak_discharge_cfs","sediment_yield_lbsac","cl_yield_lbsac","no3_yield_lbsac","nh4_yield_lbsac","orgn_yield_lbsac","tn_yield_lbsac","srp_yield_lbsac","tp_yield_lbsac","sediment_conc_mgL","cl_conc_mgL","no3_conc_mgL","nh4_conc_mgL","orgn_conc_mgL","tn_conc_mgL","srp_conc_mgL","tp_conc_mgL","sediment_load_lbs","cl_load_lbs","no3_load_lbs","nh4_load_lbs","orgn_load_lbs","tn_load_lbs","srp_load_lbs","tp_load_pounds"
"2017","AR1","Measured","Non-Frozen",2017-05-23 00:19:00,2017-05-23 02:00:00,"May",0.0204005658551113,1370,0.5847,2.98,0.00116,0.000231,0.000647,0.0179,0.0188,0.000647,0.00536,"644","0.5","0.1",0.14,3.88,4.07,0.14,1.16,55.1,0.0214,0.00428,0.012,0.332,0.348,0.012,0.0992
"2017","AR1","Measured","Non-Frozen",2017-05-23 19:24:00,2017-05-23 22:10:00,"May",0.316878862333408,21280,5.544,34.2,0.0179,0.00359,0.0108,0.24,0.254,0.0101,0.0676,"477","0.5","0.1",0.15,3.34,3.54,0.14,0.942,634,0.332,0.0664,0.199,4.44,4.7,0.186,1.25
"2017","AR1","Measured","Non-Frozen",2017-05-28 11:34:00,2017-05-28 13:45:00,"May",0.0102375102375102,687.5,0.3416,5.59,0.00058,0.000116,0.000603,0.0286,0.0293,0.000441,0.00872,"2410","0.5","0.1",0.26,12.3,12.6,0.19,3.76,103,0.0107,0.00215,0.0112,0.53,0.543,0.00815,0.161
"2017","AR1","Estimated","Non-Frozen",2017-06-23 08:08:00,2017-06-23 08:41:00,"Jun",0.0016320452684089,109.6,0.09291,0.891,9.25e-05,1.85e-05,9.62e-05,0.00456,0.00468,7.03e-05,0.00139,"2410","0.5","0.1",0.26,12.3,12.6,0.19,3.76,16.5,0.00171,0.000342,0.00178,0.0844,0.0865,0.0013,0.0257
"2017","AR1","Measured","Non-Frozen",2017-06-29 06:01:00,2017-06-29 07:30:00,"Jun",0.0413074231256049,2774,1.165,3.28,0.00234,0.000468,0.00206,0.0275,0.03,0.00389,0.0106,"350","0.5","0.1",0.22,2.94,3.21,0.416,1.13,60.6,0.0433,0.00866,0.0381,0.509,0.556,0.072,0.196
"2017","AR1","Measured","Non-Frozen",2017-07-12 11:15:00,2017-07-12 13:00:00,"Jul",0.0821234457598094,5515,2.475,1.02,0.00465,0.000931,0.00168,0.0132,0.0158,0.00521,0.00778,"55","0.5","0.1",0.09,0.71,0.85,0.28,0.418,18.9,0.0861,0.0172,0.031,0.244,0.293,0.0964,0.144
"2017","AR1","Measured","Non-Frozen",2017-07-12 13:25:00,2017-07-12 14:45:00,"Jul",0.0148105129923312,994.6,0.4047,0.0772,0.000839,0.000168,0.000235,0.00208,0.00248,0.00111,0.00141,"23","0.5","0.1",0.07,0.62,0.74,0.332,0.419,1.43,0.0155,0.0031,0.00435,0.0385,0.0459,0.0206,0.026
"2017","AR1","Measured","Non-Frozen",2017-07-16 06:52:00,2017-07-16 08:30:00,"Jul",0.0944233489688035,6341,2.868,1.16,0.00535,0.00107,0.00449,0.0167,0.0223,0.00623,0.00901,"54","0.5","0.1",0.21,0.78,1.04,0.291,0.421,21.4,0.099,0.0198,0.0831,0.309,0.412,0.115,0.167
"2017","AR1","Estimated","Non-Frozen",2017-07-20 08:52:00,2017-07-20 10:15:00,"Jul",0.0127198272652818,854.2,0.3702,0.0663,0.000721,0.000144,0.000202,0.00179,0.00213,0.000957,0.00121,"23","0.5","0.1",0.07,0.62,0.74,0.332,0.419,1.23,0.0133,0.00267,0.00373,0.0331,0.0395,0.0177,0.0223
"2017","AR1","Measured","Non-Frozen",2017-07-20 10:48:00,2017-07-20 12:45:00,"Jul",0.179584543220907,12060,4.354,0.896,0.0102,0.00204,0.00326,0.0195,0.0248,0.00651,0.00961,"22","0.5","0.1",0.08,0.48,0.61,0.16,0.236,16.6,0.188,0.0377,0.0602,0.361,0.459,0.12,0.178
"2017","AR1","Measured","Non-Frozen",2017-07-21 23:32:00,2017-07-22 01:15:00,"Jul",0.253592435410617,17030,7.01,1.03,0.0144,0.00287,0.00862,0.0442,0.0557,0.0107,0.0153,"18","0.5","0.1",0.15,0.77,0.97,0.187,0.266,19.1,0.266,0.0531,0.159,0.818,1.03,0.199,0.283
"2017","AR1","Measured","Non-Frozen",2017-07-27 02:17:00,2017-07-27 04:00:00,"Jul",0.143384707021071,9629,4.283,0.422,0.00812,0.00162,0.00325,0.0221,0.027,0.00569,0.00832,"13","0.5","0.1",0.1,0.68,0.83,0.175,0.256,7.81,0.15,0.0301,0.0601,0.409,0.499,0.105,0.154
"2017","AR1","Measured","Non-Frozen",2017-08-10 20:33:00,2017-08-10 22:15:00,"Aug",0.0317176680813044,2130,0.71,0.927,0.0018,0.00431,0.00266,0.0188,0.0257,0.00293,0.00526,"129","0.5","0.6",0.37,2.61,3.58,0.408,0.732,17.2,0.0332,0.0798,0.0492,0.347,0.476,0.0543,0.0973
"2018","AR1","Estimated","Frozen",2018-01-20 22:45:00,2018-01-21 10:45:00,"Jan",0.0182116000297818,1223,0.04839,0.132,0.107,0.000206,0.0107,0.0306,0.0415,0.00574,0.00797,"32","26","0.1",2.59,7.41,10,1.39,1.93,2.44,1.99,0.00382,0.198,0.566,0.767,0.106,0.147
"2018","AR1","Measured","Frozen",2018-01-21 23:30:00,2018-01-23 00:45:00,"Jan",0.984587893678803,66120,4.322,7.14,5.8,0.0112,0.578,1.65,2.24,0.31,0.431,"32","26","0.1",2.59,7.41,10,1.39,1.93,132,107,0.206,10.7,30.6,41.5,5.74,7.97
"2018","AR1","Measured","Frozen",2018-01-23 00:45:00,2018-01-23 14:15:00,"Jan",0.585808949445313,39340,3.881,2.92,2.75,0.0531,0.139,0.539,0.731,0.084,0.13,"22","20.7","0.4",1.05,4.06,5.51,0.633,0.978,54,50.8,0.982,2.58,9.97,13.5,1.55,2.4
"2018","AR1","Measured","Frozen",2018-01-23 14:15:00,2018-01-25 07:45:00,"Jan",0.0663837391110118,4458,0.1081,0.0903,0.403,0.0135,0.0203,0.0684,0.102,0.0116,0.0145,"6","26.8","0.9",1.35,4.55,6.8,0.773,0.962,1.67,7.46,0.25,0.376,1.27,1.89,0.215,0.268
"2018","AR1","Estimated","Frozen",2018-01-25 18:30:00,2018-01-26 16:00:00,"Jan",0.0577916759734942,3881,0.1884,0.157,0.186,0.000655,0.0187,0.0461,0.0655,0.00333,0.00604,"12","14.2","0.1",1.43,3.52,5,0.254,0.461,2.91,3.44,0.0121,0.346,0.853,1.21,0.0615,0.112
"2018","AR1","Measured","Frozen",2018-01-26 16:00:00,2018-01-28 04:30:00,"Jan",0.181371454098727,12180,0.7414,0.493,0.584,0.00206,0.0588,0.145,0.206,0.0104,0.019,"12","14.2","0.1",1.43,3.52,5,0.254,0.461,9.13,10.8,0.038,1.09,2.68,3.8,0.193,0.351
"2018","AR1","Measured","Frozen",2018-02-15 03:45:00,2018-02-17 09:45:00,"Feb",0.426029335120244,28610,0.5596,0.869,0.772,0.0193,0.172,0.259,0.45,0.0212,0.0363,"9","8","0.2",1.78,2.68,4.66,0.22,0.376,16.1,14.3,0.357,3.18,4.79,8.32,0.393,0.672
"2018","AR1","Measured","Frozen",2018-02-19 17:45:00,2018-02-20 10:00:00,"Feb",0.853547762638672,57320,2.237,1.74,0.6,0.0387,0.559,0.516,1.11,0.000193,0.0267,"9","3.1","0.2",2.89,2.67,5.76,0.002,0.138,32.2,11.1,0.716,10.3,9.55,20.6,0.00358,0.494
"2018","AR1","Measured","Frozen",2018-02-20 10:00:00,2018-02-20 17:15:00,"Feb",0.635395726304817,42670,2.874,1.58,0.202,0.0072,0.338,0.33,0.675,0.000144,0.018,"11","1.4","0.1",2.35,2.29,4.69,0.002,0.125,29.3,3.73,0.133,6.26,6.1,12.5,0.00266,0.333
"2018","AR1","Measured","Frozen",2018-02-20 17:15:00,2018-02-21 17:30:00,"Feb",0.971037152855335,65210,6.36,3.3,0.374,0.011,0.376,0.592,0.979,0.00022,0.0458,"15","1.7","0.1",1.71,2.69,4.45,0.002,0.208,61.1,6.92,0.204,6.96,11,18.1,0.00407,0.847
"2018","AR1","Measured","Frozen",2018-02-22 21:15:00,2018-02-24 17:00:00,"Feb",0.250614250614251,16830,0.5011,1.02,0.25,0.00284,0.273,0.346,0.622,0.000511,0.0165,"18","4.4","0.1",4.81,6.09,11,0.009,0.291,18.9,4.62,0.0525,5.05,6.4,11.5,0.00946,0.306
"2018","AR1","Measured","Frozen",2018-02-24 17:00:00,2018-02-26 03:30:00,"Feb",0.305412850867396,20510,1.76,1.11,0.651,0.00346,0.21,0.296,0.509,0.00332,0.0232,"16","9.4","0.1",3.03,4.27,7.35,0.048,0.335,20.5,12,0.064,3.88,5.47,9.41,0.0615,0.429
"2018","AR1","Estimated","Non-Frozen",2018-04-15,2018-04-15 00:45:00,"Apr",0.00149207058297967,100.2,0.08333,0.0155,0.000811,0.000406,0.000247,0.000575,0.00123,0.000269,0.000325,"46","2.4","1.2",0.73,1.7,3.63,0.797,0.961,0.288,0.015,0.0075,0.00456,0.0106,0.0227,0.00498,0.00601
"2018","AR1","Measured","Non-Frozen",2018-06-16 06:18:00,2018-06-16 07:01:00,"Jun",0.00194028739483285,130.3,0.1054,0.0202,0.00106,0.000528,0.000321,0.000748,0.0016,0.000351,0.000423,"46","2.4","1.2",0.73,1.7,3.63,0.797,0.961,0.374,0.0195,0.00976,0.00594,0.0138,0.0295,0.00649,0.00782
"2018","AR1","Measured","Non-Frozen",2018-06-19 13:20:00,2018-06-19 13:54:00,"Jun",0.0010081155535701,67.7,0.05749,0.00754,0.000251,0.000114,7.31e-05,0.000338,0.000525,0.000156,0.000187,"33","1.1","0.5",0.32,1.48,2.3,0.681,0.818,0.139,0.00465,0.00211,0.00135,0.00625,0.00972,0.00288,0.00346
"2018","AR1","Measured","Non-Frozen",2018-07-01 20:30:00,2018-07-01 22:30:00,"Jul",0.0222619313528404,1495,0.4822,0.868,0.0328,0.0126,0.00731,0.0249,0.0448,0.00625,0.00903,"172","6.5","2.5",1.45,4.94,8.89,1.24,1.79,16.1,0.607,0.233,0.135,0.461,0.83,0.116,0.167
"2018","AR1","Estimated","Non-Frozen",2018-07-20 04:47:00,2018-07-20 05:15:00,"Jul",0.00056734420370784,38.1,0.0406,0.0221,0.000836,0.000321,0.000186,0.000635,0.00114,0.000159,0.00023,"172","6.5","2.5",1.45,4.94,8.89,1.24,1.79,0.409,0.0155,0.00595,0.00345,0.0118,0.0211,0.00295,0.00426
"2018","AR1","Measured","Non-Frozen",2018-08-09 22:51:00,2018-08-10 01:00:00,"Aug",0.0890626163353436,5981,1.94,2.12,0.00505,0.0343,0.0117,0.0571,0.103,0.00971,0.0165,"105","0.5","1.7",0.58,2.83,5.11,0.481,0.816,39.2,0.0934,0.635,0.217,1.06,1.91,0.18,0.305
"2018","AR1","Measured","Non-Frozen",2018-08-17 04:03:00,2018-08-17 07:00:00,"Aug",0.470702107065743,31610,10.19,13.2,0.0267,0.0427,0.0181,0.23,0.291,0.0414,0.0809,"124","0.5","0.4",0.17,2.16,2.73,0.388,0.758,245,0.493,0.789,0.336,4.26,5.39,0.766,1.5
"2018","AR1","Estimated","Non-Frozen",2018-08-20 19:12:00,2018-08-20 19:45:00,"Aug",0.000684982503164321,46,0.03556,0.0517,0.000155,0.000171,0.000126,0.00095,0.00125,7.29e-05,0.000225,"333","1","1.1",0.81,6.12,8.03,0.47,1.45,0.956,0.00287,0.00316,0.00233,0.0176,0.023,0.00135,0.00416
"2018","AR1","Estimated","Non-Frozen",2018-09-01 14:06:00,2018-09-01 17:30:00,"Sep",0.00443153897699352,297.6,0.04119,0.334,0.001,0.0011,0.000813,0.00615,0.00806,0.000472,0.00146,"333","1","1.1",0.81,6.12,8.03,0.47,1.45,6.19,0.0186,0.0204,0.015,0.114,0.149,0.00873,0.0269
"2018","AR1","Measured","Non-Frozen",2018-09-02 06:35:00,2018-09-02 11:30:00,"Sep",0.045223736132827,3037,0.372,3.41,0.0102,0.0113,0.0083,0.0627,0.0823,0.00482,0.0149,"333","1","1.1",0.81,6.12,8.03,0.47,1.45,63.1,0.19,0.209,0.154,1.16,1.52,0.0891,0.275
"2018","AR1","Measured","Non-Frozen",2018-09-02 23:43:00,2018-09-03 05:30:00,"Sep",0.345469436378527,23200,6.514,74.8,0.047,0.0783,0.0564,0.789,0.924,0.0303,0.2,"955","0.6","1",0.72,10.1,11.8,0.387,2.55,1380,0.869,1.45,1.04,14.6,17.1,0.561,3.69
"2018","AR1","Measured","Non-Frozen",2018-09-03 14:53:00,2018-09-04 02:00:00,"Sep",0.593552229915866,39860,8.518,98.7,0.0336,0.0269,0.0659,0.939,1.03,0.0316,0.254,"734","0.5","0.2",0.49,6.98,7.67,0.235,1.89,1830,0.622,0.498,1.22,17.4,19.1,0.585,4.7
"2018","AR1","Estimated","Non-Frozen",2018-09-05 17:30:00,2018-09-05 18:45:00,"Sep",0.000994713721986449,66.8,0.02141,0.0433,0.00104,0.000496,5.19e-05,0.000609,0.00116,0.000446,0.000555,"192","4.6","2.2",0.23,2.7,5.13,1.98,2.46,0.801,0.0192,0.00918,0.000959,0.0113,0.0214,0.00826,0.0103
"2018","AR1","Estimated","Non-Frozen",2018-09-05 19:48:00,2018-09-06 00:15:00,"Sep",0.00467872831509195,314.2,0.03556,0.204,0.00488,0.00233,0.000244,0.00286,0.00544,0.0021,0.00261,"192","4.6","2.2",0.23,2.7,5.13,1.98,2.46,3.77,0.0902,0.0432,0.00451,0.053,0.101,0.0388,0.0483
"2018","AR1","Measured","Non-Frozen",2018-09-20 08:53:00,2018-09-20 13:30:00,"Sep",0.336832700469064,22620,6.65,13.6,0.0191,0.0229,0.0931,0.134,0.25,0.125,0.155,"178","0.5","0.3",1.22,1.75,3.27,1.64,2.03,251,0.353,0.424,1.72,2.47,4.62,2.32,2.87
"2019","AR1","Measured","Non-Frozen",2018-10-01 03:07:00,2018-10-01 08:05:00,"Oct",0.0142074305710669,954.1,0.1655,0.618,0.0148,0.00708,0.000741,0.00869,0.0165,0.00638,0.00792,"192","4.6","2.2",0.23,2.7,5.13,1.98,2.46,11.4,0.274,0.131,0.0137,0.161,0.306,0.118,0.147
"2019","AR1","Measured","Non-Frozen",2018-10-02 00:39:00,2018-10-02 06:15:00,"Oct",0.361849452758544,24300,4.412,54,0.0205,0.0492,0.018,0.545,0.613,0.0845,0.207,"658","0.5","0.6",0.22,6.65,7.47,1.03,2.52,998,0.379,0.91,0.334,10.1,11.3,1.56,3.82
"2019","AR1","Measured","Non-Frozen",2018-10-06 05:58:00,2018-10-06 11:45:00,"Oct",0.387015114287842,25990,3.881,47.6,0.0219,0.0614,0.0167,0.512,0.59,0.11,0.242,"543","0.5","0.7",0.19,5.84,6.73,1.25,2.76,881,0.406,1.14,0.308,9.48,10.9,2.03,4.48
"2019","AR1","Measured","Frozen",2018-12-27 14:32:00,2018-12-28 00:45:00,"Dec",0.16588489315762,11140,1.328,3.31,0.707,0.12,0.0139,0.146,0.28,0.0255,0.0406,"88","18.8","3.2",0.37,3.88,7.45,0.678,1.08,61.2,13.1,2.23,0.257,2.7,5.18,0.471,0.751
"2019","AR1","Estimated","Frozen",2018-12-28 05:37:00,2018-12-28 06:45:00,"Dec",0.00156354701809247,105,0.03836,0.0287,0.00444,0.000673,9.74e-05,0.00141,0.00218,0.000162,0.000312,"81","12.6","1.9",0.275,3.97,6.15,0.459,0.881,0.531,0.0822,0.0124,0.0018,0.026,0.0403,0.003,0.00577
"2019","AR1","Estimated","Frozen",2018-12-31 19:06:00,2019-01-01 00:08:00,"Dec",0.0203856749311295,1369,0.1737,0.374,0.058,0.00878,0.00127,0.0183,0.0284,0.00212,0.00407,"81","12.6","1.9",0.275,3.97,6.15,0.459,0.881,6.92,1.07,0.162,0.0235,0.339,0.525,0.0392,0.0752
"2019","AR1","Measured","Frozen",2019-01-07 10:30:00,2019-01-07 20:15:00,"Jan",0.162757799121435,10930,0.8152,2.73,0.232,0.0221,0.00664,0.15,0.179,0.00882,0.0251,"74","6.3","0.6",0.18,4.06,4.84,0.239,0.681,50.5,4.3,0.409,0.123,2.77,3.3,0.163,0.465
"2019","AR1","Measured","Frozen",2019-02-03 09:00:00,2019-02-05 04:20:00,"Feb",1.55907974089792,104700,1.995,3.89,2.33,0.283,0.357,0.816,1.46,0.0353,0.0901,"11","6.6","0.8",1.01,2.31,4.12,0.1,0.255,71.9,43.1,5.23,6.6,15.1,26.9,0.654,1.67
"2019","AR1","Estimated","Frozen",2019-02-06 20:45:00,2019-02-08 08:45:00,"Feb",0.447323356414266,30040,2.994,1.12,0.507,0.0507,0.193,0.36,0.603,0.00537,0.0248,"11","5","0.5",1.9,3.55,5.95,0.053,0.245,20.6,9.38,0.938,3.56,6.66,11.2,0.0994,0.459
"2019","AR1","Measured","Frozen",2019-02-23 16:34:00,2019-02-25 07:15:00,"Feb",1.34896880351426,90590,4.972,3.36,1.04,0.0611,0.853,1.46,2.38,0.00183,0.0715,"11","3.4","0.2",2.79,4.79,7.78,0.006,0.234,62.2,19.2,1.13,15.8,27.1,44,0.0339,1.32
"2019","AR1","Measured","Frozen",2019-03-09 20:50:00,2019-03-11 16:16:00,"Mar",0.581043853771127,39020,2.255,3.69,1.37,0.0132,0.714,1.33,2.05,0.112,0.171,"28","10.4","0.1",5.42,10.1,15.6,0.852,1.3,68.2,25.3,0.244,13.2,24.6,38,2.08,3.17
"2019","AR1","Estimated","Frozen",2019-03-11 16:16:00,2019-03-12 15:03:00,"Mar",0.268334450152632,18020,1.336,1.31,0.45,0.00608,0.234,0.414,0.654,0.0364,0.0623,"21.5","7.4","0.1",3.85,6.81,10.8,0.598,1.02,24.2,8.33,0.113,4.33,7.66,12.1,0.673,1.15
"2019","AR1","Measured","Frozen",2019-03-12 15:03:00,2019-03-14 18:15:00,"Mar",1.57545975727794,105800,2.25,5.36,1.57,0.0179,0.814,1.26,2.1,0.123,0.267,"15","4.4","0.1",2.28,3.54,5.87,0.344,0.748,99.1,29.1,0.33,15.1,23.4,38.8,2.27,4.94
"2019","AR1","Estimated","Non-Frozen",2019-06-25 19:03:00,2019-06-25 20:00:00,"Jun",0.00205941478668751,138.3,0.09639,0.0117,0.00261,0.00145,0.000299,0.00145,0.0032,0.00113,0.00113,"25","5.6","3.1",0.64,3.11,6.85,2.42,2.42,0.216,0.0484,0.0268,0.00553,0.0269,0.0591,0.0209,0.0209
"2019","AR1","Measured","Non-Frozen",2019-06-28 14:20:00,2019-06-28 16:15:00,"Jun",0.038359020177202,2576,0.8721,0.217,0.0487,0.0269,0.00556,0.027,0.0595,0.021,0.021,"25","5.6","3.1",0.64,3.11,6.85,2.42,2.42,4.02,0.9,0.498,0.103,0.5,1.1,0.389,0.389
"2019","AR1","Estimated","Non-Frozen",2019-08-18 12:13:00,2019-08-18 14:15:00,"Aug",0.018822127913037,1264,0.381,0.107,0.0239,0.0132,0.00273,0.0133,0.0292,0.0103,0.0103,"25","5.6","3.1",0.64,3.11,6.85,2.42,2.42,1.97,0.442,0.245,0.0505,0.246,0.541,0.191,0.191
"2019","AR1","Estimated","Non-Frozen",2019-08-26 19:45:00,2019-08-26 21:15:00,"Aug",0.0016767180403544,112.6,0.0324,0.0095,0.00213,0.00118,0.000243,0.00118,0.0026,0.00092,0.00092,"25","5.6","3.1",0.64,3.11,6.85,2.42,2.42,0.176,0.0394,0.0218,0.0045,0.0219,0.0482,0.017,0.017
"2019","AR1","Measured","Non-Frozen",2019-09-10 08:15:00,2019-09-10 11:15:00,"Sep",0.0784900603082421,5271,1.194,1.28,0.00445,0.00889,0.00285,0.0293,0.0411,0.0114,0.0169,"72","0.5","0.5",0.16,1.65,2.31,0.64,0.949,23.7,0.0823,0.165,0.0526,0.543,0.76,0.211,0.312
"2019","AR1","Measured","Non-Frozen",2019-09-12 01:48:00,2019-09-12 05:27:00,"Sep",0.0511949966495421,3438,0.7522,1.42,0.0302,0.0128,0.00394,0.029,0.0457,0.00937,0.0143,"122","2.6","1.1",0.34,2.5,3.94,0.808,1.23,26.2,0.558,0.236,0.073,0.537,0.846,0.173,0.264
"2019","AR1","Measured","Non-Frozen",2019-09-13 03:22:00,2019-09-13 06:20:00,"Sep",0.93038493038493,62480,18.87,73.8,0.0527,0.105,0.019,0.742,0.867,0.081,0.264,"350","0.5","0.5",0.09,3.52,4.11,0.384,1.25,1370,0.975,1.95,0.351,13.7,16,1.5,4.88
"2019","AR1","Estimated","Non-Frozen",2019-09-13 06:20:00,2019-09-13 10:30:00,"Sep",0.597870597870598,40150,9.986,47.4,0.0339,0.0677,0.0122,0.477,0.557,0.052,0.169,"350","0.5","0.5",0.09,3.52,4.11,0.384,1.25,877,0.627,1.25,0.226,8.82,10.3,0.962,3.13
"2019","AR1","Measured","Non-Frozen",2019-09-22 14:06:00,2019-09-22 19:00:00,"Sep",0.239446057627876,16080,3.688,35.7,0.0868,0.0488,0.0472,0.438,0.534,0.0394,0.136,"658","1.6","0.9",0.87,8.07,9.84,0.726,2.5,661,1.61,0.903,0.873,8.1,9.88,0.729,2.51
"2019","AR1","Measured","Non-Frozen",2019-09-29 07:43:00,2019-09-29 14:00:00,"Sep",0.716402352765989,48110,9.558,55.8,0.0406,0.179,0.0292,0.604,0.812,0.0956,0.237,"344","0.5","1.1",0.18,3.72,5,0.589,1.46,1030,0.751,3.3,0.541,11.2,15,1.77,4.38
"2019","AR1","Estimated","Non-Frozen",2019-09-29 15:30:00,2019-09-29 18:45:00,"Sep",0.0109939691757874,738.3,0.1443,0.304,0.00648,0.00274,0.000847,0.00623,0.00982,0.00201,0.00306,"122","2.6","1.1",0.34,2.5,3.94,0.808,1.23,5.62,0.12,0.0507,0.0157,0.115,0.182,0.0372,0.0567
"2020","AR1","Measured","Non-Frozen",2019-10-02 02:54:00,2019-10-02 07:55:00,"Oct",0.743503834412925,49930,7.16,112,0.0421,0.152,0.0286,1.1,1.28,0.0846,0.352,"662","0.5","0.9",0.17,6.5,7.57,0.502,2.09,2060,0.779,2.81,0.53,20.3,23.6,1.56,6.52
"2020","AR1","Measured","Non-Frozen",2019-10-02 08:30:00,2019-10-02 16:30:00,"Oct",0.238850420668603,16040,1.642,17.3,0.0135,0.0379,0.00433,0.141,0.184,0.0321,0.0861,"320","0.5","0.7",0.08,2.61,3.39,0.593,1.59,320,0.25,0.701,0.0801,2.61,3.4,0.594,1.59
"2020","AR1","Measured","Non-Frozen",2019-10-03 03:42:00,2019-10-03 08:30:00,"Oct",0.09634427816246,6470,1.344,5.74,0.00546,0.0153,0.00175,0.0327,0.0498,0.00945,0.0249,"263","0.5","0.7",0.08,1.5,2.28,0.433,1.14,106,0.101,0.283,0.0323,0.606,0.921,0.175,0.46
"2020","AR1","Measured","Non-Frozen",2019-10-05 20:15:00,2019-10-06 00:45:00,"Oct",0.163800163800164,11000,1.875,12.7,0.0223,0.0594,0.00965,0.125,0.194,0.0226,0.0579,"343","0.6","1.6",0.26,3.36,5.22,0.608,1.56,236,0.412,1.1,0.179,2.31,3.59,0.418,1.07
"2020","AR1","Estimated","Non-Frozen",2019-10-27 02:42:00,2019-10-27 04:25:00,"Oct",0.00265356265356265,178.2,0.0389,0.206,0.000361,0.000962,0.000156,0.00202,0.00314,0.000366,0.000938,"343","0.6","1.6",0.26,3.36,5.22,0.608,1.56,3.82,0.00668,0.0178,0.00289,0.0374,0.0581,0.00676,0.0174
